Optimizer,Objective,Fold0,Fold1,Fold2,Fold3,Fold4
NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,0.19999999999999998,0.39999999999999997,0.0,-0.39999999999999997,0.5
NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.5225885225885226,-0.4116318464144552,-0.5758043758043758,-0.28181818181818186,-0.5643478260869564
NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.6847826086956521,-0.5808695652173912,-0.44078144078144077,-0.37739130434782603,-0.4859649122807017
NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.7283272283272283,-0.43459222769567596,-0.539135194307608,-0.48320158102766797,-0.6918445539135194
NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
Sw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.4946153846153846,-0.2601503759398496,-0.5792207792207792,-0.22303921568627455,-0.5458646616541353
Sw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
Sw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.5583075335397317,0.2377622377622378,0.16363636363636366,-0.5190918472652218,-0.36176470588235293
Sw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
Sw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.27724449463579903,-0.05413533834586466,-0.473399014778325,-0.4660869565217391,-0.29740259740259745
Sw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
SwT NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.42905982905982903,-0.5636363636363637,-0.2901477832512315,-0.6353754940711461,-0.5382608695652172
SwT NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
SwT NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.5508771929824561,-0.37154150197628455,-0.15415019762845852,-0.5403508771929825,-0.3614035087719299
SwT NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
SwT NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.681535855448899,-0.11304347826086956,-0.5084615384615384,-0.5256916996047432,-0.6343873517786561
SwT NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
CSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.6146245059288538,-0.5069169960474309,-0.30138339920948615,-0.6734149054505005,-0.6234782608695651
CSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
CSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.5714285714285714,-0.633399209486166,-0.2198142414860681,-0.6350649350649351,-0.1902879728966686
CSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
CSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.5347985347985348,-0.6938820912124583,-0.06883116883116883,-0.7017391304347826,-0.6035087719298246
CSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
LCSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.5069230769230769,-0.6538461538461537,-0.09130434782608696,-0.44076923076923075,-0.36645962732919257
LCSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
LCSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.6157894736842106,-0.41298701298701296,-0.5140350877192983,-0.5688311688311689,-0.3325804630152457
LCSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
LCSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.5990965556182948,-0.4730434782608695,-0.12481203007518797,-0.5121739130434783,-0.5584415584415585
LCSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
