Optimizer,Objective,Fold0,Fold1,Fold2,Fold3,Fold4
NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,0.40685931220680105,0.3898689047263077,0.07007744112795734,-0.8229200654847972,0.8421531507630574
NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.4487475939107407,-0.15573418285429844,-0.5280525915076246,-0.19354134981224166,-0.3195868420303214
NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.30226392205388475,-0.3946914480227165,0.11958214851523413,-0.4008482097260644,0.1307075123361509
NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.4810261031748911,-0.49745155589783185,-0.2767070164932222,-0.37000419478444485,-0.43195786062250224
NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
Sw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.4460129052507027,0.19328392723296964,-0.15389902276327938,-0.08023517789682066,-0.1742316493971664
Sw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
Sw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.11352094218249367,0.5022730887052095,0.357836297799699,-0.13910331934658784,0.1316220834870203
Sw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
Sw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.1893315335001858,0.5146674286155821,-0.2080200900618899,-0.3312875043337099,-0.14869604968423344
Sw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
SwT NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.43352433645118854,-0.359252772562179,-0.29712351040132795,-0.44394340718057823,-0.37956153330688014
SwT NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
SwT NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.2875322580319027,0.08566524029618042,0.23020320714856599,-0.28768529255549946,0.16501357569954028
SwT NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
SwT NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.3936591067145604,0.1071116948357689,-0.3837028657760984,-0.35322766779417836,-0.4033869076782776
SwT NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
CSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.37805594041341783,-0.007670110260244278,0.05165392519106296,-0.5117363217373412,-0.37444208060591977
CSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
CSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.1972135443694753,-0.3194206551893727,0.0912778904911872,-0.41585508586870756,0.2936342560891344
CSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
CSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.4499497727260332,-0.390855452333142,0.34078032394781893,-0.6026058491291784,-0.4450748848766809
CSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
LCSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.44471691262062996,-0.31758610708174284,0.23945342660095226,-0.22771524553120914,-0.20027662275454922
LCSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
LCSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.3609786063639102,-0.13024029958568584,-0.007277877046037107,-0.5086904658120519,0.21712265104158876
LCSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
LCSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.4776906199461127,-0.07924660516934934,0.35816132153224567,-0.41739763492759047,-0.3689082376874607
LCSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
