0_ajcc_pathologic_tumor_stage_Stage IV,1_ACTN2.88,1_ANAPC5.51433,1_ANKRD56.345079,1_ASPSCR1.79058,1_ATP13A1.57130,1_BARX1.56033,1_BCL2L12.83596,1_C11orf54.28970,1_C5orf23.79614,1_C8orf47.203111,1_CDADC1.81602,1_CDC123.8872,1_CHAC1.79094,1_CHEK2.11200,1_DDAH1.23576,1_DENND4C.55667,1_EN2.2020,1_FASN.2194,1_GDF5.8200,1_GLT25D1.79709,1_HM13.81502,1_IGFN1.91156,1_IRF6.3664,1_LAGE3.8270,1_LSM1.27257,1_NME2.4831,1_NPR3.4883,1_ONECUT2.9480,1_PFDN2.5202,1_PFDN4.5203,1_PPAP2B.8613,1_PSMD13.5719,1_PSMD3.5709,1_PSMD4.5710,1_PYCR2.29920,1_RNF152.220441,1_SEC24B.10427,1_SFRS9.8683,1_SGCB.6443,1_SLC4A3.6508,1_SMARCD1.6602,1_SOS2.6655,1_SP5.389058,1_SRM.6723,1_STON1.GTF2A1L.286749,1_SUSD4.55061,1_TPD52L2.7165,1_TSTA3.7264
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
