0_AUH,0_BCL11A,0_BTNL9,0_C16orf68,0_CELF6,0_CUL1,0_ESR1,0_FAM81B,0_FLJ42627,0_FOXC1,0_HOXB1,0_LOC84856,0_PIK3C2G,0_PPP4R4,0_SEC14L2,0_TGIF2,0_TPX2
0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1
0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1
0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1
0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1
0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1
1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1
0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1
0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
