inner_cv_svm_bal_acc,inner_cv_leanness,train_svm_bal_acc,train_leanness
0.8656109230948769,0.034482758620689655,0.9144259206775253,0.034482758620689655
0.8563377957087841,0.03571428571428571,0.9163397962756115,0.03571428571428571
0.8547872730607005,0.037037037037037035,0.9088871013453812,0.037037037037037035
0.8541202924161846,0.04,0.9149322724772018,0.04
0.852694054982245,0.043478260869565216,0.9026226597535969,0.043478260869565216
0.8484641898537919,0.045454545454545456,0.908929279962656,0.045454545454545456
0.8482084090492306,0.047619047619047616,0.9095290749045564,0.047619047619047616
0.8423073204074487,0.05,0.9011752913325441,0.05
0.8386749162262641,0.058823529411764705,0.8899671573612522,0.058823529411764705
0.8326314539119417,0.07142857142857142,0.8897062501041961,0.07142857142857142
0.8322367170698366,0.07692307692307693,0.8814669573045695,0.07692307692307693
0.8315224313555507,0.08333333333333333,0.8794573879265792,0.08333333333333333
0.824533826250771,0.09090909090909091,0.8916201257022823,0.09090909090909091
0.8231697314239035,0.1,0.8666988146641549,0.1
0.8199629061567444,0.1111111111111111,0.858821791174166,0.1111111111111111
0.8120972192121101,0.125,0.8541316289615392,0.125
0.8042400763549672,0.14285714285714285,0.8474678658953371,0.14285714285714285
0.7929100745211144,0.16666666666666666,0.8378849007218712,0.16666666666666666
0.7837884900721871,0.2,0.8134067152359835,0.2
0.7527324408582432,0.25,0.776842688761816,0.25
0.689766475501392,0.3333333333333333,0.694042478702299,0.3333333333333333
0.534142256972809,0.5,0.5269094576796759,0.5
0.2,1.0,0.2,1.0
