1_hsa.miR.3677.3p,2_ABI3.51225,2_AK5.26289,2_ALDH1A1.216,2_ANKRD28.23243,2_AP3S2.10239,2_ASPA.443,2_B2M.567,2_B3GALT4.8705,2_BAT3.7917,2_BATF2.116071,2_BCL2L14.79370,2_C22orf41.644186,2_C2orf74.339804,2_CAB39L.81617,2_CCDC138.165055,2_CEBPA.1050,2_CHD4.1108,2_CIDEB.27141,2_CKAP5.9793,2_CLC.1178,2_CLDN23.137075,2_CTH.1491,2_DBP.1628,2_DHH.50846,2_DHRS12.79758,2_DOCK2.1794,2_DUSP27.92235,2_EIF2C2.27161,2_FAM113B.91523,2_FGD3.89846,2_GALNT12.79695,2_GIMAP8.155038,2_GLIS1.148979,2_GLO1.2739,2_GMEB1.10691,2_GPR133.283383,2_GSTK1.373156,2_GTF2A2.2958,2_HMGXB3.22993,2_HOXC6.3223,2_IGSF6.10261,2_ITGA7.3679,2_KIR3DL1.3811,2_KRCC1.51315,2_LGALS2.3957,2_MCHR2.84539,2_MEAF6.64769,2_MGAT1.4245,2_MGC87042.256227,2_MORC4.79710,2_MR1.3140,2_MRO.83876,2_NDUFAF1.51103,2_NFKBIL2.4796,2_NUDT13.25961,2_PIK3IP1.113791,2_PLCG1.5335,2_PLCG2.5336,2_PTBP1.5725,2_PTK2B.2185,2_PTPN18.26469,2_RARRES3.5920,2_RBL1.5933,2_RGPD1.400966,2_RNF125.54941,2_RPS6KL1.83694,2_SLC12A3.6559,2_SLC25A32.81034,2_SLC43A2.124935,2_SNX20.124460,2_SQLE.6713,2_SSR1.6745,2_STX11.8676,2_SYNCRIP.10492,2_TARDBP.23435,2_TIFAB.497189,2_TMIE.259236,2_TRAF3IP3.80342,2_TRIM21.6737,2_TRIM50.135892,2_TRIP4.9325,2_TSPAN5.10098,2_TSPAN6.7105,2_TXLNA.200081,2_UBE2O.63893,2_UNC93B1.81622,2_USP24.23358,2_YRDC.79693,2_ZNF385A.25946,2_ZNF396.252884
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
