1_hsa.miR.20a.3p,1_hsa.miR.3170,1_hsa.miR.324.3p,1_hsa.miR.3648,1_hsa.miR.3677.3p,1_hsa.miR.7706,2_ADAMTS15.170689,2_AMMECR1.9949,2_APOB.338,2_AQP1.358,2_ARHGEF37.389337,2_ARL8A.127829,2_B3GALT4.8705,2_BYSL.705,2_C1orf186.440712,2_C22orf26.55267,2_C5orf4.10826,2_CAMK2G.818,2_CCDC76.54482,2_CCNC.892,2_CHD4.1108,2_CLU.1191,2_CSE1L.1434,2_CTAGE6.340307,2_CXCL2.2920,2_DARC.2532,2_DHRS12.79758,2_EHBP1L1.254102,2_ELAC1.55520,2_ETV6.2120,2_FAM109B.150368,2_GALNT12.79695,2_GGPS1.9453,2_GLO1.2739,2_HIST1H3I.8354,2_HLTF.6596,2_HNMT.3176,2_HNRNPA3P1.10151,2_HNRNPR.10236,2_HPN.3249,2_IL1RAPL2.26280,2_IL6.3569,2_ITGA7.3679,2_ITPRIPL1.150771,2_KCND3.3752,2_KDM1A.23028,2_KIAA1586.57691,2_KRCC1.51315,2_LACE1.246269,2_LCLAT1.253558,2_LGALS2.3957,2_LOC100101266.100101266,2_LOC728743.728743,2_LRFN5.145581,2_LRRC41.10489,2_LTF.4057,2_MCM10.55388,2_METTL9.51108,2_MGAT1.4245,2_MPPE1.65258,2_MRS2P2.729633,2_MSH2.4436,2_NAPSA.9476,2_NKAP.79576,2_NKX3.2.579,2_NUDT7.283927,2_OAZ2.4947,2_PEX11G.92960,2_PHF6.84295,2_PLCG1.5335,2_PLD4.122618,2_POPDC2.64091,2_PPP1R11.6992,2_PRKAG1.5571,2_PRKCDBP.112464,2_RAD21.5885,2_RAI2.10742,2_RASGRP2.10235,2_RIPPLY2.134701,2_RLIM.51132,2_RNF135.84282,2_RNF8.9025,2_SELP.6403,2_SERBP1.26135,2_SLC2A1.6513,2_SLC39A2.29986,2_SLC48A1.55652,2_SLC5A6.8884,2_STOM.2040,2_SYNCRIP.10492,2_TMEM176B.28959,2_TRANK1.9881,2_TRIM47.91107,2_TSPYL2.64061,2_UBE2CBP.90025,2_UBE2O.63893,2_VTN.7448,2_YWHAQ.10971,2_ZNF703.80139
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
