0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_ACTB.60,1_ANAPC7.51434,1_ANK3.288,1_APOOL.139322,1_ARPC5L.81873,1_BARX1.56033,1_BYSL.705,1_C11orf54.28970,1_C11orf84.144097,1_C17orf96.100170841,1_C5orf36.285600,1_CARM1.10498,1_CBX4.8535,1_CCDC121.79635,1_CDC123.8872,1_CDC25C.995,1_CDC7.8317,1_CEP55.55165,1_CKAP4.10970,1_CLCN5.1184,1_CNNM2.54805,1_COL7A1.1294,1_COX6B2.125965,1_CTAGE1.64693,1_CYBA.1535,1_CYFIP2.26999,1_CYP3A7.1551,1_EFNA4.1945,1_EMX2.2018,1_EN2.2020,1_FAM64A.54478,1_FAM83A.84985,1_FOXA2.3170,1_GIPC2.54810,1_GPR172A.79581,1_GTPBP2.54676,1_GTSE1.51512,1_KCNH3.23416,1_KIAA1161.57462,1_LASS5.91012,1_LIN54.132660,1_LMNB2.84823,1_LNX2.222484,1_LOC100134713.100134713,1_LOC388796.388796,1_LRFN1.57622,1_MAST4.375449,1_MERTK.10461,1_METTL1.4234,1_METTL7A.25840,1_MRPL9.65005,1_NBEA.26960,1_NCKAP5L.57701,1_NOP2.4839,1_NOP56.10528,1_PFDN4.5203,1_PIP5KL1.138429,1_PLEKHO1.51177,1_PMAIP1.5366,1_PSMD13.5719,1_PTGER1.5731,1_RAD54L.8438,1_RASSF6.166824,1_RFC2.5982,1_RGS17.26575,1_RPLP0.6175,1_RRP9.9136,1_SERPINH1.871,1_SETD8.387893,1_SLC35E4.339665,1_SLC38A5.92745,1_SLC4A3.6508,1_SNF8.11267,1_SNRPC.6631,1_SNRPD1.6632,1_SNX2.6643,1_SOX2.6657,1_STK32B.55351,1_STK32C.282974,1_STON1.GTF2A1L.286749,1_TAF6.6878,1_TMEM132D.121256,1_TMEM25.84866,1_TPD52L2.7165,1_TRIM65.201292,1_TTC12.54970,1_TTK.7272,1_UCK2.7371,1_ULBP1.80329,1_USP2.9099,1_ZNF420.147923,1_ZNF836.162962
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
