0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_A1CF.29974,1_ACE2.59272,1_ACOT4.122970,1_AKAP6.9472,1_ANXA8.653145,1_ARHGAP42.143872,1_ATXN1L.342371,1_ATXN7L2.127002,1_AUP1.550,1_BARX1.56033,1_C11orf48.79081,1_C12orf65.91574,1_C16orf57.79650,1_C17orf37.84299,1_C1orf210.149466,1_C7orf43.55262,1_CAMK2N2.94032,1_CBX4.8535,1_CDK4.1019,1_CENPM.79019,1_CIDECP.152302,1_CST5.1473,1_CTAGE1.64693,1_CYFIP2.26999,1_DDIT3.1649,1_EIF2B1.1967,1_EIF4EBP2.1979,1_EIF5A.1984,1_EN2.2020,1_ERP29.10961,1_FAT4.79633,1_FBXO21.23014,1_FLAD1.80308,1_FOXA2.3170,1_FPGT.8790,1_FREM2.341640,1_G6PC3.92579,1_GARS.2617,1_GBAP1.2630,1_GDF5.8200,1_GMPR2.51292,1_GNASAS.149775,1_GRLF1.2909,1_HN1.51155,1_HOXA3.3200,1_IGFN1.91156,1_ITFG3.83986,1_ITGB1BP1.9270,1_KATNB1.10300,1_KBTBD7.84078,1_KCTD17.79734,1_KLHL9.55958,1_LAGE3.8270,1_LPCAT4.254531,1_LZIC.84328,1_MCRS1.10445,1_MEP1A.4224,1_MRPL18.29074,1_NBEA.26960,1_NCKAP5L.57701,1_NCOA3.8202,1_NCSTN.23385,1_ONECUT2.9480,1_PEX6.5190,1_PIP5KL1.138429,1_PLEKHG4B.153478,1_PTPN21.11099,1_PTS.5805,1_RAC3.5881,1_RARRES1.5918,1_RAVER2.55225,1_RBM34.23029,1_RGL1.23179,1_RNF19B.127544,1_ROM1.6094,1_RPS20.6224,1_SCAPER.49855,1_SH3YL1.26751,1_SHROOM3.57619,1_SLC10A2.6555,1_SPDEF.25803,1_SPTBN1.6711,1_SSTR1.6751,1_STK32B.55351,1_STON1.11037,1_STON1.GTF2A1L.286749,1_SULT1A2.6799,1_TBC1D8B.54885,1_TDRD7.23424,1_TEK.7010,1_TSTA3.7264,1_TXLNA.200081,1_UBE2I.7329,1_UBE2Q1.55585,1_VGF.7425,1_VPS25.84313
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
