gen,0_age_at_initial_pathologic_diagnosis,0_race_WHITE,1_hsa.let.7a.2.3p,1_hsa.let.7a.3p,1_hsa.miR.105.5p,1_hsa.miR.1229.3p,1_hsa.miR.124.3p,1_hsa.miR.125b.1.3p,1_hsa.miR.1269b,1_hsa.miR.1306.3p,1_hsa.miR.1306.5p,1_hsa.miR.130b.3p,1_hsa.miR.130b.5p,1_hsa.miR.1343.3p,1_hsa.miR.135a.3p,1_hsa.miR.135b.3p,1_hsa.miR.138.1.3p,1_hsa.miR.138.5p,1_hsa.miR.151a.3p,1_hsa.miR.151a.5p,1_hsa.miR.153.5p,1_hsa.miR.1537.5p,1_hsa.miR.15b.3p,1_hsa.miR.16.2.3p,1_hsa.miR.17.3p,1_hsa.miR.17.5p,1_hsa.miR.181b.3p,1_hsa.miR.181c.3p,1_hsa.miR.186.5p,1_hsa.miR.18a.3p,1_hsa.miR.190b,1_hsa.miR.196b.3p,1_hsa.miR.197.3p,1_hsa.miR.19b.3p,1_hsa.miR.206,1_hsa.miR.20a.3p,1_hsa.miR.20a.5p,1_hsa.miR.21.3p,1_hsa.miR.214.3p,1_hsa.miR.26a.1.3p,1_hsa.miR.29c.3p,1_hsa.miR.301a.3p,1_hsa.miR.301b,1_hsa.miR.30c.1.3p,1_hsa.miR.30c.2.3p,1_hsa.miR.3170,1_hsa.miR.3187.3p,1_hsa.miR.3200.3p,1_hsa.miR.339.3p,1_hsa.miR.33a.3p,1_hsa.miR.33a.5p,1_hsa.miR.345.5p,1_hsa.miR.3605.3p,1_hsa.miR.3607.5p,1_hsa.miR.3610,1_hsa.miR.361.3p,1_hsa.miR.361.5p,1_hsa.miR.3677.3p,1_hsa.miR.3678.5p,1_hsa.miR.3681.5p,1_hsa.miR.3687,1_hsa.miR.374a.3p,1_hsa.miR.374b.3p,1_hsa.miR.383.5p,1_hsa.miR.3917,1_hsa.miR.3922.3p,1_hsa.miR.3923,1_hsa.miR.421,1_hsa.miR.455.3p,1_hsa.miR.455.5p,1_hsa.miR.4661.5p,1_hsa.miR.4662a.5p,1_hsa.miR.503.3p,1_hsa.miR.548f.3p,1_hsa.miR.548v,1_hsa.miR.551a,1_hsa.miR.589.3p,1_hsa.miR.744.3p,1_hsa.miR.766.3p,1_hsa.miR.767.3p,1_hsa.miR.767.5p,1_hsa.miR.7706,1_hsa.miR.873.5p,1_hsa.miR.887.3p,1_hsa.miR.92a.1.5p,1_hsa.miR.92a.3p,1_hsa.miR.93.3p,1_hsa.miR.940,1_hsa.miR.99b.3p,1_hsa.miR.1251.3p,1_hsa.miR.371a.3p,1_hsa.miR.371a.5p,1_hsa.miR.373.3p,1_hsa.miR.512.3p,1_hsa.miR.515.3p,1_hsa.miR.518d.3p,1_hsa.miR.518f.3p,1_hsa.miR.520b,1_hsa.miR.520c.3p,1_hsa.miR.520e,1_hsa.miR.520f.3p,1_hsa.miR.522.3p,1_hsa.miR.890
0,303,281,0,0,414,397,361,0,407,0,0,0,0,0,0,0,362,0,0,0,0,321,0,0,0,0,0,0,0,0,246,0,0,0,213,0,0,325,0,0,240,0,0,0,336,376,0,0,0,371,379,0,0,0,0,0,0,409,427,278,286,0,0,336,0,0,365,232,0,0,363,359,0,0,331,0,0,0,0,0,0,270,416,0,0,0,0,0,0,364,328,287,0,423,0,0,0,0,0,0,0,0,393
100,255,399,4,18,335,11,4,1,105,40,6,82,1,0,32,3,5,1,4,3,1,57,6,6,3,3,0,16,2,43,9,8,51,1,3,1,11,2,4,0,109,1,12,12,136,22,7,3,45,3,26,5,69,11,10,2,9,328,385,251,19,129,3,0,2,4,13,0,14,20,27,222,6,6,5,223,71,2,0,1,14,0,407,4,36,2,197,39,105,0,0,0,1,413,1,2,6,2,3,3,2,2,0
200,272,415,8,4,338,1,3,1,84,16,4,150,0,0,18,0,4,1,25,3,3,123,1,17,3,0,1,7,0,66,0,17,178,0,15,1,27,18,2,1,200,1,15,6,154,18,11,3,21,1,23,0,30,10,7,27,8,327,403,288,99,185,0,0,0,17,7,1,6,13,57,263,2,3,16,293,131,2,9,1,25,0,419,3,6,1,276,7,101,0,0,0,0,427,1,2,7,1,2,4,0,1,0
299,285,429,18,11,354,3,1,0,142,20,41,193,0,1,13,11,1,2,120,0,13,156,3,20,0,1,1,36,8,155,0,49,235,0,15,1,60,13,4,0,247,1,30,16,229,19,10,13,28,1,18,0,15,13,7,128,42,323,418,324,58,177,0,0,0,53,4,0,13,17,53,316,5,9,7,325,184,1,25,0,20,0,431,2,37,1,266,3,146,0,0,0,0,440,3,0,4,1,1,1,1,0,0
