gen,0_age_at_initial_pathologic_diagnosis,0_race_NA,0_race_WHITE,1_hsa.let.7a.2.3p,1_hsa.let.7c.3p,1_hsa.miR.103a.2.5p,1_hsa.miR.106b.5p,1_hsa.miR.1197,1_hsa.miR.1226.3p,1_hsa.miR.1229.3p,1_hsa.miR.1269a,1_hsa.miR.1306.3p,1_hsa.miR.130b.3p,1_hsa.miR.130b.5p,1_hsa.miR.1343.3p,1_hsa.miR.135a.3p,1_hsa.miR.138.1.3p,1_hsa.miR.138.5p,1_hsa.miR.151a.5p,1_hsa.miR.155.3p,1_hsa.miR.15b.3p,1_hsa.miR.16.2.3p,1_hsa.miR.17.5p,1_hsa.miR.18a.5p,1_hsa.miR.195.5p,1_hsa.miR.196b.3p,1_hsa.miR.197.3p,1_hsa.miR.19a.3p,1_hsa.miR.19b.3p,1_hsa.miR.20a.3p,1_hsa.miR.210.3p,1_hsa.miR.21.3p,1_hsa.miR.219a.2.3p,1_hsa.miR.221.5p,1_hsa.miR.24.2.5p,1_hsa.miR.24.3p,1_hsa.miR.28.5p,1_hsa.miR.29c.3p,1_hsa.miR.301a.3p,1_hsa.miR.301a.5p,1_hsa.miR.301b,1_hsa.miR.3074.5p,1_hsa.miR.30c.1.3p,1_hsa.miR.3161,1_hsa.miR.3170,1_hsa.miR.3187.3p,1_hsa.miR.3200.3p,1_hsa.miR.324.3p,1_hsa.miR.324.5p,1_hsa.miR.33a.3p,1_hsa.miR.33a.5p,1_hsa.miR.340.3p,1_hsa.miR.345.5p,1_hsa.miR.3605.3p,1_hsa.miR.3607.5p,1_hsa.miR.3610,1_hsa.miR.3648,1_hsa.miR.3651,1_hsa.miR.3677.3p,1_hsa.miR.3687,1_hsa.miR.421,1_hsa.miR.423.3p,1_hsa.miR.4449,1_hsa.miR.455.3p,1_hsa.miR.4661.5p,1_hsa.miR.4662a.5p,1_hsa.miR.4668.3p,1_hsa.miR.486.3p,1_hsa.miR.491.3p,1_hsa.miR.499a.5p,1_hsa.miR.503.3p,1_hsa.miR.548f.3p,1_hsa.miR.548v,1_hsa.miR.551a,1_hsa.miR.552.5p,1_hsa.miR.7.1.3p,1_hsa.miR.744.3p,1_hsa.miR.7706,1_hsa.miR.7974,1_hsa.miR.877.5p,1_hsa.miR.887.3p,1_hsa.miR.92a.1.5p,1_hsa.miR.92a.3p,1_hsa.miR.93.3p,1_hsa.miR.940,1_hsa.miR.99b.3p,1_hsa.miR.1323,1_hsa.miR.498,1_hsa.miR.512.3p,1_hsa.miR.512.5p,1_hsa.miR.515.3p,1_hsa.miR.515.5p,1_hsa.miR.517a.3p,1_hsa.miR.517b.3p,1_hsa.miR.518a.3p,1_hsa.miR.518c.3p,1_hsa.miR.518c.5p,1_hsa.miR.518d.3p,1_hsa.miR.518f.3p,1_hsa.miR.519c.3p,1_hsa.miR.519d.3p,1_hsa.miR.520a.5p,1_hsa.miR.520b,1_hsa.miR.520c.3p,1_hsa.miR.520d.5p,1_hsa.miR.520e,1_hsa.miR.520f.3p,1_hsa.miR.520g.3p,1_hsa.miR.520h,1_hsa.miR.522.3p,1_hsa.miR.523.3p,1_hsa.miR.524.5p,1_hsa.miR.526b.5p,1_hsa.miR.548x.3p
0,285,300,272,0,370,294,0,310,0,383,272,0,0,0,0,0,0,0,0,0,392,0,0,0,0,268,0,0,0,266,0,0,389,275,0,0,263,339,0,0,0,0,0,0,410,0,318,0,0,0,0,0,0,291,389,0,423,0,352,0,0,0,233,0,0,418,0,395,0,406,0,0,389,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,366
100,353,0,454,0,236,5,0,2,20,1,3,8,2,4,0,1,1,15,1,0,303,1,4,15,9,1,1,5,2,10,1,7,0,1,16,24,0,69,135,1,115,1,4,0,279,1,6,1,2,7,39,70,2,57,159,37,431,9,129,1,7,100,8,1,25,219,76,1,26,163,3,1,359,2,22,9,3,14,16,1,28,3,1,18,33,6,2,2,190,92,11,2,12,15,44,2,2,1,3,5,9,3,5,9,18,20,1,7,3,17,4,0,8,0
200,282,0,461,3,99,5,2,0,38,1,1,9,1,15,0,0,0,5,2,0,327,1,5,0,4,1,0,4,1,5,2,41,0,3,22,5,0,14,261,11,142,1,7,0,261,1,19,1,3,2,200,229,0,12,51,38,430,0,125,0,48,54,5,1,7,232,207,2,19,157,5,1,332,4,38,2,2,100,16,1,15,5,1,164,95,1,1,0,217,201,0,0,9,5,48,0,6,0,5,3,93,10,2,2,12,47,2,0,0,5,1,1,1,0
299,187,0,464,1,71,5,0,0,34,0,1,5,6,70,1,0,1,5,2,2,316,1,2,0,2,0,0,4,2,5,1,63,0,2,12,3,0,9,298,0,115,5,13,1,273,2,95,1,1,0,232,276,0,2,23,29,431,0,85,0,136,37,3,2,9,272,245,0,32,135,2,3,308,5,31,1,2,125,41,1,11,3,1,177,93,1,1,0,260,220,0,0,11,1,78,2,1,0,7,10,139,13,2,2,28,75,1,2,1,4,1,0,0,0
