2_ALDH1A1.216,2_ALS2CL.259173,2_APCDD1L.164284,2_BCL2L14.79370,2_C8G.733,2_CDH2.1000,2_CDYL.9425,2_CFB.629,2_CLDN23.137075,2_DAZAP2.9802,2_DHRS12.79758,2_FNBP1L.54874,2_GALNT12.79695,2_GLIS1.148979,2_GMEB1.10691,2_GPBAR1.151306,2_HPN.3249,2_IKZF1.10320,2_INMT.11185,2_KRCC1.51315,2_LIMS2.55679,2_MCHR2.84539,2_MGC45800.90768,2_MYO1F.4542,2_NDUFAF1.51103,2_NUDT7.283927,2_P2RY6.5031,2_PIK3C2B.5287,2_PLCG2.5336,2_POLR3GL.84265,2_RARRES3.5920,2_RBMX.27316,2_SAMD9.54809,2_SDR42E1.93517,2_SH2D1B.117157,2_SLC24A4.123041,2_SQLE.6713,2_SSR1.6745,2_STAT6.6778,2_TARDBP.23435,2_TINAGL1.64129,2_TMEFF1.8577,2_TNFSF14.8740,2_TSPAN6.7105,2_WISP1.8840,2_ZNF385A.25946,2_ZNHIT6.54680
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
