gen,evals,gen_feats,explored,type random forest (msl4) balanced accuracy_min,type random forest (msl4) balanced accuracy_avg,type random forest (msl4) balanced accuracy_max,type random forest (msl4) balanced accuracy_std,root separation_min,root separation_avg,root separation_max,root separation_std,root leanness_min,root leanness_avg,root leanness_max,root leanness_std
0,500,396,396,0.2,0.7606312978528272,0.9028651747489256,0.15334070225466373,0.0,0.5559061153180535,0.6232362425404738,0.09469582416780443,0.14002800840280097,0.29130034811539246,1.0,0.17016556736879937
1,668,616,621,0.2,0.7611445749092818,0.9028651747489256,0.13393961188967327,0.0,0.5699813371458953,0.6250100772939688,0.04741403161582831,0.14002800840280097,0.3255659948388892,1.0,0.14756404005331775
2,731,634,818,0.2,0.7716358228244562,0.9102689152751982,0.12177305588794866,0.0,0.5737388350058613,0.6246908001943816,0.04413524782680427,0.1386750490563073,0.33363929730868597,1.0,0.13859291083749298
3,724,684,1026,0.2,0.7913846629660932,0.9102689152751982,0.11006000552753256,0.0,0.5820842724416679,0.6246908001943816,0.04061822263627769,0.13736056394868904,0.32259738193822673,1.0,0.138862001925115
4,739,696,1215,0.2,0.7895255887514324,0.9102689152751982,0.11254739902164039,0.0,0.5820865392825656,0.6250337049186623,0.04071371804349307,0.13736056394868904,0.33656637631290515,1.0,0.14981688135719393
5,713,721,1417,0.2,0.7790337243321286,0.9102689152751982,0.11602478104840354,0.0,0.5804119606966923,0.6355490251164385,0.041977606217738904,0.14002800840280097,0.3684936137554788,1.0,0.1516915832595824
6,751,703,1602,0.2,0.7717655481948885,0.9102689152751982,0.1276020542788484,0.0,0.5779626127723102,0.6355490251164385,0.04327690264766039,0.14002800840280097,0.3862967066289243,1.0,0.15980646264912246
7,717,736,1776,0.2,0.7795413188395428,0.9146204082432897,0.1075903504220241,0.0,0.5849045666458774,0.6355490251164385,0.03876379639665492,0.14002800840280097,0.38562668222320584,1.0,0.14628029169940435
8,741,719,1940,0.2,0.7744349589067842,0.9132362660995772,0.1114280181268156,0.0,0.5873822963738595,0.6355490251164385,0.039816932116979835,0.1386750490563073,0.39593273773664184,1.0,0.15845433429769554
9,742,701,2100,0.2,0.7873559648759706,0.9132362660995772,0.10953050319953718,0.0,0.5913554973717466,0.6355490251164385,0.03947271830917592,0.14002800840280097,0.3762967017829277,1.0,0.16270805290811927
10,726,742,2277,0.2,0.7833872184152421,0.9132362660995772,0.11970798633742315,0.0,0.5917169149254718,0.6355490251164385,0.04082885016003899,0.13130643285972254,0.3762663017597198,1.0,0.16858299719022962
11,742,729,2413,0.2,0.7896532328815729,0.9132362660995772,0.10449918406239718,0.0,0.5939468589621604,0.6368202663874069,0.03848418607687818,0.13130643285972254,0.38449781272267575,1.0,0.15324037719618466
12,736,748,2566,0.2,0.7903247737940622,0.9132362660995772,0.10132661457376449,0.0,0.5940014297309676,0.6355490251164385,0.03732929689597863,0.13130643285972254,0.3968103099817945,1.0,0.1496230086538078
13,718,756,2706,0.2,0.788936832475217,0.9132362660995772,0.1056975525814167,0.0,0.5935872205148917,0.6355490251164385,0.03770393944904195,0.14002800840280097,0.39676860732363034,1.0,0.15424912420021938
14,734,737,2839,0.2,0.7929602082598213,0.9132362660995772,0.09814204405786844,0.0,0.5945796133156257,0.6355490251164385,0.03650461472906508,0.14002800840280097,0.39869314777660725,1.0,0.14218959927963495
15,727,744,2962,0.2,0.7817247601023931,0.9132362660995772,0.10532437352501829,0.0,0.5923388212437534,0.6355490251164385,0.03861274269045275,0.1336306209562122,0.41848974590452104,1.0,0.14773469019140478
16,726,758,3089,0.2,0.7917792538014023,0.9132362660995772,0.10426334248823117,0.0,0.593168130834226,0.6400721554298506,0.03819387629249437,0.1414213562373095,0.4009791461842561,1.0,0.1511357169432701
17,720,743,3196,0.2,0.7852120992837286,0.9132362660995772,0.10731895842808102,0.0,0.5919534374625511,0.6400721554298506,0.03868103940228735,0.1386750490563073,0.40970305656768846,1.0,0.15588072412022044
18,704,755,3308,0.2,0.779748062531821,0.9132362660995772,0.10501125694733324,0.0,0.5931358804572057,0.6400721554298506,0.03901223796808833,0.1386750490563073,0.4220779098874406,1.0,0.15077434038348736
19,725,756,3399,0.2,0.7930389003013399,0.9132362660995772,0.09075449166831033,0.0,0.5963931049490372,0.6400721554298506,0.03696868904276917,0.13483997249264842,0.4099426138535605,1.0,0.14040257114076624
20,716,763,3506,0.2,0.7754078977138736,0.9132362660995772,0.1080853875273707,0.0,0.5930261587746893,0.6400721554298506,0.041015641674538444,0.13483997249264842,0.42901485862256244,1.0,0.15709180925441307
21,736,740,3599,0.2,0.7900298350254671,0.9132362660995772,0.08817841225658056,0.0,0.5985045317826003,0.6400721554298506,0.037323829775657985,0.13736056394868904,0.4175882751020544,1.0,0.14194195322260456
22,709,775,3693,0.2,0.7899687619203366,0.9158163845890641,0.10061185547370076,0.0,0.5961683171227091,0.6412453867740724,0.039182168324402515,0.1386750490563073,0.41970323161480144,1.0,0.1474278900861894
23,724,725,3787,0.2,0.7898472432918898,0.9158163845890641,0.0905837678816456,0.0,0.5971703385707201,0.6415835887959688,0.037031591020238175,0.1386750490563073,0.4304543121675711,1.0,0.13670865840118399
24,717,786,3897,0.2,0.78785576205175,0.9158163845890641,0.09059024613505856,0.0,0.5965015596510754,0.643343800814618,0.03655673811704284,0.1386750490563073,0.43302516186119555,1.0,0.13707001912628908
25,721,742,3979,0.2,0.7843150824537952,0.9164932340029293,0.09786311964722157,0.0,0.5955856413321026,0.643343800814618,0.03770828905571838,0.1386750490563073,0.43766667535751547,1.0,0.1366344832720628
26,705,752,4044,0.2,0.7875620686960281,0.9164932340029293,0.09714366673309383,0.0,0.5955193967349396,0.6460232206400021,0.03749779543453266,0.1414213562373095,0.4263252856789189,1.0,0.14552904400710834
27,717,756,4129,0.2,0.7885718556569304,0.9164932340029293,0.10057263672522233,0.0,0.5972786326803443,0.6460232206400021,0.0388269128400429,0.14002800840280097,0.4194799199332678,1.0,0.15266014910720702
28,714,756,4195,0.2,0.7802745419289254,0.9164932340029293,0.10862401328573404,0.0,0.5938654311301681,0.6460232206400021,0.04120215046152431,0.14002800840280097,0.43224902095855816,1.0,0.15085945095389608
29,693,766,4269,0.2,0.7746418600982223,0.9164932340029293,0.11686285987890774,0.0,0.5920291029122657,0.6465904941963692,0.0419972554072358,0.14002800840280097,0.4354753985662591,1.0,0.15215729864047908
30,702,758,4352,0.2,0.7736276000078333,0.9164932340029293,0.10119291653890014,0.0,0.5920113917906192,0.6465904941963692,0.03886802273166339,0.1414213562373095,0.4481090886736133,1.0,0.13625721437084723
31,694,751,4406,0.2,0.7810800441592134,0.9164932340029293,0.10179137570025605,0.0,0.5943334262562248,0.6465904941963692,0.03855634366187319,0.1414213562373095,0.4410753536335406,1.0,0.13862393387941027
32,695,756,4466,0.2,0.7821727846518011,0.91877451462848,0.10120927750485753,0.0,0.5958034768199987,0.6465904941963692,0.03880751977479421,0.14002800840280097,0.4396498051316759,1.0,0.14040146961054112
33,694,771,4519,0.2,0.7828936411956624,0.91877451462848,0.10650285389595017,0.0,0.595700493238049,0.6465904941963692,0.03964430417681439,0.1414213562373095,0.43738711813762926,1.0,0.14832364295251543
34,703,747,4574,0.2,0.7860673338370573,0.91877451462848,0.10312493817537165,0.0,0.5970102767257169,0.6472510894259669,0.03984772886471906,0.14744195615489714,0.43548811908030277,1.0,0.14287919155472337
35,707,746,4620,0.2,0.7813816794933879,0.91877451462848,0.09842127471744216,0.0,0.5982110548966391,0.6472510894259669,0.0387259727293234,0.14285714285714285,0.44767807569685625,1.0,0.13711208982806433
36,700,723,4653,0.2,0.7801121659315499,0.91877451462848,0.09944511627456172,0.0,0.5983881415399386,0.6486625874943512,0.04000147499188764,0.14002800840280097,0.45079429596279463,1.0,0.1379364877669164
37,696,747,4706,0.2,0.7785551380934747,0.91877451462848,0.1015205714448624,0.0,0.596293650322615,0.6486625874943512,0.03933751014756437,0.14002800840280097,0.45166026890382704,1.0,0.13986543810559776
38,690,774,4749,0.2,0.7807605148122109,0.91877451462848,0.10046581387045359,0.0,0.5988500584091919,0.6486625874943512,0.039301411298186664,0.1414213562373095,0.4507659406352082,1.0,0.136090896498233
39,701,762,4798,0.2,0.7835888414521832,0.91877451462848,0.10390897131430343,0.0,0.5950500746275644,0.6486625874943512,0.04123462814613275,0.1414213562373095,0.4540568609538857,1.0,0.14340049535396746
40,694,773,4836,0.2,0.7875928027400648,0.91877451462848,0.1035006538692699,0.0,0.5981966365365793,0.6486625874943512,0.04062403496483088,0.14002800840280097,0.4475127068800097,1.0,0.14340105054458982
41,672,773,4886,0.2,0.7872526023906126,0.91877451462848,0.10295141725662689,0.0,0.5961736876058605,0.6486625874943512,0.04133135540265088,0.14002800840280097,0.4602764642701597,1.0,0.1331253935161924
42,698,777,4935,0.2,0.7913687033724643,0.91877451462848,0.10264030775635528,0.0,0.5995616574831388,0.6486625874943512,0.0417645310808493,0.1414213562373095,0.44787154013082736,1.0,0.1395447855194156
43,700,752,4963,0.2,0.7995530780593522,0.91877451462848,0.09818184715544545,0.0,0.6047823763270143,0.6486625874943512,0.04002356928534759,0.14433756729740643,0.43870462117403974,1.0,0.13495324137003575
44,696,774,5000,0.2,0.7863927876367318,0.91877451462848,0.1084912930956064,0.0,0.6004317737673799,0.6486625874943512,0.042693844340523576,0.14002800840280097,0.45236335332094824,1.0,0.148071615970178
45,706,767,5034,0.2,0.7827973623334405,0.91877451462848,0.12007641871994751,0.0,0.598128489722825,0.6486625874943512,0.043615426672101616,0.14002800840280097,0.44327067902179534,1.0,0.1663808676531856
46,689,757,5074,0.2,0.7879660801595342,0.91877451462848,0.11835672409924362,0.0,0.5980245236348019,0.6486625874943512,0.042223629265694625,0.14285714285714285,0.429852128549496,1.0,0.16989555816203877
47,689,756,5105,0.2,0.7883538041421254,0.91877451462848,0.11030566253270226,0.0,0.5987883545014023,0.6486625874943512,0.04128108745974166,0.13245323570650439,0.4412287756889403,1.0,0.1570152789866509
48,687,770,5129,0.2,0.7819408299958848,0.91877451462848,0.11563193069067787,0.0,0.5968926736839874,0.6486625874943512,0.04287079309579051,0.14285714285714285,0.4536306504609574,1.0,0.1518880795894906
49,673,740,5147,0.2,0.7780242427854428,0.91877451462848,0.1155220292933663,0.0,0.5964672600248311,0.6486625874943512,0.043840793048371365,0.1414213562373095,0.46648646555877277,1.0,0.14814357747425683
50,665,754,5183,0.2,0.7775367364215902,0.9202467923802594,0.11296319261483206,0.0,0.5969091408779057,0.6486625874943512,0.04308125805019871,0.1414213562373095,0.4672754560266086,1.0,0.14654945426306615
51,678,778,5218,0.2,0.7869085954416793,0.9245733580115376,0.10534945008098572,0.0,0.5999351536211468,0.6486625874943512,0.040906389406988444,0.1414213562373095,0.4581605242475508,1.0,0.14496630009102324
52,692,790,5245,0.2,0.7709074418463571,0.9245733580115376,0.11684241608301847,0.0,0.5956016522869342,0.6480072732419249,0.044132520231468624,0.1414213562373095,0.4779174458714868,1.0,0.1432579373775681
53,685,746,5273,0.2,0.7796786439419984,0.9245733580115376,0.11201838324093497,0.0,0.5972047071893598,0.6480072732419249,0.04262027646534409,0.1414213562373095,0.46562159357144695,1.0,0.14733747661766963
54,693,775,5292,0.2,0.7904483950347548,0.9245733580115376,0.10595795360416838,0.0,0.6017436070069414,0.6480072732419249,0.04222375639207005,0.1414213562373095,0.4590755317427967,1.0,0.13734077136635553
55,698,745,5313,0.2,0.7841834712918124,0.9245733580115376,0.11349835750352871,0.0,0.6001827013575101,0.6480072732419249,0.043198325444631126,0.1414213562373095,0.46328618138427147,1.0,0.14199324071664676
56,683,763,5334,0.2,0.7849776306311831,0.9245733580115376,0.11312157790168628,0.0,0.5998010065407855,0.6480072732419249,0.04328528406557845,0.14002800840280097,0.46654555272274084,1.0,0.1425827776049638
57,695,758,5356,0.2,0.7822297613198669,0.9245733580115376,0.10628290975254814,0.0,0.5990313291877037,0.6480072732419249,0.04201637778224733,0.14002800840280097,0.4748995833527069,1.0,0.13670519368079564
58,677,782,5380,0.2,0.7799902477117715,0.9245733580115376,0.10823678244242337,0.0,0.5986831246193918,0.6480072732419249,0.042370946107216194,0.14002800840280097,0.48146796516917845,1.0,0.1318033085033023
59,691,765,5404,0.2,0.7872355648065286,0.9245733580115376,0.1046935435469146,0.0,0.6008926288880798,0.6480072732419249,0.041664115346797315,0.14002800840280097,0.46083902304882374,1.0,0.14712733132377467
60,679,753,5429,0.2,0.7787639029607525,0.9245733580115376,0.10668870326577286,0.0,0.6005549742304738,0.6480072732419249,0.04274971060053881,0.1414213562373095,0.4676360348391395,1.0,0.1445181454455678
61,681,748,5442,0.2,0.7772777062246727,0.9245733580115376,0.11523775276836838,0.0,0.5999821289356931,0.6486015761735398,0.04399273470874832,0.14285714285714285,0.47190034547089854,1.0,0.1417893061555926
62,678,757,5459,0.2,0.7772938558191114,0.9245733580115376,0.1183735488565205,0.0,0.5993645693174388,0.6486015761735398,0.04440873363540268,0.14285714285714285,0.47841865613457,1.0,0.13266800709716126
63,684,778,5478,0.2,0.7812568420593635,0.9245733580115376,0.11431744545355796,0.0,0.5999495850387525,0.6486015761735398,0.044154434878324184,0.14002800840280097,0.47637823622322406,1.0,0.13663324387875375
64,678,753,5492,0.2,0.776641253642394,0.9245733580115376,0.11287466698965062,0.0,0.5957345874846858,0.6486015761735398,0.042873183410058885,0.1414213562373095,0.48901467025913425,1.0,0.13467389741668673
65,693,762,5514,0.2,0.775791362403328,0.9245733580115376,0.11565884000328026,0.0,0.5957360499170762,0.6480072732419249,0.04522849771598262,0.14285714285714285,0.4825845749163915,1.0,0.14550782181861407
66,686,736,5533,0.2,0.7811159722651246,0.9245733580115376,0.1118380399097696,0.0,0.5980343971701683,0.6480072732419249,0.043542200535118904,0.1414213562373095,0.4897839091941005,1.0,0.12350909172447842
67,698,741,5553,0.2,0.7706385438188607,0.9245733580115376,0.12215831662719182,0.0,0.5943271699371633,0.6480072732419249,0.04549265195818639,0.1414213562373095,0.49262636574745444,1.0,0.1383170063288663
68,692,740,5570,0.2,0.7733817190217186,0.9245733580115376,0.10890517307285105,0.0,0.597946883037363,0.6480072732419249,0.042771332903127915,0.1414213562373095,0.49559356015903916,1.0,0.12622365955163392
69,704,738,5580,0.2,0.7617674586695409,0.9245733580115376,0.12401746133497583,0.0,0.5963976282491855,0.6480072732419249,0.04643933516832147,0.14285714285714285,0.5027475879089625,1.0,0.12844315865910289
70,668,769,5596,0.2,0.7573945460263489,0.9245733580115376,0.12392576631775841,0.0,0.5940773728929173,0.6480072732419249,0.047605972259002746,0.14285714285714285,0.5105775521878649,1.0,0.12324304821360495
71,677,754,5608,0.2,0.7736350743973406,0.9245733580115376,0.11499279800254625,0.0,0.5952469937186541,0.6480072732419249,0.04496904433287034,0.14002800840280097,0.49551016184887037,1.0,0.13136727992305858
72,681,760,5618,0.2,0.7811045352009931,0.9245733580115376,0.10698781436084873,0.0,0.5988530857132025,0.6480072732419249,0.04170513383352563,0.14285714285714285,0.49184209768683784,1.0,0.12153291196159509
73,671,759,5634,0.2,0.7753335603622634,0.9245733580115376,0.12036513532129527,0.0,0.5957445883739788,0.6480072732419249,0.045006737917533964,0.1414213562373095,0.4854933300736774,1.0,0.14448352174475967
74,675,729,5649,0.2,0.7891716404661285,0.9245733580115376,0.11152549882560875,0.0,0.6002650772912951,0.6480072732419249,0.042263879574449756,0.14002800840280097,0.4686553910028501,1.0,0.1439389542642981
75,659,767,5657,0.2,0.7692540083374849,0.9245733580115376,0.11815192739913398,0.0,0.5963235273642596,0.6480072732419249,0.04477838331170779,0.14285714285714285,0.5001783264040934,1.0,0.13259626551373777
76,678,767,5666,0.2,0.7796501752886966,0.9245733580115376,0.11634298387027485,0.0,0.5991308470451856,0.6480072732419249,0.04478579017903784,0.14002800840280097,0.483523241359463,1.0,0.14084644611667813
77,670,760,5680,0.2,0.7720750892142667,0.9245733580115376,0.12132676230578318,0.0,0.5973394293793263,0.6480072732419249,0.04485852228295115,0.14002800840280097,0.48891235871914884,1.0,0.13933747685280898
78,659,752,5685,0.2,0.7775474049236457,0.9245733580115376,0.11516182562527694,0.0,0.5982675441963844,0.6480072732419249,0.042742299802984565,0.14285714285714285,0.4817478664527383,1.0,0.14043438733124114
79,661,740,5694,0.2,0.7785833621825675,0.9245733580115376,0.11395105340134126,0.0,0.6003711019774832,0.6480072732419249,0.042589294867538374,0.14002800840280097,0.48545421253851706,1.0,0.1318189680493774
80,679,732,5704,0.2,0.7842208296144276,0.9245733580115376,0.10704079281039251,0.0,0.5989789434099093,0.6480072732419249,0.04168148686384822,0.1414213562373095,0.48178694670613503,1.0,0.13556391453500644
81,677,766,5714,0.2,0.7869125549947787,0.9245733580115376,0.11212425789982924,0.0,0.5983714984800217,0.6480072732419249,0.04139303028947319,0.14002800840280097,0.4752985551554207,1.0,0.14077447761793419
