inner_cv_SKSurvCox_c-index,inner_cv_root_leanness,train_SKSurvCox_c-index,train_root_leanness,test_SKSurvCox_c-index,test_root_leanness
0.8224788939473074,0.23570226039551584,0.8369409260184556,0.23570226039551584,0.6861940298507462,0.23570226039551584
0.8195932129834993,0.24253562503633297,0.8289851340868403,0.24253562503633297,0.6759641873278237,0.24253562503633297
0.8051574498912275,0.25,0.8340874343594055,0.25,0.6920398009950248,0.25
0.7929782638160121,0.2581988897471611,0.8347045308398297,0.2581988897471611,0.6873134328358209,0.2581988897471611
0.811741088819175,0.2672612419124244,0.827099901693133,0.2672612419124244,0.6889925373134328,0.2672612419124244
0.8254591053506175,0.2773500981126146,0.8201017288634161,0.2773500981126146,0.6678482587064677,0.2773500981126146
0.7939254074462568,0.28867513459481287,0.8044361898182025,0.28867513459481287,0.6659203980099502,0.28867513459481287
0.7680637015540129,0.30151134457776363,0.8037724120599697,0.30151134457776363,0.6411069651741294,0.30151134457776363
0.7563280825129767,0.31622776601683794,0.788630527120966,0.31622776601683794,0.5821969696969698,0.31622776601683794
0.7600165854790721,0.3333333333333333,0.7804083966479676,0.3333333333333333,0.6172223559621248,0.3333333333333333
0.7457017819466483,0.3535533905932738,0.7699834740141842,0.3535533905932738,0.5942328646026067,0.3535533905932738
0.7427289592940204,0.408248290463863,0.750327851189384,0.408248290463863,0.5420398009950248,0.408248290463863
0.7288524484988013,0.4472135954999579,0.7192550212424935,0.4472135954999579,0.45135428796352484,0.4472135954999579
0.7287811915795629,0.5,0.7222336858731117,0.5,0.4061982352844702,0.5
0.7101672263583981,0.5773502691896257,0.7031777700456769,0.5773502691896257,0.46576435471438177,0.5773502691896257
0.6488180412434922,0.7071067811865476,0.6481232453961376,0.7071067811865476,0.3316226034474275,0.7071067811865476
0.5,1.0,0.5,1.0,0.5,1.0
