0_age_at_initial_pathologic_diagnosis,0_race_WHITE,1_hsa.miR.1229.3p,1_hsa.miR.197.3p,1_hsa.miR.20a.3p,1_hsa.miR.301a.3p,1_hsa.miR.301b,1_hsa.miR.3170,1_hsa.miR.340.3p,1_hsa.miR.3607.5p,1_hsa.miR.3648,1_hsa.miR.4449,1_hsa.miR.4662a.5p,1_hsa.miR.4668.3p,1_hsa.miR.499a.5p,1_hsa.miR.548v,1_hsa.miR.552.5p,1_hsa.miR.512.3p,1_hsa.miR.520g.3p,1_hsa.miR.522.3p
0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1
1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
