0_age_at_initial_pathologic_diagnosis,1_ACE2.59272,1_ARHGAP11A.9824,1_BRCA1.672,1_BRIP1.83990,1_C14orf72.145200,1_C16orf89.146556,1_C17orf77.146723,1_CBARA1.10367,1_CCNA2.890,1_CD79B.974,1_CDKN2BAS.100048912,1_CHRND.1144,1_CMYA5.202333,1_COL21A1.81578,1_CRTAC1.55118,1_DDX24.57062,1_DDX41.51428,1_DEAF1.10522,1_DLC1.10395,1_DNASE1L1.1774,1_EEPD1.80820,1_EFHB.151651,1_ELK1.2002,1_ESX1.80712,1_EVC2.132884,1_F11R.50848,1_FAM110B.90362,1_FOLR4.390243,1_GNG12.55970,1_HILS1.373861,1_HPS6.79803,1_KIF4A.24137,1_KLHL25.64410,1_KLK15.55554,1_LDHB.3945,1_LGI4.163175,1_LMAN1L.79748,1_LOC284276.284276,1_MAB21L1.4081,1_MAP3K1.4214,1_NDST4.64579,1_NOG.9241,1_NR2E1.7101,1_PALMD.54873,1_PLEKHA2.59339,1_PON1.5444,1_PTGFRN.5738,1_RAB27A.5873,1_RAB5B.5869,1_RAD18.56852,1_RCL1.10171,1_RUSC1.23623,1_SETD5.55209,1_SLC13A3.64849,1_SLC25A24.29957,1_SLC30A7.148867,1_SOX8.30812,1_SRCRB4D.136853,1_SSTR5.6755,1_TAF5.6877,1_TDH.157739,1_THBS4.7060,1_TTC22.55001,1_TTLL12.23170,1_TYR.7299,1_USP3.9960,1_WEE1.7465,1_WFDC2.10406,1_WFIKKN2.124857,1_YY2.404281,1_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
