1_AK5.26289,1_AOAH.313,1_APCDD1L.164284,1_ARHGAP15.55843,1_ARHGAP27.201176,1_ASAH1.427,1_ASPA.443,1_B3GNT8.374907,1_BAT3.7917,1_BCL2L14.79370,1_BCL7B.9275,1_BIN2.51411,1_BNIP2.663,1_BTG2.7832,1_C10orf54.64115,1_C15orf57.90416,1_C1orf163.65260,1_CCDC40.55036,1_CCR2.729230,1_CEBPA.1050,1_CHD4.1108,1_CLDN23.137075,1_COL6A3.1293,1_CREG1.8804,1_DDB1.1642,1_DERL1.79139,1_DHH.50846,1_DUSP22.56940,1_GATM.2628,1_GGH.8836,1_GGTA1.2681,1_GIMAP1.170575,1_GLIS1.148979,1_GLO1.2739,1_GMEB1.10691,1_GPR114.221188,1_GPR133.283383,1_GPR18.2841,1_HNMT.3176,1_HNRNPA3P1.10151,1_HPN.3249,1_HSP90AB1.3326,1_IKZF1.10320,1_IL12B.3593,1_KIAA0748.9840,1_KLF2.10365,1_KRCC1.51315,1_LINGO2.158038,1_LOC221710.221710,1_LRRC25.126364,1_LRRC41.10489,1_MAP3K8.1326,1_MAP4K1.11184,1_MCHR2.84539,1_MEAF6.64769,1_MFNG.4242,1_MGC45800.90768,1_MORC4.79710,1_MPPE1.65258,1_MSH2.4436,1_MSH6.2956,1_MURC.347273,1_NUDT13.25961,1_OSTalpha.200931,1_PAICS.10606,1_PCBD2.84105,1_PHF13.148479,1_PKNOX1.5316,1_PRPF4B.8899,1_PTER.9317,1_PTPN18.26469,1_PTPRE.5791,1_PUM1.9698,1_PYCARD.29108,1_PYCR1.5831,1_PYHIN1.149628,1_RARRES3.5920,1_RASGRP2.10235,1_RASL10B.91608,1_RIPK3.11035,1_RIPPLY2.134701,1_SH2D1B.117157,1_SRPK1.6732,1_SSR1.6745,1_SULT1A1.6817,1_TAPBPL.55080,1_TMEM158.25907,1_TMEM62.80021,1_TRADD.8717,1_TRIM50.135892,1_TRIP4.9325,1_TTC3.7267,1_USP45.85015,1_WNT5B.81029,1_XPO5.57510,1_ZNF385A.25946
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
