1_ACTL6A.86,1_ALDH1A1.216,1_AQP1.358,1_ARMC1.55156,1_ARRDC2.27106,1_ATP7A.538,1_B3GNT8.374907,1_C10orf116.10974,1_C10orf128.170371,1_C15orf57.90416,1_C22orf26.55267,1_CALML4.91860,1_CCDC52.152185,1_CCDC69.26112,1_CCT5.22948,1_CCT6A.908,1_CD79B.974,1_COL15A1.1306,1_CX3CR1.1524,1_DHH.50846,1_DLEC1.9940,1_DOCK7.85440,1_E2F3.1871,1_EDARADD.128178,1_ELAVL2.1993,1_F8.2157,1_FASN.2194,1_FBN2.2201,1_FCRLA.84824,1_GALNT12.79695,1_GIMAP6.474344,1_GIMAP8.155038,1_GLO1.2739,1_HDAC2.3066,1_HMGB3.3149,1_HNRNPK.3190,1_HNRNPR.10236,1_HSP90AB1.3326,1_ICAM2.3384,1_ITGA7.3679,1_KDM1A.23028,1_KHDRBS1.10657,1_KRCC1.51315,1_LIMS2.55679,1_LMAN1.3998,1_LOC388387.388387,1_LRFN5.145581,1_LTF.4057,1_MEPCE.56257,1_MKNK1.8569,1_MRO.83876,1_MXD4.10608,1_NAAA.27163,1_NAALADL1.10004,1_NASP.4678,1_NKAP.79576,1_NKG7.4818,1_NLE1.54475,1_NUDCD1.84955,1_NUP153.9972,1_NUPL1.9818,1_PAICS.10606,1_PIK3IP1.113791,1_PLCG1.5335,1_PPP1R11.6992,1_PRKCDBP.112464,1_PRKDC.5591,1_PSMD10.5716,1_PTPN18.26469,1_PTPN20B.26095,1_RAD18.56852,1_RARRES1.5918,1_RARRES3.5920,1_RDH5.5959,1_SCRIB.23513,1_SEMA3G.56920,1_SERBP1.26135,1_SFRS1.6426,1_SIX4.51804,1_SLC25A32.81034,1_SYNCRIP.10492,1_TAF1A.9015,1_TAF2.6873,1_THOC2.57187,1_TIMM8A.1678,1_TLR7.51284,1_TMBIM1.64114,1_TMEM48.55706,1_TOP1.7150,1_TRMT6.51605,1_WDR43.23160,1_YWHAZ.7534
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
