0_ACMSD,0_C17orf97,0_CA9,0_CLDN8,0_DACT2,0_NDUFA4L2,0_NELL1,0_NTN1,0_RANBP3L,0_SLC16A4
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,0,0
1,1,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,0,0,0
1,0,0,1,1,1,0,0,0,0
0,0,0,1,1,1,0,0,0,0
0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0
