gen,0_age_at_initial_pathologic_diagnosis,1_hsa.miR.103a.2.5p,1_hsa.miR.10a.3p,1_hsa.miR.10b.5p,1_hsa.miR.1228.3p,1_hsa.miR.125b.1.3p,1_hsa.miR.146b.5p,1_hsa.miR.148a.5p,1_hsa.miR.15b.5p,1_hsa.miR.187.3p,1_hsa.miR.195.5p,1_hsa.miR.199b.5p,1_hsa.miR.200a.5p,1_hsa.miR.200b.5p,1_hsa.miR.20b.3p,1_hsa.miR.222.3p,1_hsa.miR.222.5p,1_hsa.miR.23b.5p,1_hsa.miR.24.2.5p,1_hsa.miR.25.5p,1_hsa.miR.27b.5p,1_hsa.miR.28.5p,1_hsa.miR.29b.2.5p,1_hsa.miR.3131,1_hsa.miR.31.3p,1_hsa.miR.3154,1_hsa.miR.32.5p,1_hsa.miR.346,1_hsa.miR.3613.3p,1_hsa.miR.365a.5p,1_hsa.miR.365b.5p,1_hsa.miR.376a.5p,1_hsa.miR.3923,1_hsa.miR.409.3p,1_hsa.miR.409.5p,1_hsa.miR.429,1_hsa.miR.452.3p,1_hsa.miR.493.3p,1_hsa.miR.494.3p,1_hsa.miR.550a.5p,1_hsa.miR.552.5p,1_hsa.miR.615.3p,1_hsa.miR.628.3p,1_hsa.miR.6509.5p,1_hsa.miR.651.5p,1_hsa.miR.664a.3p,1_hsa.miR.664a.5p,1_hsa.miR.877.5p,1_hsa.miR.92b.5p,1_hsa.miR.944,1_hsa.miR.99b.5p,2_AARS.16,2_ABCB4.5244,2_ABCG2.9429,2_ACBD5.91452,2_ACSL1.2180,2_ACSS3.79611,2_ACY1.95,2_ADAR.103,2_AFF3.3899,2_AGL.178,2_AGXT2L1.64850,2_AKNAD1.254268,2_ALDH2.217,2_ALOX12P2.245,2_ALOX5.240,2_ALS2CR4.65062,2_ANAPC16.119504,2_ANGPT2.285,2_ANKAR.150709,2_ANP32A.8125,2_APOB.338,2_APOBEC3B.9582,2_AQP7.364,2_ARHGAP12.94134,2_ARHGAP18.93663,2_ARHGDIG.398,2_ARHGEF5.7984,2_ARL13A.392509,2_ARL5C.390790,2_ARMC10.83787,2_ARMC9.80210,2_ASCL1.429,2_ATP5A1.498,2_ATP6V0E2.155066,2_AUH.549,2_AVP.551,2_BACE2.25825,2_BCAN.63827,2_BCL10.8915,2_BDKRB1.623,2_BMP2.650,2_BNIP3.664,2_BRD4.23476,2_BSPRY.54836,2_BTN1A1.696,2_C10orf81.79949,2_C12orf35.55196,2_C12orf53.196500,2_C12orf66.144577,2_C13orf15.28984,2_C14orf178.283579,2_C14orf93.60686,2_C16orf55.124045,2_C17orf77.146723,2_C19orf61.56006,2_C19orf66.55337,2_C1orf103.55791,2_C1orf173.127254,2_C1orf87.127795,2_C21orf33.8209,2_C21orf71.282566,2_C2orf55.343990,2_C4orf21.55345,2_C5orf34.375444,2_C6orf129.154467,2_C6orf58.352999,2_C6orf89.221477,2_C7orf36.57002,2_C9orf122.158228,2_CABLES2.81928,2_CABP4.57010,2_CACNA2D2.9254,2_CADPS.8618,2_CALCRL.10203,2_CASP9.842,2_CBARA1.10367,2_CCDC160.347475,2_CCDC28B.79140,2_CCDC85C.317762,2_CCL23.6368,2_CCNB3.85417,2_CCNYL1.151195,2_CCT7.10574,2_CD109.135228,2_CD164.8763,2_CD38.952,2_CDC20.991,2_CDC20B.166979,2_CDH6.1004,2_CDK7.1022,2_CDKN1B.1027,2_CDKN2B.1030,2_CDKN2BAS.100048912,2_CGREF1.10669,2_CHRAC1.54108,2_CHRNB4.1143,2_CHST4.10164,2_CKM.1158,2_CLCA1.1179,2_CLEC18C.283971,2_CLEC4F.165530,2_CLMN.79789,2_CNIH3.149111,2_CNIH4.29097,2_CNN3.1266,2_COL1A2.1278,2_COL4A2.1284,2_COL5A3.50509,2_COL9A3.1299,2_COX16.51241,2_COX5A.9377,2_CPM.1368,2_CPNE4.131034,2_CRHR1.1394,2_CRNKL1.51340,2_CS.1431,2_CSNK1E.1454,2_CSNK1G1.53944,2_CSTL1.128817,2_CTSO.1519,2_CTTNBP2NL.55917,2_CUBN.8029,2_CYB5D1.124637,2_CYBRD1.79901,2_CYP2S1.29785,2_CYS1.192668,2_CYTH3.9265,2_DBF4B.80174,2_DBH.1621,2_DBP.1628,2_DCAF15.90379,2_DDX27.55661,2_DEGS2.123099,2_DEPDC1.55635,2_DHRS4L2.317749,2_DHX8.1659,2_DIAPH1.1729,2_DLG5.9231,2_DLGAP1.9229,2_DLX1.1745,2_DNAJC18.202052,2_DNASE1L1.1774,2_DNMT3L.29947,2_DNTTIP2.30836,2_DOCK3.1795,2_DOCK7.85440,2_DPEP1.1800,2_DPY19L2P1.554236,2_DSCR6.53820,2_DST.667,2_EFHB.151651,2_EFNA1.1942,2_EFR3B.22979,2_EGF.1950,2_ELF2.1998,2_ELK1.2002,2_EMP3.2014,2_ENDOG.2021,2_ENOX2.10495,2_EOMES.8320,2_ERP44.23071,2_ESM1.11082,2_ETNK1.55500,2_EVX2.344191,2_FAM100B.283991,2_FAM133A.286499,2_FAM171A1.221061,2_FAM179A.165186,2_FAM186B.84070,2_FAM23A.653567,2_FAM36A.116228,2_FAM45A.404636,2_FAM46A.55603,2_FAM82A1.151393,2_FAM86B2.653333,2_FAM90A7.441317,2_FAP.2191,2_FIZ1.84922,2_FKBP9L.360132,2_FLII.2314,2_FLJ16779.100192386,2_FLJ36000.284124,2_FLJ39609.100130417,2_FLT3LG.2323,2_FLVCR2.55640,2_FMO1.2326,2_FNDC3A.22862,2_FOLR1.2348,2_FOLR4.390243,2_FOSL2.2355,2_FOXC1.2296,2_FOXJ1.2302,2_FTSJ1.24140,2_FUT5.2527,2_FZD6.8323,2_GABBR2.9568,2_GAS2L3.283431,2_GCAT.23464,2_GCNT1.2650,2_GDF5.8200,2_GFRA3.2676,2_GK3P.2713,2_GLB1L.79411,2_GLUD1.2746,2_GNAT2.2780,2_GNPAT.8443,2_GPR139.124274,2_GPR174.84636,2_GPR18.2841,2_GPR98.84059,2_GPRIN3.285513,2_GRB14.2888,2_GRIA4.2893,2_GRID2.2895,2_GRTP1.79774,2_GTF2A1L.11036,2_GTF2IRD2.84163,2_GTF3C5.9328,2_GXYLT1.283464,2_H2AFY2.55506,2_HAND2.9464,2_HAUS4.54930,2_HDGFL1.154150,2_HGSNAT.138050,2_HILS1.373861,2_HINFP.25988,2_HIST1H2BM.8342,2_HIST1H3G.8355,2_HIST1H3H.8357,2_HIST1H4D.8360,2_HKDC1.80201,2_HLA.DQA2.3118,2_HOXB5.3215,2_HOXB7.3217,2_HOXD4.3233,2_HP.3240,2_HSD17B14.51171,2_HSD17B4.3295,2_HSPB1.3315,2_HSPB6.126393,2_HUS1.3364,2_ICOSLG.23308,2_IFNAR1.3454,2_IGFBP2.3485,2_IKBIP.121457,2_IL17RC.84818,2_IL1RAP.3556,2_IL22RA1.58985,2_IMP3.55272,2_INO80E.283899,2_IPO9.55705,2_IQGAP2.10788,2_IQGAP3.128239,2_IRAK4.51135,2_IRF2.3660,2_ITGA1.3672,2_ITGA7.3679,2_ITM2B.9445,2_JAM3.83700,2_KAAG1.353219,2_KBTBD6.89890,2_KCND2.3751,2_KCNJ13.3769,2_KCNK4.50801,2_KCNQ2.3785,2_KDM4C.23081,2_KIAA0427.9811,2_KIAA0467.23334,2_KIAA1524.57650,2_KIAA1609.57707,2_KIR3DP1.768329,2_KLRC3.3823,2_KRT2.3849,2_LAMA2.3908,2_LATS2.26524,2_LCE1D.353134,2_LCTL.197021,2_LEKR1.389170,2_LETMD1.25875,2_LIMCH1.22998,2_LOC100128191.100128191,2_LOC100128842.100128842,2_LOC100132215.100132215,2_LOC100134368.100134368,2_LOC100270710.100270710,2_LOC143188.143188,2_LOC150622.150622,2_LOC157627.157627,2_LOC285045.285045,2_LOC643763.643763,2_LOC645752.645752,2_LOC650368.650368,2_LOC650623.650623,2_LOC80054.80054,2_LPIN3.64900,2_LRRC1.55227,2_LRRC59.55379,2_LRRIQ4.344657,2_LYZL1.84569,2_MAB21L1.4081,2_MAGEC2.51438,2_MAGOH.4116,2_MAP1LC3C.440738,2_MAP3K1.4214,2_MARK3.4140,2_MATR3.9782,2_MAX.4149,2_MBOAT4.619373,2_MCFD2.90411,2_MET.4233,2_METRN.79006,2_METTL5.29081,2_MEX3B.84206,2_MGC12982.84793,2_MGC45800.90768,2_MLLT3.4300,2_MOV10.4343,2_MPZL3.196264,2_MRC1.4360,2_MRFAP1.93621,2_MTDH.92140,2_MTMR11.10903,2_MTSS1L.92154,2_MUC12.10071,2_MYCN.4613,2_MZF1.7593,2_NANOS1.340719,2_NCOA4.8031,2_NCRNA00093.100188954,2_NCRNA00158.54072,2_NDUFS4.4724,2_NEDD9.4739,2_NEGR1.257194,2_NEIL2.252969,2_NFIB.4781,2_NFYC.4802,2_NIP7.51388,2_NIPAL1.152519,2_NLRP11.204801,2_NMB.4828,2_NOG.9241,2_NOL7.51406,2_NOX4.50507,2_NPPC.4880,2_NTNG2.84628,2_ODZ3.55714,2_OOEP.441161,2_OR4F21.441308,2_OR52B6.340980,2_OR52N4.390072,2_OTC.5009,2_OTOR.56914,2_OTX2.5015,2_OXTR.5021,2_P4HA2.8974,2_PABPC1L.80336,2_PAK4.10298,2_PARK2.5071,2_PBLD.64081,2_PC.5091,2_PCBD1.5092,2_PCDHA5.56143,2_PCDHB12.56124,2_PCDHGC3.5098,2_PCMT1.5110,2_PCSK1.5122,2_PDHB.5162,2_PDIA3P.171423,2_PDSS1.23590,2_PEA15.8682,2_PER3.8863,2_PGAM4.441531,2_PGM1.5236,2_PHF8.23133,2_PI4K2B.55300,2_PID1.55022,2_PITX2.5308,2_PKD2L2.27039,2_PLA2G12A.81579,2_PLK1.5347,2_PLOD2.5352,2_PLSCR3.57048,2_PLXNA1.5361,2_PNMAL2.57469,2_POLL.27343,2_POLR1E.64425,2_PON3.5446,2_POT1.25913,2_POU3F2.5454,2_PPP1R11.6992,2_PPP4R4.57718,2_PQBP1.10084,2_PRG2.5553,2_PRKCB.5579,2_PRKCI.5584,2_PRPF18.8559,2_PRSS42.339906,2_PSMB2.5690,2_PTBP1.5725,2_PTGFRN.5738,2_PTPN14.5784,2_PTRF.284119,2_QKI.9444,2_QRFP.347148,2_RAB36.9609,2_RAB8A.4218,2_RAD18.56852,2_RALB.5899,2_RASEF.158158,2_RASL10A.10633,2_RASSF7.8045,2_RBBP5.5929,2_RBM23.55147,2_RBM41.55285,2_REC8.9985,2_REST.5978,2_RETN.56729,2_RFPL4B.442247,2_RGPD4.285190,2_RHCG.51458,2_RHPN2.85415,2_RIBC1.158787,2_RNF139.11236,2_RNF213.57674,2_RNF215.200312,2_RNPEP.6051,2_RPL31.6160,2_RPLP1.6176,2_RPS15AP10.728963,2_RPS16.6217,2_RPS17.6218,2_RPSAP58.388524,2_RRAS2.22800,2_RSL1D1.26156,2_SACM1L.22908,2_SAE1.10055,2_SALL1.6299,2_SAMD11.148398,2_SAMD9.54809,2_SARDH.1757,2_SATB2.23314,2_SBK1.388228,2_SC65.10609,2_SCEL.8796,2_SCNN1B.6338,2_SDC2.6383,2_SEC16B.89866,2_SEC61G.23480,2_SEMA4A.64218,2_SEMA6C.10500,2_SEPHS2.22928,2_SEPT4.5414,2_SFRP2.6423,2_SFT2D3.84826,2_SH2B3.10019,2_SIGMAR1.10280,2_SIM2.6493,2_SKI.6497,2_SLC1A1.6505,2_SLC1A6.6511,2_SLC25A31.83447,2_SLC2A10.81031,2_SLC2A3.6515,2_SLC30A6.55676,2_SLC4A3.6508,2_SLC4A7.9497,2_SLC6A18.348932,2_SLITRK1.114798,2_SMS.6611,2_SNAI2.6591,2_SNORA15.677803,2_SPAG5.10615,2_SPATS2L.26010,2_SPDYE5.442590,2_SPIB.6689,2_SPOCD1.90853,2_SPRY2.10253,2_SRI.6717,2_ST6GAL2.84620,2_STAT1.6772,2_STK17A.9263,2_STRN4.29888,2_SULF2.55959,2_SUMO1P1.391257,2_SUN1.23353,2_SUSD1.64420,2_SVEP1.79987,2_SWAP70.23075,2_SYBU.55638,2_SYDE2.84144,2_TADA2B.93624,2_TBL2.26608,2_TCEAL2.140597,2_TCF12.6938,2_TCP10.6953,2_TDGF1.6997,2_TECTB.6975,2_TERT.7015,2_TFAP2B.7021,2_TGM5.9333,2_THBS3.7059,2_TIGD3.220359,2_TMEM179.388021,2_TMEM30A.55754,2_TMEM35.59353,2_TMEM44.93109,2_TMEM47.83604,2_TNFRSF18.8784,2_TNK2.10188,2_TNXB.7148,2_TOM1L1.10040,2_TRAF5.7188,2_TRAM1.23471,2_TREX2.11219,2_TRIM13.10206,2_TRIM16.10626,2_TRIM16L.147166,2_TRNAU1AP.54952,2_TRRAP.8295,2_TSPAN15.23555,2_TSPAN4.7106,2_TSPAN6.7105,2_TSPAN9.10867,2_TTF2.8458,2_TUBB1.81027,2_TUBB6.84617,2_TUBG2.27175,2_TUBGCP2.10844,2_TWIST1.7291,2_UBE2T.29089,2_UBE2Z.65264,2_UBE3C.9690,2_UBQLN4.56893,2_UBTF.7343,2_UHRF1BP1L.23074,2_UNG.7374,2_UROS.7390,2_USH1C.10083,2_UTP20.27340,2_UTS2R.2837,2_VANGL1.81839,2_VAPA.9218,2_VAV3.10451,2_VGLL2.245806,2_VKORC1.79001,2_VPS54.51542,2_VPS72.6944,2_VRK1.7443,2_VSX1.30813,2_WDR37.22884,2_WDR66.144406,2_WDR67.93594,2_WDR86.349136,2_WDTC1.23038,2_WEE1.7465,2_WISP1.8840,2_YPEL4.219539,2_YWHAE.7531,2_ZDHHC5.25921,2_ZEB1.6935,2_ZNF217.7764,2_ZNF22.7570,2_ZNF248.57209,2_ZNF311.282890,2_ZNF32.7580,2_ZNF423.23090,2_ZNF473.25888,2_ZNF526.116115,2_ZNF630.57232,2_ZNF648.127665,2_ZNF679.168417,2_ZNF700.90592,2_ZNF705D.728957,2_ZNF711.7552,2_ZNF799.90576,2_ZNF814.730051,2_ZNF841.284371,2_ZNF845.91664,2_ZSCAN2.54993,2_ZUFSP.221302
0,2,57,23,106,0,0,42,48,57,7,0,0,0,0,0,96,74,50,0,0,0,0,0,52,0,22,0,147,0,0,0,0,38,0,0,25,0,0,0,0,0,63,0,15,1,0,33,24,18,23,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,332,0,0,0,0,0,0,46,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,345,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,283,0,0,0,0,386,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,346,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,320,0,195,0,196,0,0,0,0,0,34,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,131,282,0,0,0,0,0,0,292,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,189,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,70,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,98,296,0,0,0,0,0,0,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,320,0,0,0,0,294,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,325,233,0,0,0,330,385,84,0,283,0,0,0,0,0,0,0
100,260,0,0,0,2,0,1,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,4,0,1,0,0,0,1,328,0,0,0,2,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,11,0,8,0,0,2,3,0,0,2,0,0,0,0,0,0,1,2,4,0,3,0,5,0,0,1,0,1,0,0,0,49,1,0,0,0,0,1,2,0,1,15,1,0,2,328,0,0,0,2,0,27,0,5,0,0,0,0,0,2,0,2,0,2,0,0,0,1,0,0,1,0,1,0,0,1,0,6,0,0,3,1,0,3,0,0,0,1,1,0,1,0,0,4,0,0,4,16,0,0,0,0,0,379,0,0,0,0,399,0,0,0,0,0,0,0,17,0,1,0,1,5,0,0,1,0,3,0,0,0,0,0,1,0,197,0,0,0,4,1,0,1,0,0,1,1,3,0,0,0,0,0,0,180,0,0,0,0,6,0,0,0,0,0,0,9,1,0,115,13,0,0,0,0,1,0,3,382,0,0,0,0,2,0,0,0,0,0,4,1,0,0,0,1,9,0,0,0,0,0,0,0,0,1,444,1,0,1,0,0,0,0,1,0,0,2,14,0,0,4,0,0,0,4,0,2,0,1,0,0,1,0,2,0,0,3,0,0,0,0,0,1,0,0,365,0,0,0,0,0,0,10,1,0,1,0,0,44,0,1,0,0,0,0,0,1,0,5,0,11,1,0,0,0,0,2,2,1,0,4,0,2,0,3,1,0,0,0,0,0,1,0,0,0,1,2,0,6,0,0,0,0,1,1,0,0,0,0,0,2,0,1,1,1,0,3,0,0,0,0,0,0,0,0,3,14,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3,0,1,0,1,3,1,3,2,0,0,0,22,46,0,1,0,0,0,0,1,0,2,0,0,2,1,1,0,3,0,1,0,0,0,0,0,1,4,0,0,0,1,2,0,2,0,0,0,6,0,0,0,75,1,1,0,0,1,0,0,0,0,0,14,2,0,2,2,3,20,12,1,0,1,3,1,2,0,0,4,3,1,0,35,6,0,0,11,199,0,2,0,0,0,1,1,2,0,0,10,0,0,0,1,1,2,0,16,0,1,0,2,1,0,19,1,0,14,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,0,1,0,0,1,5,0,0,0,1,0,3,0,1,26,1,1,0,0,0,0,3,1,368,1,0,0,0,167,19,0,0,311,0,1,0,0,1,1,0
200,412,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,65,3,0,1,0,1,0,6,0,0,1,0,1,0,0,0,0,1,2,62,0,2,0,0,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,258,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,2,1,0,1,1,0,0,0,2,0,0,0,1,1,2,3,88,2,0,0,0,0,5,0,2,0,2,0,0,39,1,2,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,25,0,3,0,363,1,1,1,0,1,84,8,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,6,0,0,0,0,47,0,0,0,1,1,0,0,0,0,0,0,14,0,0,0,0,0,90,1,3,1,1,1,336,1,1,3,0,430,0,0,0,1,1,0,0,4,0,0,1,0,0,1,4,0,1,0,0,2,0,0,0,0,1,259,7,0,2,0,0,2,0,1,0,0,0,0,0,1,1,0,4,1,244,0,0,0,0,4,0,0,12,0,1,1,0,0,0,81,0,0,0,0,1,0,0,0,403,1,0,1,0,0,0,1,2,1,0,0,0,0,0,2,0,1,1,0,3,1,0,1,0,4,0,438,0,1,0,1,0,0,1,3,0,0,0,12,0,0,0,0,1,5,0,0,0,1,1,8,1,0,2,0,1,4,0,3,1,0,0,1,0,0,0,345,0,2,0,20,1,2,0,0,0,0,0,0,108,1,0,20,0,1,0,0,0,0,116,0,1,0,1,0,0,0,0,4,0,1,0,2,0,0,0,0,1,1,0,2,7,0,0,1,2,0,0,1,2,4,1,1,1,0,0,0,6,12,1,1,0,0,0,0,0,2,0,5,2,0,0,0,1,1,1,1,32,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,0,5,1,0,8,0,0,0,0,3,1,1,0,0,0,0,1,2,0,1,0,1,98,1,0,0,0,0,0,1,2,1,0,3,0,0,0,0,0,30,0,0,1,0,0,0,0,3,0,0,0,0,2,7,0,1,0,0,256,0,1,0,0,32,0,0,2,1,0,0,2,0,1,0,0,0,0,0,0,1,1,1,3,1,0,0,1,0,1,0,2,0,0,0,20,4,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,14,0,0,0,1,0,0,1,10,0,2,2,80,0,18,1,0,0,0,3,1,0,0,400,1,0,0,1,152,6,0,1,345,3,0,2,0,0,0,1
299,442,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,110,1,0,1,0,0,0,6,0,1,0,0,0,0,0,5,0,0,0,138,0,3,0,0,0,0,4,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,261,1,1,1,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,2,106,0,0,0,1,0,6,6,0,0,0,1,2,77,0,0,0,0,0,0,17,1,0,1,4,0,2,0,1,1,1,0,0,2,0,1,1,0,0,0,0,4,0,6,1,376,0,0,0,0,0,129,0,0,0,1,1,0,0,0,2,0,1,0,1,1,0,0,1,2,0,4,0,3,0,0,1,0,1,52,0,0,1,0,0,1,1,2,0,3,0,13,3,0,2,1,0,26,0,3,0,0,0,327,0,0,1,1,433,2,1,1,0,0,1,1,0,2,0,0,0,0,1,3,0,0,0,1,4,2,1,2,0,0,261,0,5,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,267,2,1,1,1,2,3,1,13,2,0,2,0,0,2,80,0,15,2,3,0,0,6,0,399,0,0,2,0,0,2,6,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,19,0,426,0,0,0,0,1,1,0,0,1,15,0,0,3,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,8,0,0,0,0,1,0,0,1,0,344,1,2,2,1,0,30,0,0,1,0,0,2,109,0,0,22,1,0,1,1,0,1,169,0,0,0,0,1,2,1,0,1,0,0,0,0,0,3,0,0,0,1,3,1,8,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,8,1,0,1,1,0,42,1,2,1,0,0,0,0,1,1,5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,27,0,1,0,0,0,1,1,0,0,0,15,0,4,0,1,1,0,0,0,3,7,0,0,0,0,0,6,0,1,1,1,2,1,0,0,6,5,0,1,0,7,0,0,0,0,0,1,1,0,118,1,0,1,2,0,0,0,0,0,2,1,0,1,0,0,0,31,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,1,2,0,275,2,0,1,1,35,0,0,2,0,1,0,0,1,0,0,0,0,4,0,11,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,31,0,2,1,2,1,2,0,2,0,25,0,0,0,1,0,2,15,0,1,0,1,0,1,1,0,0,1,1,144,0,15,1,0,3,1,0,0,0,0,406,0,1,1,0,131,5,0,0,361,0,0,0,7,0,0,0
