gen,0_age_at_initial_pathologic_diagnosis,1_hsa.let.7e.5p,1_hsa.miR.105.5p,1_hsa.miR.10b.5p,1_hsa.miR.1228.3p,1_hsa.miR.1249,1_hsa.miR.125b.1.3p,1_hsa.miR.155.5p,1_hsa.miR.15b.5p,1_hsa.miR.181a.2.3p,1_hsa.miR.196b.5p,1_hsa.miR.199a.5p,1_hsa.miR.216b.5p,1_hsa.miR.222.5p,1_hsa.miR.23a.3p,1_hsa.miR.23b.5p,1_hsa.miR.28.3p,1_hsa.miR.301b,1_hsa.miR.3074.5p,1_hsa.miR.3131,1_hsa.miR.31.3p,1_hsa.miR.3154,1_hsa.miR.3157.3p,1_hsa.miR.335.5p,1_hsa.miR.346,1_hsa.miR.378c,1_hsa.miR.3923,1_hsa.miR.452.5p,1_hsa.miR.455.3p,1_hsa.miR.503.5p,1_hsa.miR.550a.3p,1_hsa.miR.551b.3p,1_hsa.miR.615.3p,1_hsa.miR.6502.5p,1_hsa.miR.6509.5p,1_hsa.miR.6720.3p,1_hsa.miR.767.3p,1_hsa.miR.7974,1_hsa.miR.877.5p,1_hsa.miR.513a.3p,2_..728603,2_ABCC11.85320,2_ABCD1.215,2_ACAT1.38,2_ADAMTS3.9508,2_ADAMTSL4.54507,2_AEN.64782,2_AES.166,2_AFF1.4299,2_AG2.387763,2_AGPAT4.56895,2_AKAP8.10270,2_ALB.213,2_ALG12.79087,2_ALS2CL.259173,2_ANKRD17.26057,2_ANO8.57719,2_AP4B1.10717,2_APCDD1L.164284,2_ARAF.369,2_ARHGAP17.55114,2_ARHGEF9.23229,2_ARID5A.10865,2_ARNTL.406,2_ARPP21.10777,2_ASTN1.460,2_ATP5G1.516,2_ATP5O.539,2_B3GNT9.84752,2_B9D2.80776,2_BHLHE40.8553,2_BIRC3.330,2_BOLL.66037,2_C10orf53.282966,2_C11orf24.53838,2_C15orf41.84529,2_C15orf59.388135,2_C17orf102.400591,2_C1orf130.400746,2_C1orf135.79000,2_C1orf152.767846,2_C1orf163.65260,2_C1orf63.57035,2_C1orf91.56063,2_C21orf94.246705,2_C22orf9.23313,2_C3orf74.100128378,2_C9orf44.158314,2_C9orf95.54981,2_C9orf96.169436,2_CAD.790,2_CASC5.57082,2_CASP9.842,2_CATSPER1.117144,2_CATSPERB.79820,2_CAV3.859,2_CBR4.84869,2_CCDC154.645811,2_CCDC46.201134,2_CCL13.6357,2_CCNYL1.151195,2_CCT6B.10693,2_CD101.9398,2_CD58.965,2_CDC37L1.55664,2_CDC6.990,2_CDKL3.51265,2_CDKN2BAS.100048912,2_CDR2.1039,2_CDSN.1041,2_CFP.5199,2_CH25H.9023,2_CHAF1B.8208,2_CHI3L1.1116,2_CHST3.9469,2_CIB2.10518,2_CLCA3P.9629,2_CLCN6.1185,2_CLEC4A.50856,2_CLSTN2.64084,2_CMYA5.202333,2_COL8A1.1295,2_CPA4.51200,2_CPE.1363,2_CRHBP.1393,2_CRTAC1.55118,2_CRYGD.1421,2_CTCF.10664,2_CTSZ.1522,2_CUTC.51076,2_CWF19L1.55280,2_CYP27C1.339761,2_DCAF8.50717,2_DCBLD2.131566,2_DCTN6.10671,2_DDX4.54514,2_DEFB119.245932,2_DERL2.51009,2_DGCR2.9993,2_DGCR5.26220,2_DHX16.8449,2_DHX8.1659,2_DKFZp779M0652.374387,2_DMD.1756,2_DNAJB12.54788,2_DNAJC24.120526,2_DUSP26.78986,2_E2F8.79733,2_ECE1.1889,2_EEF1E1.9521,2_EGLN3.112399,2_ELOVL4.6785,2_EMILIN2.84034,2_EMILIN3.90187,2_EMR2.30817,2_EN1.2019,2_EPHA6.285220,2_EPM2A.7957,2_ERMAP.114625,2_EYA2.2139,2_FADD.8772,2_FAM104B.90736,2_FAM126A.84668,2_FAM155A.728215,2_FAM171B.165215,2_FAM66C.440078,2_FAP.2191,2_FBXO4.26272,2_FCGBP.8857,2_FCHSD1.89848,2_FCHSD2.9873,2_FEZF1.389549,2_FGF21.26291,2_FGF9.2254,2_FGFBP2.83888,2_FIGN.55137,2_FIGNL1.63979,2_FLJ43859.389761,2_FLOT2.2319,2_FMO9P.116123,2_FNDC5.252995,2_FOLR1.2348,2_FOLR4.390243,2_FOXRED2.80020,2_FTSJD1.55783,2_FZD5.7855,2_GABARAPL2.11345,2_GABRA3.2556,2_GALNT9.50614,2_GBP3.2635,2_GFRA1.2674,2_GIPC3.126326,2_GJB2.2706,2_GLG1.2734,2_GLRA3.8001,2_GLRX2.51022,2_GLRX.2745,2_GLT25D2.23127,2_GLUD2.2747,2_GOT1L1.137362,2_GPHA2.170589,2_GPM6B.2824,2_GPR1.2825,2_GPR183.1880,2_GRID1.2894,2_GTF2H5.404672,2_GUCY1B2.2974,2_H19.283120,2_H2AFY.9555,2_HCFC1R1.54985,2_HDHD2.84064,2_HEBP1.50865,2_HILS1.373861,2_HIST1H2BH.8345,2_HMX1.3166,2_HOXB2.3212,2_HTR2C.3358,2_HVCN1.84329,2_IFITM3.10410,2_IFITM4P.340198,2_IFT27.11020,2_IFT57.55081,2_IGFBP2.3485,2_IGFBP4.3487,2_IL12B.3593,2_IL4I1.259307,2_IQGAP3.128239,2_IRF7.3665,2_ISL2.64843,2_ITGA3.3675,2_ITIH3.3699,2_JKAMP.51528,2_JUP.3728,2_KCNE1L.23630,2_KCNE2.9992,2_KCNH8.131096,2_KCNIP3.30818,2_KCNK15.60598,2_KDELC2.143888,2_KDELR2.11014,2_KIAA1524.57650,2_KIF21B.23046,2_KLHL22.84861,2_KLHL9.55958,2_KRT40.125115,2_LENEP.55891,2_LHFPL4.375323,2_LHX4.89884,2_LMCD1.29995,2_LOC100130557.100130557,2_LOC100131691.100131691,2_LOC144742.144742,2_LOC284276.284276,2_LOC285033.285033,2_LOC285768.285768,2_LOC286467.286467,2_LOC401052.401052,2_LOC644165.644165,2_LOC645676.645676,2_LOC647946.647946,2_LPHN3.23284,2_LPPR3.79948,2_LRCH2.57631,2_LRRC10B.390205,2_LRRC48.83450,2_LRRC69.100130742,2_LYPD6.130574,2_MAGI2.9863,2_MAL2.114569,2_MAP1LC3C.440738,2_MAP4K4.9448,2_MAPK3.5595,2_MCEE.84693,2_MCF2L2.23101,2_MEIS3.56917,2_METTL6.131965,2_MIB1.57534,2_MIOX.55586,2_MN1.4330,2_MPHOSPH8.54737,2_MRPL30.51263,2_MSL3.10943,2_MSX2P1.55545,2_MUCL1.118430,2_MX2.4600,2_MYC.4609,2_MYH15.22989,2_MYO1C.4641,2_MYT1.4661,2_MYT1L.23040,2_NCRNA00092.100188953,2_NEUROG3.50674,2_NFKBIZ.64332,2_NGDN.25983,2_NIPAL2.79815,2_NKD1.85407,2_NKIRAS1.28512,2_NLGN2.57555,2_NME1.NME2.654364,2_NPAS2.4862,2_NRBP1.29959,2_NT5DC3.51559,2_NTNG1.22854,2_OAS3.4940,2_OMP.4975,2_OPN3.23596,2_OR2F1.26211,2_OSR2.116039,2_OTUD7B.56957,2_P2RX1.5023,2_PAFAH1B1.5048,2_PAQR6.79957,2_PARG.8505,2_PCCB.5096,2_PCDHGA8.9708,2_PDCD11.22984,2_PER4.168741,2_PIGG.54872,2_PIK3C3.5289,2_PIK3IP1.113791,2_PITX1.5307,2_PIWIL4.143689,2_PKNOX2.63876,2_PLA2G2A.5320,2_PLEKHN1.84069,2_PLEKHO1.51177,2_PLSCR2.57047,2_PNMAL2.57469,2_PNPLA4.8228,2_POFUT2.23275,2_POLR2D.5433,2_POLR3H.171568,2_POM121L4P.266697,2_POU4F3.5459,2_PPIB.5479,2_PRH1.5554,2_PRICKLE1.144165,2_PRKD3.23683,2_PRLHR.2834,2_PRPF6.24148,2_PRR11.55771,2_PSMD5.5711,2_PTGFRN.5738,2_PTMA.5757,2_PTPRD.5789,2_QRSL1.55278,2_RAB2A.5862,2_RAD18.56852,2_RAD54B.25788,2_RAI14.26064,2_RASGEF1C.255426,2_RGPD3.653489,2_RHOD.29984,2_RIMS1.22999,2_RIN1.9610,2_RLN2.6019,2_RNF133.168433,2_ROCK2.9475,2_RORC.6097,2_RPL34.6164,2_RPL3.6122,2_RPL36AL.6166,2_RPS6KL1.83694,2_RRP1B.23076,2_RSAD1.55316,2_RSAD2.91543,2_RWDD1.51389,2_SAMD5.389432,2_SC65.10609,2_SCGB1D2.10647,2_SCRN2.90507,2_SEC61A1.29927,2_SEC61A2.55176,2_SEMA6D.80031,2_SERPINF1.5176,2_SERPINH1.871,2_SF3B5.83443,2_SFRS6.6431,2_SH3BGRL2.83699,2_SLC16A4.9122,2_SLC20A1.6574,2_SLC22A1.6580,2_SLC25A21.89874,2_SLC25A43.203427,2_SLC4A4.8671,2_SLC5A6.8884,2_SLC5A9.200010,2_SLITRK5.26050,2_SMC4.10051,2_SMOC1.64093,2_SMYD3.64754,2_SNORA5C.677796,2_SNORA80.677846,2_SOX13.9580,2_SOX6.55553,2_SOX8.30812,2_SP9.100131390,2_SPAG9.9043,2_SPDYE6.729597,2_SPIB.6689,2_SPPL2B.56928,2_SPRR2G.6706,2_SSC5D.284297,2_SSTR1.6751,2_STAP1.26228,2_STK17A.9263,2_STOX1.219736,2_STX7.8417,2_SUFU.51684,2_SULF2.55959,2_SUPT3H.8464,2_TAF1L.138474,2_TBCA.6902,2_TCEAL2.140597,2_TCL6.27004,2_TDRD6.221400,2_TET1.80312,2_THAP7.80764,2_THSD4.79875,2_TIAL1.7073,2_TIMM17B.10245,2_TLX1NB.100038246,2_TMEFF2.23671,2_TMEM106C.79022,2_TMEM134.80194,2_TMEM154.201799,2_TMEM200B.399474,2_TMEM2.23670,2_TMEM30A.55754,2_TMEM54.113452,2_TMOD2.29767,2_TNFRSF10C.8794,2_TNFRSF14.8764,2_TPM4.7171,2_TRIM10.10107,2_TSEN34.79042,2_TSPYL4.23270,2_TST.7263,2_TTC22.55001,2_TTC25.83538,2_TYW1.55253,2_ULK4.54986,2_USP39.10713,2_UTP20.27340,2_VPS4A.27183,2_VPS54.51542,2_VRK3.51231,2_VWC2.375567,2_WAPAL.23063,2_WEE1.7465,2_XRCC2.7516,2_YKT6.10652,2_YPEL3.83719,2_ZADH2.284273,2_ZBTB42.100128927,2_ZC4H2.55906,2_ZCCHC18.644353,2_ZCCHC6.79670,2_ZCWPW1.55063,2_ZFP91.CNTF.386607,2_ZIK1.284307,2_ZNF219.51222,2_ZNF32.7580,2_ZNF365.22891,2_ZNF417.147687,2_ZNF486.90649,2_ZNF498.221785,2_ZNF587.84914,2_ZNF593.51042,2_ZNF614.80110,2_ZNF616.90317,2_ZNF630.57232,2_ZNF652.22834,2_ZNF679.168417,2_ZNF69.7620,2_ZNF705D.728957,2_ZNF720.124411,2_ZNFX1.57169
0,64,235,0,266,113,0,0,93,89,0,181,0,198,215,0,252,0,89,227,228,0,234,257,120,279,0,141,138,0,78,147,18,133,123,87,163,0,209,179,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,437,0,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,378,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,438,256,12,239,2,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,92,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,7,0,2,1,7,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,22,0,3,37,10,0,0,4,4,1,2,1,2,0,3,0,1,0,1,0,1,0,0,0,1,0,0,0,1,2,1,1,1,1,15,1,7,0,0,1,1,2,1,0,2,2,1,0,0,1,0,0,1,1,1,0,4,0,1,1,2,0,1,1,324,2,0,0,15,1,1,5,0,0,2,0,0,0,0,1,3,0,0,1,1,5,1,0,2,1,1,0,0,0,0,5,45,2,0,1,0,1,2,1,0,1,1,1,0,4,0,0,0,0,0,1,0,2,3,2,0,0,0,3,0,1,1,41,0,2,0,0,0,3,1,1,1,0,2,0,1,1,0,1,2,0,0,1,6,0,2,1,0,2,1,0,0,7,126,1,0,1,10,1,2,3,0,3,1,1,0,0,2,0,1,1,2,1,1,0,6,0,350,0,0,0,0,1,0,1,1,40,5,0,0,35,4,0,0,1,1,0,0,2,0,0,0,1,2,1,245,0,0,0,1,1,4,0,1,0,0,3,1,7,1,2,1,0,1,0,0,1,0,2,1,1,1,1,0,12,0,1,2,0,5,1,1,2,1,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,1,4,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,3,1,1,0,0,4,0,1,1,375,1,2,1,0,0,0,2,0,1,4,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,10,1,1,1,0,1,9,2,0,2,0,0,0,0,0,0,0,1,1,1,26,2,1,1,2,2,0,3,0,1,13,3,1,2,214,0,0,1,1,1,0,1,1,1,19,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,2,467,0,2,0,18,0,0,1,1,3,0,2,1,1,0,0,0,13,20,0,2,1,287,0,1,0,0,0,0
200,444,207,3,227,2,0,1,0,0,3,1,1,0,1,0,0,1,0,0,0,0,0,184,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,36,0,0,1,0,0,0,5,1,0,3,1,0,0,1,0,0,0,0,0,0,124,0,0,1,22,1,0,144,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,2,1,0,0,0,0,1,1,0,0,2,1,1,0,0,2,1,3,0,322,1,1,2,6,1,0,0,0,0,1,0,3,0,9,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,21,0,2,0,1,0,7,0,0,0,0,0,2,0,0,5,1,1,0,1,1,2,2,1,0,0,0,0,1,1,0,1,0,1,8,1,1,0,3,0,0,1,0,0,0,1,1,1,6,0,1,0,46,1,0,4,1,1,0,1,0,12,212,0,0,1,6,1,1,0,2,1,0,1,1,5,0,1,0,0,0,0,0,1,0,3,353,1,0,5,0,0,0,0,0,16,0,1,1,14,0,1,0,0,1,1,2,1,1,1,0,0,2,1,260,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,7,2,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,42,0,0,0,0,1,0,0,1,3,0,0,1,0,0,0,2,0,0,1,2,2,0,0,1,397,0,0,1,2,1,0,0,0,2,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,57,0,0,0,0,0,0,0,0,3,1,1,1,0,0,7,0,0,1,2,21,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,3,0,0,252,11,10,2,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,2,0,0,0,2,0,0,3,1,0,2,470,1,0,1,14,1,1,0,1,2,8,0,0,1,1,0,9,0,5,1,0,0,300,3,1,0,0,0,0
299,444,181,1,187,2,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,27,0,1,0,1,0,1,4,1,0,0,1,0,0,0,0,1,4,0,1,0,99,0,2,0,19,0,0,206,0,0,1,0,0,0,1,1,1,1,0,3,9,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,1,0,0,3,1,1,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,321,0,0,1,4,1,0,0,1,2,0,1,1,2,7,0,0,11,0,2,0,0,0,1,0,0,0,2,1,1,1,0,8,0,1,0,0,0,5,0,7,0,0,0,0,0,0,16,0,0,2,0,0,6,0,0,1,2,1,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,2,0,1,0,0,11,1,0,0,35,0,0,4,1,1,0,1,1,8,228,0,1,1,9,0,0,0,15,1,0,4,1,7,0,0,0,0,0,0,0,1,0,1,328,1,1,81,1,0,3,0,0,6,0,4,0,23,0,0,1,0,0,0,1,0,0,1,2,0,2,1,246,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,2,2,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,2,8,0,0,4,2,1,1,1,0,0,3,6,1,4,1,0,63,1,1,0,0,1,0,0,0,2,2,0,0,1,0,0,1,0,0,1,16,2,1,0,1,358,0,0,1,1,1,1,0,1,2,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,65,2,0,0,0,0,0,0,0,1,1,1,1,1,0,2,1,1,0,0,25,8,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,0,0,280,3,1,2,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,2,1,72,0,1,0,0,0,1,13,0,0,1,472,0,0,0,1,3,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,313,2,1,1,2,1,1
