0_AADACL3,0_BCDIN3D,0_C12orf48,0_C15orf42,0_C2orf40,0_CENPN,0_DSCC1,0_EMILIN3,0_FAM134B,0_FAM175A,0_FOXC1,0_GPR77,0_HOXA4,0_IMPG1,0_NUDT12,0_OSR1,0_PSAT1,0_SLC22A11,0_STAC2,0_TCF19,0_TMEM86A,0_WDR67
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0
1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0
0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0
0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1
1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1
0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0
0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1
