0_age_at_initial_pathologic_diagnosis,1_AARS.16,1_ADCY3.109,1_BCL7B.9275,1_C2orf29.55571,1_C6orf155.79940,1_CKAP2.26586,1_CLIP4.79745,1_CLPTM1L.81037,1_CRTAC1.55118,1_DNMBP.23268,1_DUSP9.1852,1_ECE1.1889,1_ERP29.10961,1_EXOC3L2.90332,1_FBP1.2203,1_FLJ25758.497049,1_GK2.2712,1_GNAO1.2775,1_HIST1H3J.8356,1_HOXA10.3206,1_HSD17B2.3294,1_HTRA3.94031,1_ITIH3.3699,1_KDELR3.11015,1_KLF16.83855,1_KLK11.11012,1_KPNB1.3837,1_LOC643955.643955,1_MED4.29079,1_MPDU1.9526,1_NDUFB6.4712,1_NSDHL.50814,1_PCDHGA12.26025,1_PDIA6.10130,1_PPIAL4B.653505,1_PTGFRN.5738,1_RAD18.56852,1_RCC1.1104,1_REC8.9985,1_RWDD1.51389,1_SAMD5.389432,1_SC4MOL.6307,1_SLC22A6.9356,1_TMTC1.83857,1_TMTC2.160335,1_TNFAIP8.25816,1_TOE1.114034,1_TRIM10.10107,1_TXNRD2.10587,1_USP11.8237,1_VASN.114990,1_WEE1.7465,1_ZBTB34.403341,1_ZNF648.127665
1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1
1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1
1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1
1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
