0_age_at_initial_pathologic_diagnosis,1_ABCD2.225,1_ADHFE1.137872,1_ARMC9.80210,1_ARNTL.406,1_ATF4.468,1_BRCA2.675,1_C2orf15.150590,1_C4orf36.132989,1_CCNJL.79616,1_CHP.11261,1_CNTN1.1272,1_DMBX1.127343,1_EFCAB10.100130771,1_EPSTI1.94240,1_ERCC1.2067,1_GPX7.2882,1_GTF2H2B.653238,1_GVIN1.387751,1_HDDC2.51020,1_HIST2H2BE.8349,1_ICAM1.3383,1_INCENP.3619,1_KCNJ13.3769,1_KHDRBS2.202559,1_LOC100134229.100134229,1_LOC388387.388387,1_LOC401052.401052,1_LTB4R2.56413,1_MMP15.4324,1_MOV10.4343,1_NAB2.4665,1_PDLIM3.27295,1_PER4.168741,1_PHIP.55023,1_PTGFRN.5738,1_PTPRT.11122,1_RAD9B.144715,1_RAI14.26064,1_RB1.5925,1_RBM17.84991,1_RGPD6.729540,1_SLC33A1.9197,1_SMYD2.56950,1_TFAP2B.7021,1_TMEM163.81615,1_TMEM53.79639,1_TRIM29.23650,1_TRNAU1AP.54952,1_TRPM4.54795,1_TXLNA.200081,1_WEE1.7465,1_ZCCHC6.79670,1_ZNF175.7728,1_ZNF417.147687,1_ZNF648.127665,1_ZNF808.388558,1_ZRSR2.8233,1_ZSCAN12.9753
1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0
1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0
