0_age_at_initial_pathologic_diagnosis,1_AARS.16,1_AMHR2.269,1_C1orf105.92346,1_DDX41.51428,1_DTYMK.1841,1_EFHB.151651,1_ELK1.2002,1_EVX2.344191,1_FOLR4.390243,1_FOXD3.27022,1_GALNT14.79623,1_ITGA2.3673,1_PLAA.9373,1_RBBP5.5929,1_RNASEH1.246243,1_TCL1A.8115,1_TYR.7299,1_VSIG10L.147645,1_WEE1.7465,1_ZNF808.388558
1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1
1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1
1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1
1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1
1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0
1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0
1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0
1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0
1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
