gen,evals,gen_feats,explored,Pam50 random forest balanced accuracy_min,Pam50 random forest balanced accuracy_avg,Pam50 random forest balanced accuracy_max,Pam50 random forest balanced accuracy_std,leanness_min,leanness_avg,leanness_max,leanness_std
0,500,8942,8942,0.2,0.46754611616558667,0.6596856244134057,0.08479604549427566,0.0196078431372549,0.0854880323491399,1.0,0.1401095853675633
1,383,5402,9178,0.2,0.4718568529583401,0.6596856244134057,0.10081013333891842,0.01818181818181818,0.12180120161881891,1.0,0.15915355416585422
2,357,3317,9401,0.2,0.4967238776481161,0.6596856244134057,0.10528295373478017,0.014705882352941176,0.13775853905398633,1.0,0.1877601413915713
3,356,2301,9597,0.2,0.500504103528051,0.6596856244134057,0.11661817664928374,0.017543859649122806,0.1711201038540547,1.0,0.22540961192022005
4,363,1466,9812,0.2,0.5101830801699089,0.680210834115459,0.12998321528627443,0.02127659574468085,0.2022920334596799,1.0,0.26699853425438785
5,359,1137,10027,0.2,0.5014073958373018,0.7138515890428513,0.14756422822490714,0.02127659574468085,0.25521936429261116,1.0,0.30607670004751625
6,366,1040,10243,0.2,0.4949229524871599,0.7201240592845541,0.16683485195982772,0.022727272727272728,0.31125208498527085,1.0,0.3457982241273855
7,358,909,10436,0.2,0.4583424494533201,0.7364642238080231,0.18775874428378847,0.02702702702702703,0.4176511801207723,1.0,0.3898374446542801
8,346,810,10639,0.2,0.40609865630075875,0.7399005365498038,0.20421691820793836,0.02564102564102564,0.5584144547163057,1.0,0.413324703349141
9,329,668,10803,0.2,0.32599618460447527,0.7399005365498038,0.19483151891910147,0.02564102564102564,0.7505185945380315,1.0,0.37767376966950705
10,312,496,10983,0.2,0.2096824348555636,0.7531671785116869,0.06645090374054512,0.058823529411764705,0.9831405408317173,1.0,0.11473616223008962
11,307,492,11176,0.2,0.21470047095946915,0.7531671785116869,0.08264627824698531,0.058823529411764705,0.9746533038856569,1.0,0.14161928083902445
12,307,486,11376,0.2,0.21784835852730636,0.7616039999238077,0.0915770383334995,0.05555555555555555,0.9693644149967678,1.0,0.15634541009594435
13,284,452,11535,0.2,0.22038736191007235,0.7616039999238077,0.09909732271512454,0.05555555555555555,0.9652033038856569,1.0,0.1683722788667324
14,308,468,11685,0.2,0.2160391758414923,0.7643494842299207,0.0872813060534189,0.058823529411764705,0.9727189901601666,1.0,0.14763491503041754
