0_age_at_initial_pathologic_diagnosis,0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.130b.3p,1_hsa.miR.130b.5p,1_hsa.miR.34c.5p,2_ACTN2.88,2_ADAMTSL4.54507,2_ANXA8L2.244,2_AR.367,2_AUP1.550,2_B3GAT3.26229,2_B4GALNT4.338707,2_CBX4.8535,2_CBX8.57332,2_CYP3A7.1551,2_DONSON.29980,2_F2RL1.2150,2_FAM64A.54478,2_FBF1.85302,2_FKBP11.51303,2_FNIP2.57600,2_G6PC.2538,2_GPSM1.26086,2_HOXA2.3199,2_HOXA3.3200,2_IGDCC4.57722,2_IGF2BP2.10644,2_IGF2BP3.10643,2_IQGAP2.10788,2_KHK.3795,2_KPNA2.3838,2_NEK2.4751,2_NRBP1.29959,2_PPP1R1A.5502,2_RNPS1.10921,2_ROBLD3.28956,2_SLC23A3.151295,2_SLC4A3.6508,2_SLC5A12.159963,2_SNX30.401548,2_SPC25.57405,2_STON1.GTF2A1L.286749,2_TREM1.54210,2_TRIM65.201292,2_ZIC5.85416,2_ZNF613.79898,2_ZNF658.26149,2_ZNF746.155061
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
