0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.130b.3p,1_hsa.miR.194.3p,1_hsa.miR.21.5p,1_hsa.miR.92b.3p,2_ACE2.59272,2_ACOT4.122970,2_ACTN2.88,2_ADAM22.53616,2_ADH5.128,2_AKAP6.9472,2_BARX1.56033,2_C17orf53.78995,2_C6orf186.728464,2_CYP3A7.1551,2_DMRTA1.63951,2_EIF5A.1984,2_EPAS1.2034,2_EXOSC1.51013,2_FAM160A1.729830,2_FOXA2.3170,2_GPR172A.79581,2_GTPBP2.54676,2_HN1.51155,2_HOXA2.3199,2_HOXA3.3200,2_IGFN1.91156,2_ITGAE.3682,2_ITPA.3704,2_JTB.10899,2_KCND1.3750,2_KIF23.9493,2_LOC150197.150197,2_NRSN2.80023,2_PIPSL.266971,2_RAG1.5896,2_RHBDF1.64285,2_RILPL1.353116,2_S100A11.6282,2_SLC16A12.387700,2_SSFA2.6744,2_STON1.GTF2A1L.286749,2_STRADA.92335,2_TBC1D8B.54885,2_UCK2.7371,2_UGT2A3.79799,2_ZNF304.57343
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
