gen,0_age_at_initial_pathologic_diagnosis,0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.let.7b.3p,1_hsa.let.7b.5p,1_hsa.let.7i.5p,1_hsa.miR.101.3p,1_hsa.miR.101.5p,1_hsa.miR.107,1_hsa.miR.10b.3p,1_hsa.miR.10b.5p,1_hsa.miR.1197,1_hsa.miR.1228.3p,1_hsa.miR.1248,1_hsa.miR.1251.5p,1_hsa.miR.1254,1_hsa.miR.126.5p,1_hsa.miR.1269a,1_hsa.miR.1269b,1_hsa.miR.1293,1_hsa.miR.1307.3p,1_hsa.miR.130a.5p,1_hsa.miR.130b.3p,1_hsa.miR.130b.5p,1_hsa.miR.132.5p,1_hsa.miR.137,1_hsa.miR.138.1.3p,1_hsa.miR.138.5p,1_hsa.miR.139.3p,1_hsa.miR.139.5p,1_hsa.miR.143.5p,1_hsa.miR.144.3p,1_hsa.miR.144.5p,1_hsa.miR.1468.5p,1_hsa.miR.146b.3p,1_hsa.miR.146b.5p,1_hsa.miR.149.3p,1_hsa.miR.149.5p,1_hsa.miR.151a.3p,1_hsa.miR.151b,1_hsa.miR.153.5p,1_hsa.miR.154.3p,1_hsa.miR.17.5p,1_hsa.miR.181a.2.3p,1_hsa.miR.181b.3p,1_hsa.miR.183.5p,1_hsa.miR.184,1_hsa.miR.18a.5p,1_hsa.miR.190a.5p,1_hsa.miR.192.5p,1_hsa.miR.193b.3p,1_hsa.miR.194.3p,1_hsa.miR.194.5p,1_hsa.miR.199b.5p,1_hsa.miR.202.5p,1_hsa.miR.204.5p,1_hsa.miR.21.3p,1_hsa.miR.215.5p,1_hsa.miR.21.5p,1_hsa.miR.221.3p,1_hsa.miR.223.3p,1_hsa.miR.22.5p,1_hsa.miR.2355.5p,1_hsa.miR.23b.3p,1_hsa.miR.24.1.5p,1_hsa.miR.27b.3p,1_hsa.miR.27b.5p,1_hsa.miR.296.3p,1_hsa.miR.296.5p,1_hsa.miR.301b,1_hsa.miR.30e.3p,1_hsa.miR.3130.5p,1_hsa.miR.31.3p,1_hsa.miR.31.5p,1_hsa.miR.331.5p,1_hsa.miR.335.5p,1_hsa.miR.338.5p,1_hsa.miR.34b.3p,1_hsa.miR.34b.5p,1_hsa.miR.34c.3p,1_hsa.miR.34c.5p,1_hsa.miR.3607.3p,1_hsa.miR.3614.5p,1_hsa.miR.3615,1_hsa.miR.362.3p,1_hsa.miR.3648,1_hsa.miR.3651,1_hsa.miR.365a.3p,1_hsa.miR.365b.3p,1_hsa.miR.376a.3p,1_hsa.miR.376a.5p,1_hsa.miR.376b.5p,1_hsa.miR.376c.3p,1_hsa.miR.377.3p,1_hsa.miR.379.3p,1_hsa.miR.411.3p,1_hsa.miR.425.3p,1_hsa.miR.425.5p,1_hsa.miR.4326,1_hsa.miR.4461,1_hsa.miR.451a,1_hsa.miR.454.3p,1_hsa.miR.4662a.5p,1_hsa.miR.485.3p,1_hsa.miR.486.5p,1_hsa.miR.487a.3p,1_hsa.miR.494.3p,1_hsa.miR.502.3p,1_hsa.miR.504.5p,1_hsa.miR.505.5p,1_hsa.miR.541.3p,1_hsa.miR.543,1_hsa.miR.550a.3p,1_hsa.miR.5586.5p,1_hsa.miR.576.5p,1_hsa.miR.590.3p,1_hsa.miR.616.3p,1_hsa.miR.625.3p,1_hsa.miR.627.5p,1_hsa.miR.6503.5p,1_hsa.miR.655.3p,1_hsa.miR.656.3p,1_hsa.miR.6715a.3p,1_hsa.miR.671.5p,1_hsa.miR.6718.5p,1_hsa.miR.6720.3p,1_hsa.miR.7.5p,1_hsa.miR.766.3p,1_hsa.miR.7702,1_hsa.miR.7704,1_hsa.miR.92b.3p,1_hsa.miR.9.3p,1_hsa.miR.95.3p,1_hsa.miR.9.5p,1_hsa.miR.96.5p,1_hsa.miR.99b.3p,1_hsa.miR.99b.5p,1_hsa.miR.1323,1_hsa.miR.302b.3p,1_hsa.miR.526b.5p
0,362,384,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,402,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0,0,438,0,380,0,0,0,0,0,0,0,458,0,0,0,0,0,401,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0
100,404,7,469,95,8,63,1,3,14,0,2,0,2,11,0,5,2,0,1,48,1,0,3,4,65,3,57,5,4,9,7,2,286,0,7,13,3,8,3,0,0,0,3,0,0,1,0,1,7,1,2,10,1,53,1,13,2,336,5,7,3,76,21,2,2,135,1,1,377,1,2,1,0,11,2,2,4,10,4,2,278,3,17,4,38,1,0,1,2,0,0,21,4,0,12,98,2,0,0,2,28,6,0,5,2,9,47,2,0,101,0,0,40,0,13,299,0,2,1,66,25,2,9,3,27,1,2,1,4,376,115,4,11,2,1,9,0,7,332,1
200,405,13,477,224,0,92,1,12,25,2,2,10,1,9,1,27,0,0,1,12,0,0,9,4,198,53,107,2,0,82,2,2,324,1,13,28,0,5,58,1,1,0,1,1,2,4,1,0,8,0,0,6,1,123,4,0,2,266,3,4,0,87,36,4,0,221,2,3,397,1,1,0,4,9,1,0,12,31,5,3,328,6,50,4,76,2,0,0,0,5,0,6,2,5,10,41,3,1,12,2,21,1,0,0,6,3,21,1,1,150,0,0,82,1,4,282,0,0,0,163,10,0,16,3,101,2,9,0,5,395,256,31,4,4,1,69,3,4,351,4
299,399,3,479,275,0,39,1,11,142,3,2,21,2,11,0,20,0,0,1,10,0,1,1,13,262,3,100,0,0,168,2,1,342,1,9,3,1,5,191,5,1,1,1,12,0,4,0,0,8,0,0,4,0,146,8,0,0,85,5,3,0,31,128,2,2,272,0,0,395,0,1,0,16,62,0,5,24,4,2,3,345,15,74,5,121,2,1,5,0,1,3,34,5,9,2,26,1,0,0,1,7,0,1,1,2,1,19,3,1,191,1,3,36,0,0,210,1,0,1,241,0,3,2,1,141,10,2,0,2,397,347,9,14,3,0,74,0,3,348,1
