gen,0_age_at_initial_pathologic_diagnosis,0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.let.7b.3p,1_hsa.let.7i.5p,1_hsa.miR.101.3p,1_hsa.miR.101.5p,1_hsa.miR.103a.2.5p,1_hsa.miR.105.5p,1_hsa.miR.106a.5p,1_hsa.miR.106b.5p,1_hsa.miR.10a.5p,1_hsa.miR.10b.3p,1_hsa.miR.10b.5p,1_hsa.miR.1228.3p,1_hsa.miR.1229.3p,1_hsa.miR.124.3p,1_hsa.miR.1248,1_hsa.miR.125a.5p,1_hsa.miR.126.3p,1_hsa.miR.126.5p,1_hsa.miR.1269a,1_hsa.miR.1291,1_hsa.miR.129.5p,1_hsa.miR.1307.3p,1_hsa.miR.130a.3p,1_hsa.miR.130b.3p,1_hsa.miR.130b.5p,1_hsa.miR.135b.5p,1_hsa.miR.137,1_hsa.miR.138.1.3p,1_hsa.miR.138.5p,1_hsa.miR.139.3p,1_hsa.miR.139.5p,1_hsa.miR.142.3p,1_hsa.miR.142.5p,1_hsa.miR.143.3p,1_hsa.miR.145.3p,1_hsa.miR.146a.3p,1_hsa.miR.146b.3p,1_hsa.miR.146b.5p,1_hsa.miR.149.3p,1_hsa.miR.149.5p,1_hsa.miR.154.3p,1_hsa.miR.15b.5p,1_hsa.miR.17.5p,1_hsa.miR.181a.2.3p,1_hsa.miR.182.5p,1_hsa.miR.183.5p,1_hsa.miR.18a.3p,1_hsa.miR.18a.5p,1_hsa.miR.190a.5p,1_hsa.miR.191.5p,1_hsa.miR.192.5p,1_hsa.miR.194.3p,1_hsa.miR.194.5p,1_hsa.miR.199b.5p,1_hsa.miR.19a.3p,1_hsa.miR.19b.3p,1_hsa.miR.202.5p,1_hsa.miR.204.5p,1_hsa.miR.20a.5p,1_hsa.miR.21.3p,1_hsa.miR.215.5p,1_hsa.miR.21.5p,1_hsa.miR.221.3p,1_hsa.miR.221.5p,1_hsa.miR.222.3p,1_hsa.miR.223.3p,1_hsa.miR.224.5p,1_hsa.miR.22.5p,1_hsa.miR.23b.3p,1_hsa.miR.296.3p,1_hsa.miR.296.5p,1_hsa.miR.29a.3p,1_hsa.miR.29a.5p,1_hsa.miR.29b.3p,1_hsa.miR.301a.3p,1_hsa.miR.301b,1_hsa.miR.30e.3p,1_hsa.miR.31.3p,1_hsa.miR.31.5p,1_hsa.miR.335.3p,1_hsa.miR.335.5p,1_hsa.miR.342.3p,1_hsa.miR.342.5p,1_hsa.miR.34b.3p,1_hsa.miR.34b.5p,1_hsa.miR.34c.3p,1_hsa.miR.34c.5p,1_hsa.miR.3614.5p,1_hsa.miR.3615,1_hsa.miR.3648,1_hsa.miR.3651,1_hsa.miR.365a.3p,1_hsa.miR.365b.3p,1_hsa.miR.3678.5p,1_hsa.miR.376a.5p,1_hsa.miR.376b.3p,1_hsa.miR.376c.3p,1_hsa.miR.377.3p,1_hsa.miR.379.3p,1_hsa.miR.380.3p,1_hsa.miR.3922.3p,1_hsa.miR.423.3p,1_hsa.miR.425.3p,1_hsa.miR.425.5p,1_hsa.miR.4326,1_hsa.miR.4449,1_hsa.miR.4677.3p,1_hsa.miR.484,1_hsa.miR.487a.3p,1_hsa.miR.494.3p,1_hsa.miR.511.5p,1_hsa.miR.548f.3p,1_hsa.miR.5586.5p,1_hsa.miR.576.5p,1_hsa.miR.590.3p,1_hsa.miR.590.5p,1_hsa.miR.616.3p,1_hsa.miR.616.5p,1_hsa.miR.625.3p,1_hsa.miR.625.5p,1_hsa.miR.642a.5p,1_hsa.miR.6503.5p,1_hsa.miR.655.3p,1_hsa.miR.671.3p,1_hsa.miR.671.5p,1_hsa.miR.6718.5p,1_hsa.miR.676.3p,1_hsa.miR.6892.5p,1_hsa.miR.7.5p,1_hsa.miR.766.3p,1_hsa.miR.767.5p,1_hsa.miR.7702,1_hsa.miR.7704,1_hsa.miR.802,1_hsa.miR.877.5p,1_hsa.miR.92b.3p,1_hsa.miR.9.3p,1_hsa.miR.942.5p,1_hsa.miR.95.3p,1_hsa.miR.9.5p,1_hsa.miR.96.5p,1_hsa.miR.99b.5p,1_hsa.miR.512.3p,1_hsa.miR.513c.3p,1_hsa.miR.516a.5p,1_hsa.miR.518c.3p,1_hsa.miR.519a.3p,1_hsa.miR.519a.5p,1_hsa.miR.520a.3p,1_hsa.miR.520b,1_hsa.miR.520c.3p,1_hsa.miR.525.5p
0,362,0,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,417,0,414,0,398,0,0,0,0,0,0,0,0,402,0,0,0,0,0,411,0,400,0,0,0,0,0,0,0,0,0,383,0,0,0,407,0,0,0,0,0,0,0,0,411,0,0,0,0,398,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,398,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0
100,354,278,475,0,180,0,1,8,0,0,0,286,28,5,0,370,2,2,3,8,5,3,6,209,7,0,6,2,18,21,21,0,6,2,1,0,0,4,182,5,10,41,2,1,2,2,1,20,0,20,264,0,15,1,1,3,1,1,3,2,3,1,3,391,15,1,1,2,2,1,3,1,4,268,1,0,0,1,1,10,10,1,3,3,1,3,4,1,102,69,9,2,1,1,3,8,1,1,0,0,3,1,8,3,1,1,4,2,2,0,0,1,6,25,0,15,0,27,6,19,334,10,2,2,1,1,152,3,1,19,2,0,0,0,2,0,0,266,20,10,1,3,11,1,155,0,325,0,1,6,98,1,2,1,8
200,324,329,480,3,258,0,0,14,1,2,3,310,34,1,8,398,3,0,5,1,0,5,19,239,36,0,10,0,15,0,14,1,2,1,0,7,1,1,248,38,9,187,0,0,1,1,29,24,1,75,292,1,3,3,2,4,0,5,0,3,0,1,5,414,27,1,0,2,1,0,1,0,4,294,0,1,0,2,1,0,13,11,1,14,11,4,6,3,141,24,6,12,0,0,2,2,0,1,1,1,0,0,5,3,1,1,30,0,0,2,3,2,12,28,2,25,7,59,1,22,378,4,0,0,1,0,241,2,5,80,1,0,1,1,1,3,0,302,3,6,0,2,25,0,169,4,362,13,0,3,173,2,2,1,2
299,326,363,482,0,292,1,0,3,0,0,2,325,31,15,3,415,1,0,2,0,3,10,21,278,43,2,34,0,14,0,12,1,2,0,4,2,2,12,279,75,8,234,0,0,2,1,73,6,0,178,313,3,2,2,0,8,0,0,8,6,0,2,3,425,36,0,0,1,1,0,1,0,3,322,0,1,2,0,0,4,22,21,1,10,17,20,3,1,158,24,7,14,2,1,6,9,0,0,11,0,1,2,5,4,0,0,32,0,1,3,2,0,54,27,1,69,7,126,1,15,400,3,0,0,0,0,274,2,12,153,1,12,4,0,0,5,14,323,4,4,2,2,17,0,231,3,380,96,1,1,215,1,1,0,0
