0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_ABCB1.5243,1_ACADM.34,1_AKAP6.9472,1_ANKRD57.65124,1_AP1AR.55435,1_BARX1.56033,1_BRD9.65980,1_C17orf89.284184,1_C17orf95.124512,1_C1orf210.149466,1_C20orf56.140828,1_C6orf118.168090,1_C6orf1.221491,1_C6orf186.728464,1_C8orf47.203111,1_CCDC121.79635,1_CCDC85A.114800,1_CCNA1.8900,1_CDCA7.83879,1_CDK4.1019,1_CHFR.55743,1_CMA1.1215,1_CMAS.55907,1_COL7A1.1294,1_COPS7B.64708,1_CTXN1.404217,1_CYP3A4.1576,1_CYP3A7.1551,1_DGKB.1607,1_DIABLO.56616,1_DKFZp686O24166.374383,1_DNAJB11.51726,1_EMX2.2018,1_F8.2157,1_FAM167A.83648,1_FBF1.85302,1_FBXL5.26234,1_FITM2.128486,1_GDF5.8200,1_GNAQ.2776,1_GNAS.2778,1_GOLT1B.51026,1_HHLA2.11148,1_HN1.51155,1_HOXA2.3199,1_HOXA3.3200,1_IL20RB.53833,1_KATNB1.10300,1_KRT10.3858,1_LCTL.197021,1_LZTS2.84445,1_MERTK.10461,1_MOGS.7841,1_MRPL12.6182,1_MXD3.83463,1_MYBL2.4605,1_NCOA4.8031,1_NOP2.4839,1_OTX1.5013,1_PCCA.5095,1_PDCD5.9141,1_PDGFD.80310,1_PIK3R3.8503,1_PINK1.65018,1_PLCL2.23228,1_PLS1.5357,1_PPM1A.5494,1_PSMB6.5694,1_PTPN21.11099,1_QRFPR.84109,1_RAPGEF4.11069,1_RASSF6.166824,1_RBM38.55544,1_RELT.84957,1_ROBLD3.28956,1_S1PR1.1901,1_SAA1.6288,1_SF3B4.10262,1_SLC16A12.387700,1_SLC1A1.6505,1_SLC2A9.56606,1_SLC30A4.7782,1_SPATA18.132671,1_STON1.GTF2A1L.286749,1_TMEM25.84866,1_TRAF7.84231,1_TUBA1C.84790,1_ULBP1.80329,1_UNC119.9094,1_USP2.9099,1_ZIC2.7546,1_ZNF366.167465,1_ZNF385A.25946,1_ZNF613.79898,1_ZNF836.162962
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
