0_ajcc_pathologic_tumor_stage_Stage IV,1_ACE2.59272,1_ADRM1.11047,1_AKR7A3.22977,1_ALOXE3.59344,1_ANK3.288,1_ANKRD56.345079,1_ANXA8L2.244,1_BARX1.56033,1_BYSL.705,1_C15orf42.90381,1_C17orf96.100170841,1_C1orf210.149466,1_C2orf79.391356,1_C8orf47.203111,1_CCDC19.25790,1_CCNF.899,1_CDC6.990,1_CENPW.387103,1_COPS7A.50813,1_COX6B2.125965,1_CTNND1.1500,1_CYP3A4.1576,1_CYP3A7.1551,1_CYP4V2.285440,1_DEPDC1.55635,1_DKFZp686O24166.374383,1_DLX4.1748,1_DMGDH.29958,1_DNAJB11.51726,1_ECE2.9718,1_EIF4A1.1973,1_EIF5A.1984,1_EMG1.10436,1_EMX2.2018,1_F2RL1.2150,1_FAM167A.83648,1_FAM72B.653820,1_FAM83D.81610,1_FGF5.2250,1_FNBP1L.54874,1_FOXA2.3170,1_GIPC2.54810,1_GTPBP2.54676,1_HHIPL2.79802,1_HHLA2.11148,1_HMGN1.3150,1_IQGAP2.10788,1_IQGAP3.128239,1_JTB.10899,1_KCNH3.23416,1_KCTD17.79734,1_KIAA0564.23078,1_KIF20A.10112,1_LAGE3.8270,1_LOC100130932.100130932,1_LRP5.4041,1_MAGOHB.55110,1_MBOAT7.79143,1_MEA1.4201,1_MRTO4.51154,1_NCKAP5.344148,1_NPR3.4883,1_OR13A1.79290,1_PA2G4.5036,1_PFDN2.5202,1_PPP2R2C.5522,1_PSMD4.5710,1_RBM47.54502,1_RECQL4.9401,1_RORA.6095,1_RPSA.3921,1_SAA1.6288,1_SETD8.387893,1_SF3B4.10262,1_SGK3.23678,1_SHC1.6464,1_SLC12A8.84561,1_SLC19A1.6573,1_SLC35C2.51006,1_SLC4A4.8671,1_SNX2.6643,1_SRM.6723,1_SUMO2.6613,1_TARBP2.6895,1_TLR3.7098,1_TMEM135.65084,1_TMEM192.201931,1_TRIM65.201292,1_TRPV3.162514,1_TTC22.55001,1_TUBA1B.10376,1_UCK2.7371,1_ZNF598.90850,1_ZNF704.619279,1_ZYG11B.79699
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
