0_ajcc_pathologic_tumor_stage_Stage IV,1_ACCN2.41,1_ACTN2.88,1_ADAM8.101,1_ANGPTL6.83854,1_ANLN.54443,1_ANO4.121601,1_APBA1.320,1_APBB1.322,1_APOLD1.81575,1_BAK1.578,1_BARX1.56033,1_BCL2.596,1_BOLA3.388962,1_C14orf34.645687,1_C16orf59.80178,1_C19orf40.91442,1_C1orf53.388722,1_C4orf49.84709,1_C6orf153.88745,1_CASP9.842,1_CCDC28B.79140,1_CCDC91.55297,1_CCL8.6355,1_CCNA1.8900,1_CDH13.1012,1_CHEK2.11200,1_CUBN.8029,1_CYP3A7.1551,1_EPR1.8475,1_FAM167A.83648,1_FASN.2194,1_FBXO3.26273,1_FGF5.2250,1_FNIP2.57600,1_FOXP4.116113,1_GRIN3B.116444,1_GYG2.8908,1_HBP1.26959,1_IGDCC4.57722,1_IL20RB.53833,1_IL6.3569,1_KCTD16.57528,1_KIAA1328.57536,1_KREMEN2.79412,1_KRT78.196374,1_LCTL.197021,1_LIMCH1.22998,1_LOC286467.286467,1_LSM12.124801,1_MRPL12.6182,1_MUC20.200958,1_MYBL2.4605,1_NACC1.112939,1_NCAPH.23397,1_NCSTN.23385,1_NFIB.4781,1_NPEPL1.79716,1_NUF2.83540,1_PDK4.5166,1_PDZRN3.23024,1_PFDN4.5203,1_PLTP.5360,1_PODXL.5420,1_PPP2R2C.5522,1_PRKCE.5581,1_PRKD1.5587,1_PRUNE2.158471,1_PSMD13.5719,1_PTTG1.9232,1_PUS1.80324,1_QRFPR.84109,1_RAC3.5881,1_RAPGEF4.11069,1_RCAN2.10231,1_RILPL1.353116,1_RORA.6095,1_SAA1.6288,1_SDHAF2.54949,1_SDPR.8436,1_SF3B4.10262,1_SH3BGRL3.83442,1_SKA3.221150,1_SLITRK2.84631,1_SNCB.6620,1_SORBS2.8470,1_SPOCD1.90853,1_TIMELESS.8914,1_TNFRSF19.55504,1_TXLNA.200081,1_TXNDC16.57544,1_USP2.9099,1_VPS45.11311,1_ZCCHC14.23174,1_ZFYVE1.53349,1_ZP1.22917
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
