0_ADCY4,0_ARAF,0_CLDN2,0_CPNE8,0_EMCN,0_GRPEL2,0_NTN1,0_PDZK1IP1,0_PLCG2,0_SQSTM1,0_STC2,0_TEK,0_TRIOBP,0_VAMP1
0,1,0,1,0,1,0,1,0,1,1,1,1,0
0,0,1,0,0,1,0,1,0,1,1,1,0,1
0,0,0,0,0,1,0,1,0,1,1,1,1,0
0,0,0,0,1,1,0,1,0,1,1,0,0,0
0,0,0,0,0,0,0,1,0,1,1,1,0,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
