0_APOO,0_CFB,0_CROT,0_EMCN,0_GLT8D1,0_HUNK,0_KCTD16,0_KIF9,0_NCKAP5L,0_PCYOX1,0_PDHX,0_PIK3R1,0_PLCG2,0_POLR3D,0_PPP2R2A,0_SAP30,0_SQSTM1,0_STC2,0_TPK1,0_UAP1,0_VEGFA,0_ZXDA
0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1
0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0
0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
