gen,evals,gen_feats,explored,Pam50 random forest balanced accuracy_min,Pam50 random forest balanced accuracy_avg,Pam50 random forest balanced accuracy_max,Pam50 random forest balanced accuracy_std,leanness_min,leanness_avg,leanness_max,leanness_std
0,500,935,935,0.17340249662618082,0.574927311548101,0.7486356516290726,0.12134546924860579,0.0196078431372549,0.0892288118949284,1.0,0.15673601010136723
1,509,1154,1200,0.17340249662618082,0.5778082853769038,0.7486356516290726,0.12908682149509199,0.017857142857142856,0.10142791739981233,1.0,0.11008988916089694
2,500,1179,1445,0.2,0.6000728318392134,0.7618127048390206,0.1272625161733087,0.017857142857142856,0.10999432916908039,1.0,0.119553585928982
3,500,1235,1699,0.2,0.6178091230480045,0.7627725563909775,0.1230144808966104,0.017543859649122806,0.11458685997601743,1.0,0.12057810366596391
4,500,1209,1918,0.2,0.6358578643724697,0.7726655581260845,0.11806869974282853,0.017543859649122806,0.11595739685670726,1.0,0.1199576168336707
5,500,1213,2161,0.2,0.6510014329091962,0.7747545546558705,0.1165488049465582,0.017857142857142856,0.1163144739868996,1.0,0.1194423196945973
6,500,1214,2400,0.2,0.663748639627916,0.7747545546558705,0.11334014217964462,0.01694915254237288,0.11753886548929332,1.0,0.11884369901953848
7,500,1211,2598,0.2,0.6724024927703875,0.7808792413726624,0.11232419303354926,0.0196078431372549,0.12112524111225537,1.0,0.11995015653073904
8,500,1229,2813,0.2,0.6796233111625217,0.7872534702139965,0.11308567716528058,0.0196078431372549,0.1235558616052759,1.0,0.12146063826726192
9,500,1214,3020,0.2,0.6919197469635628,0.7951414594177753,0.1082922253349341,0.0196078431372549,0.12154610277826494,1.0,0.1193720071146225
10,500,1221,3238,0.2,0.6932566620879121,0.7998317910160015,0.11576511050917729,0.0196078431372549,0.13017272189794626,1.0,0.1234680965009192
11,500,1265,3466,0.2,0.6919904867939078,0.8076706188548293,0.12007416891065889,0.021739130434782608,0.14136573918269296,1.0,0.12490716188255002
12,500,1266,3682,0.2,0.6996964355600539,0.8076706188548293,0.11793374135615364,0.021739130434782608,0.14263638551486002,1.0,0.12400844268060883
13,500,1262,3879,0.2,0.7055175185560054,0.8229642616155773,0.1204598617195145,0.021739130434782608,0.14523579964242625,1.0,0.12495007924158928
14,500,1220,4079,0.2,0.7141288047040679,0.8231422305764411,0.11947778171315339,0.021739130434782608,0.14499815710388603,1.0,0.12476151210323091
15,500,1203,4268,0.2,0.7236527641218431,0.8231422305764411,0.11572871064650433,0.025,0.14248159564431528,1.0,0.12386511820124793
16,500,1257,4450,0.2,0.7312259690090611,0.8231422305764411,0.11279152161399379,0.025,0.14006122756119044,1.0,0.12284115930177059
17,500,1261,4668,0.2,0.7327623503470214,0.8231422305764411,0.11543852887931084,0.02857142857142857,0.14332087578235916,1.0,0.1235071954562339
18,500,1241,4866,0.2,0.7360971573163679,0.8322711827646039,0.11691490247672183,0.02857142857142857,0.14502573146184466,1.0,0.12386644369919951
19,500,1229,5049,0.2,0.7377543787352997,0.8322711827646039,0.11755819416659585,0.02857142857142857,0.1473269883056873,1.0,0.12356992630455364
20,500,1218,5242,0.2,0.74087259832273,0.8322711827646039,0.11794495804436209,0.03571428571428571,0.14689805218034183,1.0,0.12375636884507409
21,500,1220,5438,0.2,0.74365338153075,0.8322711827646039,0.11776157177893658,0.037037037037037035,0.14675887326500198,1.0,0.12376842210929005
22,500,1238,5611,0.2,0.7463297869674186,0.8383969539232698,0.11800043978114591,0.037037037037037035,0.14734776595126306,1.0,0.12351112585569256
23,500,1211,5763,0.2,0.7462611789088105,0.8383969539232698,0.12078940811894508,0.038461538461538464,0.15004165737942826,1.0,0.12409569340421352
24,500,1215,5932,0.2,0.7480272932330827,0.8397597358781569,0.1212072122172103,0.041666666666666664,0.15071184742031427,1.0,0.12401501183867938
25,500,1180,6106,0.2,0.7499778000289185,0.8420164594177753,0.12110229715454782,0.041666666666666664,0.15058080346427027,1.0,0.12411410141027193
26,500,1202,6258,0.2,0.7524592339020629,0.8424148110661269,0.12144425701922527,0.041666666666666664,0.15043196753068203,1.0,0.12420356759967463
27,500,1186,6427,0.2,0.7540527520724889,0.8424148110661269,0.12207785952945846,0.038461538461538464,0.15058654704428698,1.0,0.12407744998024774
28,500,1192,6599,0.2,0.7559152294197031,0.8424148110661269,0.12247424340999112,0.038461538461538464,0.15051266522136422,1.0,0.1242062449762598
29,500,1200,6762,0.2,0.7572861936090226,0.8424148110661269,0.12258317493234411,0.038461538461538464,0.15046539608743809,1.0,0.1241501153634945
30,500,1176,6922,0.2,0.7582698623963756,0.850973105841527,0.12294843471433789,0.038461538461538464,0.1507434807191134,1.0,0.12401387070855874
31,500,1165,7061,0.2,0.7593660907075381,0.850973105841527,0.12331999183038209,0.038461538461538464,0.1510492990493899,1.0,0.1237869588488313
