gen,evals,gen_feats,explored,type naive Bayes adjusted balanced accuracy_min,type naive Bayes adjusted balanced accuracy_avg,type naive Bayes adjusted balanced accuracy_max,type naive Bayes adjusted balanced accuracy_std,adjusted root leanness_min,adjusted root leanness_avg,adjusted root leanness_max,adjusted root leanness_std,survival SKSurv Cox model adjusted concordance index_min,survival SKSurv Cox model adjusted concordance index_avg,survival SKSurv Cox model adjusted concordance index_max,survival SKSurv Cox model adjusted concordance index_std
0,500,396,396,0.24912217725883878,0.7495340809705018,0.8409266846938657,0.11323643223394822,0.14002800840280097,0.24508995634772096,1.0,0.15055215279342177,0.440954686940557,0.6388863192843662,0.7069128187602245,0.04922094289350355
1,509,597,607,0.24912217725883878,0.7320670808971503,0.8607410084098073,0.12853116304689718,0.13483997249264842,0.28446653205388944,1.0,0.13404655095671333,0.440954686940557,0.639683148784894,0.7069128187602245,0.053992929458590064
2,500,677,836,0.24912217725883878,0.7212875655459245,0.8607410084098073,0.13765419313328936,0.13483997249264842,0.3158735141520813,1.0,0.1430529146479337,0.3936788813755322,0.6399036196367115,0.7069128187602245,0.0575093012818122
3,500,692,1075,0.2441767559436373,0.7106844592475823,0.8607410084098073,0.1417075013490229,0.13736056394868904,0.3453394833631624,1.0,0.14165235810739543,0.3936788813755322,0.6371423690255313,0.7148177248596306,0.062105802039125475
4,500,722,1305,0.24382261488967893,0.708042460678004,0.8607410084098073,0.1426577671460765,0.13736056394868904,0.35953444770566206,1.0,0.1448177903145485,0.3936788813755322,0.6381172576799982,0.7148177248596306,0.061540105515847106
5,500,706,1493,0.24382261488967893,0.7269227074016384,0.8607410084098073,0.13022654188506427,0.13736056394868904,0.34864579940374213,1.0,0.14066596182797356,0.3936788813755322,0.6480407936333593,0.7175645513620509,0.058442705482343524
6,500,734,1700,0.24912217725883878,0.7273437260495103,0.8607410084098073,0.1273439520277131,0.1336306209562122,0.3565715611862081,1.0,0.13874073407525092,0.3936788813755322,0.6525555391797387,0.7175645513620509,0.05662543182738055
7,500,740,1878,0.24912217725883878,0.7150599649851547,0.8627709917976986,0.13116681607082242,0.1336306209562122,0.37563951392182227,1.0,0.1385521778409046,0.3936788813755322,0.650391867981768,0.7200560100682684,0.05819495455749613
8,500,726,2043,0.24531695653123986,0.7250297987027425,0.8627709917976986,0.12428344136838394,0.13483997249264842,0.37192841032479257,1.0,0.13705560254450255,0.4036485600165065,0.657143343626611,0.7201788993183941,0.05458907867349797
9,500,744,2194,0.24531695653123986,0.7340821898358538,0.8627709917976986,0.12264668575806555,0.13483997249264842,0.3638204683682365,1.0,0.1384375111960678,0.4820147458473908,0.6635515526647147,0.7218127394800047,0.05065003160546624
10,500,722,2328,0.24313313635750178,0.7395359957954668,0.8627709917976986,0.11393586929848148,0.13483997249264842,0.3675517422295325,1.0,0.12910343825502588,0.4820147458473908,0.6661831829999844,0.7224773972608528,0.04626212125202911
