0_age_at_initial_pathologic_diagnosis,0_race_WHITE,1_ADIPOR1.51094,1_ALAD.210,1_ALDH1A1.216,1_ANKRD28.23243,1_APCDD1L.164284,1_ATP2A3.489,1_C17orf44.284029,1_CCDC138.165055,1_CCNDBP1.23582,1_CCT5.22948,1_CD1C.911,1_CDKN2AIPNL.91368,1_CHD4.1108,1_DHRS12.79758,1_DOCK7.85440,1_DSE.29940,1_FUBP1.8880,1_GALNT12.79695,1_HDAC2.3066,1_HIPK4.147746,1_IER5.51278,1_KDM1B.221656,1_LILRA4.23547,1_LOC728743.728743,1_LRRC17.10234,1_LYL1.4066,1_MEX3A.92312,1_MORC4.79710,1_NASP.4678,1_NCOA6.23054,1_NFKBIL2.4796,1_NUDT13.25961,1_ODZ1.10178,1_ORC1L.4998,1_PITX2.5308,1_PLCG1.5335,1_PPFIBP2.8495,1_PRKCDBP.112464,1_PRPF4B.8899,1_PTPN20B.26095,1_RAB7L1.8934,1_SLC12A3.6559,1_SYNCRIP.10492,1_TARDBP.23435,1_TERT.7015,1_TMEM48.55706,1_TNF.7124,1_TSPAN6.7105,1_USP24.23358
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
