0_age_at_initial_pathologic_diagnosis,0_race_WHITE,1_ALDH1A1.216,1_APCDD1L.164284,1_AZIN1.51582,1_C10orf116.10974,1_C11orf46.120534,1_C20orf152.140894,1_C22orf41.644186,1_C9orf140.89958,1_CCNDBP1.23582,1_CCNF.899,1_CCNJ.54619,1_CD59.966,1_CLEC10A.10462,1_COQ10B.80219,1_DHH.50846,1_DHRS12.79758,1_DNAJC24.120526,1_DUSP3.1845,1_EHBP1L1.254102,1_FAM117A.81558,1_FAM171A2.284069,1_FAM91A1.157769,1_GALNT12.79695,1_GPC2.221914,1_HSP90AB1.3326,1_KCNK7.10089,1_LACE1.246269,1_LCE2C.353140,1_LIN7C.55327,1_LOC729603.729603,1_LRGUK.136332,1_LTF.4057,1_MARCKSL1.65108,1_MCM10.55388,1_MITD1.129531,1_MSH2.4436,1_MYBL2.4605,1_NAALADL1.10004,1_NDUFAF1.51103,1_NMU.10874,1_PDE4C.5143,1_PDIK1L.149420,1_PPBP.5473,1_PPP1R11.6992,1_PRKAG1.5571,1_PTPN20B.26095,1_RAB34.83871,1_RDH5.5959,1_RELA.5970,1_RELB.5971,1_SOCS6.9306,1_SOX4.6659,1_TARDBP.23435,1_TMBIM1.64114,1_TMEM63B.55362,1_TRIM29.23650,1_TUBB.203068,1_UCHL3.7347,1_VPS18.57617,1_XPO5.57510,1_ZNF280C.55609
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
