inner_cv_NB_bal_acc,inner_cv_leanness,train_NB_bal_acc,train_leanness
0.9591375921324782,0.02564102564102564,0.9575095905044765,0.02564102564102564
0.9573060903009764,0.02631578947368421,0.9556780886729747,0.02631578947368421
0.9573060903009764,0.02631578947368421,0.9556780886729747,0.02631578947368421
0.9557009538643791,0.02702702702702703,0.9504099485733739,0.02702702702702703
0.9523786947281666,0.027777777777777776,0.96096909396398,0.027777777777777776
0.950066513398478,0.02857142857142857,0.952015085009971,0.02857142857142857
0.9486013119332766,0.03125,0.948715691065163,0.03125
0.9445720079039726,0.03225806451612903,0.948715691065163,0.03225806451612903
0.9426478693827233,0.034482758620689655,0.9423261766499663,0.034482758620689655
0.9337357774141529,0.03571428571428571,0.9435390649060439,0.03571428571428571
0.927338096859169,0.037037037037037035,0.9346245800686057,0.037037037037037035
0.9270397554879991,0.038461538461538464,0.9352894101970215,0.038461538461538464
0.924179516030649,0.041666666666666664,0.9323078955876,0.041666666666666664
0.9230104514586951,0.043478260869565216,0.9343750517030595,0.043478260869565216
0.9213355435237551,0.045454545454545456,0.9312818486098564,0.045454545454545456
0.920150212001345,0.047619047619047616,0.9330687428078148,0.047619047619047616
0.9151084372966488,0.05,0.9168473024384033,0.05
0.9083758796812661,0.05263157894736842,0.9187977807485813,0.05263157894736842
0.9065703256639834,0.05555555555555555,0.9169922267312985,0.05555555555555555
0.9002246349329106,0.058823529411764705,0.9121372933049365,0.058823529411764705
0.8988314094439742,0.0625,0.9128485435701084,0.0625
0.8814829156835202,0.06666666666666667,0.8904167500942295,0.06666666666666667
0.8793559667127175,0.07142857142857142,0.9070257471018978,0.07142857142857142
0.8659334992419466,0.07692307692307693,0.8742464214038367,0.07692307692307693
0.8504002403625383,0.08333333333333333,0.880067311173362,0.08333333333333333
0.8388848194925317,0.09090909090909091,0.8590604110966945,0.09090909090909091
0.8336949026560434,0.1,0.8416019061395895,0.1
0.8094001020015428,0.1111111111111111,0.8404851701913928,0.1111111111111111
0.7935554678322233,0.125,0.8006737695826501,0.125
0.7679586046751675,0.14285714285714285,0.7978258894829129,0.14285714285714285
0.7497664172568052,0.16666666666666666,0.7661925747744552,0.16666666666666666
0.6906922688138859,0.2,0.6981302624029118,0.2
0.6214609860658612,0.25,0.6097859828719511,0.25
0.5043225497292465,0.3333333333333333,0.5097538819663573,0.3333333333333333
0.3907321180567663,0.5,0.38175138949337317,0.5
0.14285714285714285,1.0,0.14285714285714285,1.0
