gen,0_age_at_initial_pathologic_diagnosis,0_race_NA,0_race_WHITE,1_ABCD1.215,1_ABCE1.6059,1_ABCF1.23,1_ABHD12B.145447,1_ABHD14B.84836,1_ACACA.31,1_ACAP1.9744,1_ACBD4.79777,1_ACCS.84680,1_ACTR8.93973,1_ADAM17.6868,1_ADAMTS15.170689,1_ADIPOR1.51094,1_ADRB1.153,1_AES.166,1_AG2.387763,1_ALDH1A1.216,1_ALDH9A1.223,1_ALG1.56052,1_ALS2CL.259173,1_AMD1.262,1_AMICA1.120425,1_AMIGO2.347902,1_AMMECR1.9949,1_ANKRD33.341405,1_ANKRD7.56311,1_AOC3.8639,1_AQP1.358,1_ARFGEF1.10565,1_ARHGEF37.389337,1_ARHGEF5.7984,1_ARL6IP6.151188,1_ARX.170302,1_ASF1A.25842,1_ATAD3A.55210,1_ATP13A3.79572,1_ATP2A3.489,1_ATP8A1.10396,1_B3GALT4.8705,1_BACH1.571,1_BCL2L14.79370,1_BIRC2.329,1_BNIP2.663,1_BSPRY.54836,1_BTF3L4.91408,1_BYSL.705,1_C11orf35.256329,1_C14orf106.55320,1_C14orf145.145508,1_C15orf24.56851,1_C16orf71.146562,1_C17orf108.201229,1_C19orf48.84798,1_C1orf130.400746,1_C1orf150.148823,1_C1orf187.374946,1_C1orf21.81563,1_C1orf35.79169,1_C1orf57.84284,1_C1orf66.51093,1_C1orf94.84970,1_C1orf97.84791,1_C1R.715,1_C1RL.51279,1_C20orf135.140701,1_C20orf152.140894,1_C20orf85.128602,1_C21orf67.84536,1_C2orf69.205327,1_C2orf74.339804,1_C5orf20.140947,1_C5orf49.134121,1_C6orf129.154467,1_C6orf134.79969,1_C7orf31.136895,1_C8G.733,1_C8orf38.137682,1_C8orf45.157777,1_C8orf4.56892,1_C8orf56.157556,1_C9orf140.89958,1_C9orf156.51531,1_CA2.760,1_CALML4.91860,1_CAND1.55832,1_CARTPT.9607,1_CBX7.23492,1_CC2D2B.387707,1_CCDC115.84317,1_CCDC41.51134,1_CCDC94.55702,1_CCL17.6361,1_CCT6A.908,1_CD1C.911,1_CD1E.913,1_CD244.51744,1_CD38.952,1_CDC27.996,1_CDC40.51362,1_CDC5L.988,1_CDK19.23097,1_CDK5R1.8851,1_CDKAL1.54901,1_CDKN2A.1029,1_CDKN2AIPNL.91368,1_CEBPA.1050,1_CELA3B.23436,1_CENPQ.55166,1_CHORDC1.26973,1_CHRNA10.57053,1_CHRND.1144,1_CIDEB.27141,1_CLDN23.137075,1_CLEC4C.170482,1_CLEC9A.283420,1_CLTB.1212,1_CMAH.8418,1_CMTM1.113540,1_COG2.22796,1_CPSF1.29894,1_CREG1.8804,1_CSNK2A1.1457,1_CSPP1.79848,1_CT45A5.441521,1_CTBP2.1488,1_CTSO.1519,1_CUL2.8453,1_CXCL1.2919,1_CXorf27.25763,1_CYB5R1.51706,1_CYP24A1.1591,1_DDB2.1643,1_DDHD1.80821,1_DDHD2.23259,1_DDX59.83479,1_DEFB106A.245909,1_DERL1.79139,1_DHCR24.1718,1_DHH.50846,1_DHRS12.79758,1_DHX33.56919,1_DLGAP1.9229,1_DLK2.65989,1_DMC1.11144,1_DNAJC19.131118,1_DNAJC30.84277,1_DNMT3A.1788,1_DRG2.1819,1_DTX2.113878,1_DYNC1I1.1780,1_DYNC1LI1.51143,1_EBNA1BP2.10969,1_ECHDC1.55862,1_ELMOD3.84173,1_ELOVL5.60481,1_EML2.24139,1_EML4.27436,1_ENTPD1.953,1_ENY2.56943,1_EPHB6.2051,1_ERCC6L.54821,1_ESM1.11082,1_ETV6.2120,1_FAM109B.150368,1_FAM13B.51306,1_FAM177B.400823,1_FAM196A.642938,1_FAM21B.55747,1_FAM22A.728118,1_FAM81B.153643,1_FAM82A1.151393,1_FAM82A2.55177,1_FAM91A1.157769,1_FAM92A1.137392,1_FANCE.2178,1_FARSA.2193,1_FASN.2194,1_FBXW4.6468,1_FBXW8.26259,1_FCER1A.2205,1_FCER2.2208,1_FCRLA.84824,1_FILIP1L.11259,1_FIP1L1.81608,1_FLJ10661.286042,1_FLJ35220.284131,1_FLJ36000.284124,1_FLJ43663.378805,1_FMOD.2331,1_FNBP1.23048,1_FNBP1L.54874,1_FUBP1.8880,1_FUT5.2527,1_GAA.2548,1_GAB4.128954,1_GALNT12.79695,1_GALNT4.8693,1_GALNTL1.57452,1_GAS2L2.246176,1_GATC.283459,1_GCA.25801,1_GCSH.2653,1_GDE1.51573,1_GDI2.2665,1_GEFT.115557,1_GINS4.84296,1_GLIS2.84662,1_GLUL.2752,1_GMCL1L.64396,1_GNAI3.2773,1_GNB5.10681,1_GNL3L.54552,1_GNPNAT1.64841,1_GOPC.57120,1_GPBP1L1.60313,1_GPR108.56927,1_GPR133.283383,1_GPR158.57512,1_GPR97.222487,1_GPT2.84706,1_GPX5.2880,1_GRAP2.9402,1_GSTT2.2953,1_GTF2H3.2967,1_GTF3C4.9329,1_HDAC2.3066,1_HDGFRP3.50810,1_HEATR7B2.133558,1_HELLS.3070,1_HES5.388585,1_HIPK4.147746,1_HIST1H2BA.255626,1_HIST1H3I.8354,1_HLA.DOB.3112,1_HMGCS1.3157,1_HMGN1.3150,1_HNMT.3176,1_HNRNPA3P1.10151,1_HNRNPD.3184,1_HOPX.84525,1_HPRT1.3251,1_HSPD1.3329,1_HTR1A.3350,1_IDO2.169355,1_IER5.51278,1_IFI35.3430,1_IL1RAPL2.26280,1_IL6.3569,1_ILF2.3608,1_INE2.8551,1_INTS8.55656,1_ISCU.23479,1_ITM2B.9445,1_ITPRIPL1.150771,1_JUB.84962,1_KAAG1.353219,1_KCNK7.10089,1_KDM1B.221656,1_KHDRBS1.10657,1_KIAA0125.9834,1_KIAA0146.23514,1_KIAA1524.57650,1_KIAA1529.57653,1_KIF1B.23095,1_KLF2.10365,1_KLHL12.59349,1_KLHL32.114792,1_KLK15.55554,1_KLRF1.51348,1_KNTC1.9735,1_KPNA2.3838,1_KRAS.3845,1_KRCC1.51315,1_KRT7.3855,1_LACE1.246269,1_LGALS2.3957,1_LHFPL3.375612,1_LIAS.11019,1_LIME1.54923,1_LOC100101266.100101266,1_LOC100129066.100129066,1_LOC100131691.100131691,1_LOC100240734.100240734,1_LOC339524.339524,1_LOC341056.341056,1_LOC401431.401431,1_LOC645431.645431,1_LOC728743.728743,1_LOC80154.80154,1_LOC90586.90586,1_LRRC1.55227,1_LRRC17.10234,1_LRRC69.100130742,1_LRTOMT.220074,1_LY6D.8581,1_LY75.4065,1_MAGEA12.4111,1_MAGEA2.4101,1_MAN1C1.57134,1_MAP3K7.6885,1_MAP3K8.1326,1_MARCKSL1.65108,1_MAX.4149,1_MCHR2.84539,1_MCOLN1.57192,1_MEIS3P1.4213,1_METTL7A.25840,1_MGC57346.401884,1_MID1IP1.58526,1_MIF4GD.57409,1_MKL1.57591,1_MKRN3.7681,1_MLLT11.10962,1_MPV17L.255027,1_MRGPRF.116535,1_MRPL55.128308,1_MSH6.2956,1_MTDH.92140,1_MTFR1.9650,1_MTMR2.8898,1_MTNR1B.4544,1_MTOR.2475,1_MTSS1.9788,1_MYL6.4637,1_NAE1.8883,1_NAT2.10,1_NCOA4.8031,1_NCRNA00115.79854,1_NCRNA00161.118421,1_NCRNA00189.193629,1_NDRG3.57446,1_NEB.4703,1_NFYB.4801,1_NIT1.4817,1_NKG7.4818,1_NLRC3.197358,1_NLRP10.338322,1_NMNAT3.349565,1_NOC2L.26155,1_NRG3.10718,1_NTRK2.4915,1_NUDCD1.84955,1_NUDT13.25961,1_NUP153.9972,1_ODC1.4953,1_ODZ3.55714,1_OLFM1.10439,1_ONECUT2.9480,1_OPRD1.4985,1_OR2A7.401427,1_OR2M5.127059,1_OR4Q3.441669,1_OR6F1.343169,1_OR7A5.26659,1_OTUD3.23252,1_OXTR.5021,1_PAGE5.90737,1_PAPOLA.10914,1_PATL2.197135,1_PCDH17.27253,1_PDCD1.5133,1_PDE1B.5153,1_PDE8A.5151,1_PDZD9.255762,1_PEX11G.92960,1_PGM2L1.283209,1_PITX2.5308,1_PKIG.11142,1_PLAC1.10761,1_PLCG1.5335,1_PLCXD1.55344,1_PMVK.10654,1_PNN.5411,1_POC1B.282809,1_POLA2.23649,1_POLD1.5424,1_POLD2.5425,1_POLE.5426,1_POLR1C.9533,1_POLR3A.11128,1_POLR3GL.84265,1_POU5F2.134187,1_POU6F1.5463,1_PPARD.5467,1_PPAT.5471,1_PPEF1.5475,1_PPIH.10465,1_PPP1R11.6992,1_PPP2R1A.5518,1_PPP2R5D.5528,1_PRIM2.5558,1_PRKAG1.5571,1_PRKCB.5579,1_PRKDC.5591,1_PRPF40A.55660,1_PRPS1L1.221823,1_PRSS48.345062,1_PSCA.8000,1_PSMD12.5718,1_PTBP1.5725,1_PTGER4.5734,1_PTPLAD2.401494,1_PTPN20B.26095,1_PYGM.5837,1_PYHIN1.149628,1_RAB36.9609,1_RAB37.326624,1_RAB7L1.8934,1_RAMP3.10268,1_RARRES1.5918,1_RARRES3.5920,1_RASGRP1.10125,1_RASGRP2.10235,1_RASL11A.387496,1_RCC1.1104,1_RECQL4.9401,1_RFC5.5985,1_RFTN1.23180,1_RGS14.10636,1_RGS20.8601,1_RHOB.388,1_RHOQ.23433,1_RIOK1.83732,1_RIPPLY2.134701,1_RLIM.51132,1_RMRP.6023,1_RNASE4.6038,1_RNASEL.6041,1_RNF125.54941,1_RNF8.9025,1_RPA1.6117,1_RPL39.6170,1_RPL7L1.285855,1_RPN2.6185,1_RPS27L.51065,1_RRP9.9136,1_RSPO4.343637,1_RTCD1.8634,1_S1PR4.8698,1_SAGE1.55511,1_SBDSP1.155370,1_SCFD2.152579,1_SCN4B.6330,1_SCPEP1.59342,1_SCRIB.23513,1_SDR42E1.93517,1_SECTM1.6398,1_SELM.140606,1_SEMA3G.56920,1_SEPT11.55752,1_SERBP1.26135,1_SERP2.387923,1_SFRS11.9295,1_SFRS2.6427,1_SH2D1A.4068,1_SH2D1B.117157,1_SH2D5.400745,1_SH3RF2.153769,1_SHISA4.149345,1_SHROOM2.357,1_SIGLEC15.284266,1_SIP1.8487,1_SLC12A2.6558,1_SLC12A3.6559,1_SLC16A11.162515,1_SLC19A1.6573,1_SLC25A13.10165,1_SLC25A5.292,1_SLC26A10.65012,1_SLC2A1.6513,1_SLC37A1.54020,1_SLC38A3.10991,1_SLC43A1.8501,1_SLC7A5.8140,1_SLC9A9.285195,1_SLCO3A1.28232,1_SLED1.643036,1_SMC5.23137,1_SMYD4.114826,1_SNHG3.RCC1.751867,1_SNORA12.677800,1_SNORA57.692158,1_SNORD17.692086,1_SNORD97.692223,1_SNX11.29916,1_SOX17.64321,1_SPANXB2.100133171,1_SPATA20.64847,1_SPDYC.387778,1_SPIB.6689,1_SPINK9.643394,1_SPON2.10417,1_SPTB.6710,1_SSH3.54961,1_STARD7.56910,1_STAT5A.6776,1_STH.246744,1_SUV39H2.79723,1_SYNCRIP.10492,1_TAAR1.134864,1_TACR1.6869,1_TADA2B.93624,1_TAF2.6873,1_TATDN3.128387,1_TBC1D22B.55633,1_TBC1D5.9779,1_TBPL1.9519,1_TCF7L1.83439,1_TCP11.6954,1_TEF.7008,1_TESC.54997,1_TFE3.7030,1_THAP7.80764,1_TIFAB.497189,1_TLE1.7088,1_TLR10.81793,1_TLR5.7100,1_TMCO4.255104,1_TMEM129.92305,1_TMEM151A.256472,1_TMEM181.57583,1_TMEM189.387521,1_TMEM79.84283,1_TMEM85.51234,1_TMIE.259236,1_TNF.7124,1_TNS1.7145,1_TNS4.84951,1_TOMM34.10953,1_TOP2B.7155,1_TP53BP2.7159,1_TPP1.1200,1_TRIM22.10346,1_TRIM29.23650,1_TRIM34.53840,1_TRIM41.90933,1_TRIM47.91107,1_TRMT6.51605,1_TSPAN15.23555,1_TSPAN5.10098,1_TSPYL2.64061,1_TTF2.8458,1_UBE2CBP.90025,1_UBE2E1.7324,1_UHRF1.29128,1_UNC13D.201294,1_USF1.7391,1_USP20.10868,1_USP24.23358,1_VARS.7407,1_VCX3B.425054,1_VEGFB.7423,1_VPS18.57617,1_VPS33A.65082,1_VTA1.51534,1_VWA5A.4013,1_WBP2.23558,1_WBSCR26.171022,1_WISP1.8840,1_XCL2.6846,1_XRN1.54464,1_YBX1.4904,1_YPEL2.388403,1_YPEL4.219539,1_YWHAQ.10971,1_ZAN.7455,1_ZBED4.9889,1_ZBTB33.10009,1_ZBTB7A.51341,1_ZC3H10.84872,1_ZFYVE9.9372,1_ZNF26.7574,1_ZNF292.23036,1_ZNF322A.79692,1_ZNF326.284695,1_ZNF468.90333,1_ZNF496.84838,1_ZNF664.144348,1_ZNF681.148213,1_ZNF697.90874,1_ZNF703.80139,1_ZNF765.91661,1_ZNF79.7633,1_ZP4.57829,1_ZRSR2.8233,1_ZWILCH.55055,1_ZYG11A.440590,1_ZZZ3.26009
0,5,12,7,0,0,0,63,0,41,0,0,0,0,0,101,335,0,0,0,0,48,0,0,151,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,6,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,262,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,137,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,303,0,0,0,0,0,0,244,0,0,0,0,250,0,0,0,0,0,42,162,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,9,0,157,0,0,0,0,54,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,283,0,256,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,38,0,0,0,0,0,0,37,0,0,0,282,0,0,0,0,0,209,0,0,0,0,0,0,327,307,0,0,0,0,0,0,0,0,0,0,0,0,120,121,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,209,0,197,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,309,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,68,0,0,0,0,0,0,0,300,0,0,0,0,304,0,0,0,0,31,0,88,0,0,0,0,151,0,71,0,0,0,0,0,350,0,0,287,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,63,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,163,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0
100,0,0,2,0,8,2,0,1,1,6,0,0,0,1,4,392,0,1,0,0,5,0,5,0,1,0,1,233,0,0,0,0,0,1,0,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,52,2,0,25,0,3,1,0,0,9,0,0,1,0,0,7,72,0,0,0,3,0,0,0,0,0,3,0,0,1,1,5,0,0,2,1,19,0,0,0,0,0,1,389,0,0,1,0,0,0,0,0,0,0,388,0,12,0,2,1,0,0,1,0,1,0,0,0,0,1,5,0,3,0,0,0,0,0,1,0,1,2,1,0,0,0,0,2,1,1,2,0,0,0,3,0,8,0,1,0,12,1,3,0,0,0,0,0,1,0,1,0,0,5,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,2,1,0,0,0,0,2,0,0,0,3,1,0,0,0,402,0,0,1,2,1,0,0,1,0,0,1,1,0,57,0,0,0,3,1,0,0,76,2,1,0,1,0,0,0,18,1,9,1,0,0,0,25,11,0,0,0,188,0,3,1,0,0,0,7,1,168,1,0,2,0,3,1,1,2,2,0,0,1,76,0,1,1,0,27,0,0,1,1,0,1,0,0,0,328,1,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,1,6,0,1,0,5,0,3,0,0,1,0,0,0,0,0,3,0,0,1,23,0,0,0,0,0,0,0,2,1,0,1,4,1,3,0,0,1,1,0,0,2,0,1,0,1,0,152,142,0,1,0,0,0,0,1,0,1,1,0,0,0,13,0,0,0,0,3,0,0,2,0,0,0,0,0,0,2,0,0,0,7,0,0,5,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,309,0,0,3,0,3,2,1,0,1,1,1,0,0,1,0,0,3,0,0,1,1,0,1,0,4,0,0,0,1,1,0,0,1,0,1,0,0,0,0,16,0,1,2,0,1,6,1,1,0,2,0,1,2,23,0,0,0,4,0,0,3,0,3,0,1,0,17,0,388,2,0,5,0,358,3,2,0,0,0,0,0,0,0,0,0,6,4,0,0,0,40,5,0,277,5,0,24,0,0,1,1,0,0,8,0,1,0,0,0,0,0,0,1,0,2,0,0,2,1,0,1,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,25,11,0,0,27,0,0,0,0,410,0,0,4,4,0,1,0,0,1,3,3,18,1,0,2,401,0,1,1,1,4,0,0,0,0,0,0,0,4,2,1,392,0,0,1,0,1,0,0
200,0,0,2,1,1,0,0,0,0,0,1,0,0,0,5,397,2,0,1,2,9,0,33,0,0,0,0,238,2,1,1,0,1,0,0,0,0,36,5,0,0,1,0,0,0,13,1,0,4,0,4,0,0,45,0,0,11,2,7,1,3,0,4,0,1,1,1,0,15,98,0,1,0,0,1,0,3,0,1,0,0,0,0,0,1,1,1,0,0,3,0,1,1,1,1,0,366,1,2,0,0,2,1,0,0,1,0,395,1,21,0,0,0,0,2,0,0,0,0,0,6,3,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,8,0,2,1,1,0,0,1,0,0,1,0,0,0,1,1,0,2,0,0,1,0,2,0,1,0,0,0,1,0,3,0,1,3,1,0,9,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,0,2,1,0,3,0,1,392,0,9,0,0,0,4,2,0,0,1,0,0,0,30,1,0,0,1,3,0,2,113,3,0,3,0,0,1,0,17,0,0,0,1,1,0,5,25,1,1,1,222,0,0,6,0,1,0,9,0,174,3,2,0,1,1,1,1,0,0,1,2,0,113,0,0,0,5,5,0,2,0,0,0,0,1,0,1,353,0,0,0,0,0,19,1,0,0,2,2,0,1,0,4,1,12,0,2,10,3,1,0,2,2,5,1,0,0,1,1,0,0,0,0,4,0,3,2,2,0,1,1,0,14,0,0,2,0,1,0,0,8,0,2,0,0,0,0,0,0,2,0,1,0,2,0,0,0,1,0,0,0,4,171,169,2,0,1,3,1,0,10,0,1,0,0,5,0,5,0,7,0,1,6,1,0,23,3,0,7,0,0,0,3,1,2,0,7,0,1,4,0,1,0,1,2,0,2,1,0,1,2,0,0,1,0,313,1,1,0,2,0,0,7,1,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,2,1,0,9,0,0,0,1,0,6,1,1,0,2,1,1,1,2,5,5,0,1,0,0,1,1,2,1,2,49,0,0,0,2,2,1,1,1,0,3,0,0,37,1,382,2,2,0,1,365,0,0,1,2,0,0,0,0,0,1,2,1,0,0,1,0,71,2,0,308,7,5,12,0,0,0,0,10,3,16,0,0,0,0,1,3,0,3,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,2,1,0,0,0,1,1,0,8,3,0,0,3,4,1,1,2,391,0,0,0,0,1,0,3,2,0,0,0,52,0,3,0,391,0,0,0,0,0,1,0,0,1,1,1,2,16,2,0,378,0,0,0,0,0,0,0
299,0,0,2,0,0,0,2,0,0,0,0,3,1,0,4,402,1,0,1,0,35,3,48,0,0,1,1,269,0,0,0,2,1,0,3,0,0,64,5,0,1,1,1,1,0,15,0,4,4,6,1,1,0,22,0,1,7,0,0,0,1,1,0,2,0,0,0,1,0,105,0,0,0,0,0,1,1,0,1,0,1,2,0,0,0,0,1,1,0,43,3,0,1,0,0,1,347,0,0,0,1,0,0,2,2,0,2,404,0,7,1,0,0,2,3,0,18,0,2,3,1,31,1,0,1,0,3,2,2,1,0,0,0,0,0,0,1,3,22,1,0,1,1,5,1,0,1,0,3,0,4,0,0,0,12,0,1,1,0,1,0,0,0,0,2,0,1,1,0,1,0,0,1,0,4,0,1,3,0,0,1,0,2,0,0,0,0,4,1,0,1,1,0,0,0,1,1,0,404,1,6,0,0,0,1,0,0,1,1,0,0,1,46,0,3,1,0,0,1,2,101,2,0,1,0,0,0,1,15,0,0,0,0,0,1,2,2,0,5,1,246,7,0,5,15,16,0,10,1,154,3,0,0,1,0,1,0,0,0,0,1,0,103,1,0,0,0,0,1,0,0,0,1,0,0,1,0,379,0,2,1,1,0,8,0,1,1,2,1,1,1,0,4,0,46,1,12,14,1,0,2,0,3,0,0,0,0,0,1,1,0,1,0,0,1,8,2,0,1,0,0,2,0,1,0,0,2,0,0,12,76,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,2,157,150,0,0,2,0,1,1,14,1,1,0,1,5,0,11,5,25,5,1,6,1,1,39,0,1,4,1,2,1,1,0,1,1,2,1,0,0,0,0,3,1,0,0,0,0,0,3,4,11,0,1,1,351,1,5,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,3,1,1,0,1,0,1,2,0,1,3,0,0,1,2,0,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,4,18,0,105,1,3,2,1,5,1,1,0,0,0,0,1,46,0,345,0,0,0,0,369,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,18,0,2,326,1,6,3,2,0,0,0,16,0,8,2,0,1,1,0,0,1,1,0,1,0,0,1,0,0,2,3,2,0,0,3,0,1,0,0,0,1,0,1,0,0,5,0,2,2,1,0,0,0,2,0,372,4,4,0,2,0,0,0,0,0,0,0,75,1,8,0,395,0,1,0,0,0,0,1,2,0,0,0,0,18,4,0,348,1,1,0,1,0,1,8
