gen,0_age_at_initial_pathologic_diagnosis,0_race_WHITE,1_..100133144,1_..100134869,1_ABCA9.10350,1_ABCC1.4363,1_ABCD2.225,1_ABCD4.5826,1_ABHD12B.145447,1_ACPT.93650,1_ADAMTSL4.54507,1_ADI1.55256,1_ADRA1B.147,1_AGAP11.119385,1_AGR2.10551,1_AHCY.191,1_AK7.122481,1_AKAP4.8852,1_ALDH1A1.216,1_ALDH3B1.221,1_ALG13.79868,1_ALG6.29929,1_AMBN.258,1_AMD1.262,1_AMICA1.120425,1_AMTN.401138,1_ANKRD33.341405,1_AP2B1.163,1_APCDD1L.164284,1_APOBEC3H.164668,1_ARHGAP27.201176,1_ARHGAP30.257106,1_ARL5C.390790,1_ARMC1.55156,1_ARMCX5.64860,1_ARMCX6.54470,1_ARX.170302,1_ASAP1.50807,1_ASPA.443,1_ATP2C1.27032,1_ATP5B.506,1_AURKA.6790,1_AVPI1.60370,1_AZI1.22994,1_B2M.567,1_B3GNT8.374907,1_BAT1.7919,1_BAT2.7916,1_BATF2.116071,1_BCL2L14.79370,1_BECN1.8678,1_BEND3.57673,1_BNIP3.664,1_BRWD3.254065,1_BTBD9.114781,1_BUB1.699,1_BYSL.705,1_C10orf116.10974,1_C10orf11.83938,1_C11orf36.283303,1_C12orf24.29902,1_C12orf73.728568,1_C14orf50.145376,1_C15orf51.196968,1_C16orf70.80262,1_C17orf103.256302,1_C17orf28.283987,1_C17orf55.284185,1_C17orf59.54785,1_C17orf69.147081,1_C18orf54.162681,1_C1orf100.200159,1_C1orf150.148823,1_C1orf9.51430,1_C1QB.713,1_C1QTNF9.338872,1_C20orf152.140894,1_C20orf202.400831,1_C21orf128.150147,1_C22orf26.55267,1_C22orf46.79640,1_C2orf42.54980,1_C4BPB.725,1_C4orf10.317648,1_C4orf37.285555,1_C4orf38.152641,1_C6orf129.154467,1_C6orf192.116843,1_C6orf64.55776,1_C8orf42.157695,1_C9orf106.414318,1_CA9.768,1_CABLES2.81928,1_CADPS2.93664,1_CAND1.55832,1_CARTPT.9607,1_CASP4.837,1_CCDC122.160857,1_CCDC152.100129792,1_CCDC52.152185,1_CCDC69.26112,1_CCL26.10344,1_CCNA1.8900,1_CCPG1.9236,1_CCT6A.908,1_CD1C.911,1_CD1E.913,1_CD300C.10871,1_CD36.948,1_CD37.951,1_CD40LG.959,1_CD5.921,1_CD74.972,1_CDC25B.994,1_CDCA4.55038,1_CDH2.1000,1_CDIPT.10423,1_CDK5R1.8851,1_CDKN2AIPNL.91368,1_CDKN2B.1030,1_CEBPD.1052,1_CHAC2.494143,1_CHMP4C.92421,1_CHODL.140578,1_CHRM4.1132,1_CHRNA10.57053,1_CLSPN.63967,1_CLU.1191,1_CMA1.1215,1_CNBD1.168975,1_COBLL1.22837,1_COL15A1.1306,1_COPS5.10987,1_CPT1A.1374,1_CRTC3.64784,1_CSDE1.7812,1_CSF1R.1436,1_CSF3R.1441,1_CSNK1G2.1455,1_CTDSP1.58190,1_CTHRC1.115908,1_CTXN2.399697,1_CUL4B.8450,1_CUL7.9820,1_CXCL10.3627,1_CXorf21.80231,1_CYTH4.27128,1_DALRD3.55152,1_DCAF8.50717,1_DEFB106A.245909,1_DEFB1.1672,1_DGAT1.8694,1_DHH.50846,1_DKKL1.27120,1_DNASE1L3.1776,1_DNM1L.10059,1_DOCK7.85440,1_DOCK8.81704,1_DOK3.79930,1_DPF3.8110,1_DRAM1.55332,1_DTX2.113878,1_DUSP27.92235,1_DUSP9.1852,1_DVL2.1856,1_EBF1.1879,1_EBI3.10148,1_EFHD1.80303,1_EIF2C2.27161,1_EIF4E.1977,1_ELAC1.55520,1_ELK1.2002,1_ELN.2006,1_ENTPD1.953,1_EPRS.2058,1_FAF1.11124,1_FAM101A.144347,1_FAM129C.199786,1_FAM161A.84140,1_FAM170B.170370,1_FAM180B.399888,1_FAM23A.653567,1_FAM60A.58516,1_FAM81B.153643,1_FAM91A1.157769,1_FANCD2.2177,1_FARP1.10160,1_FASLG.356,1_FASN.2194,1_FBP1.2203,1_FBXO8.26269,1_FCGR1B.2210,1_FCN1.2219,1_FCRL1.115350,1_FCRL2.79368,1_FCRL5.83416,1_FERMT3.83706,1_FGD2.221472,1_FGF5.2250,1_FGFRL1.53834,1_FKBP15.23307,1_FLJ35776.649446,1_FLJ36000.284124,1_FLT3LG.2323,1_FN3K.64122,1_FOLH1B.219595,1_FOXJ3.22887,1_FSCB.84075,1_FXYD1.5348,1_FYB.2533,1_G2E3.55632,1_G3BP1.10146,1_GALNT12.79695,1_GBA.2629,1_GCH1.2643,1_GCOM1.145781,1_GGTA1.2681,1_GIMAP8.155038,1_GINS1.9837,1_GJA4.2701,1_GMNN.51053,1_GNG11.2791,1_GPR141.353345,1_GPR34.2857,1_GPR78.27201,1_GPR87.53836,1_GPX5.2880,1_GRAP2.9402,1_GREM2.64388,1_GRP.2922,1_GSDMC.56169,1_HAGH.3029,1_HCST.10870,1_HDAC2.3066,1_HEATR7B2.133558,1_HEG1.57493,1_HIPK4.147746,1_HLA.DOB.3112,1_HNRNPC.3183,1_HNRNPH1.3187,1_HNRNPH2.3188,1_HOMER1.9456,1_HOXC5.3222,1_HPGDS.27306,1_HSD17B1.3292,1_HSH2D.84941,1_HTATIP2.10553,1_HTR1A.3350,1_HTR3A.3359,1_HTR3E.285242,1_IGFBP4.3487,1_IGSF22.283284,1_ILF3.3609,1_IMPAD1.54928,1_IMPDH2.3615,1_INO80.54617,1_INSC.387755,1_IRAK4.51135,1_IRF5.3663,1_ISG20.3669,1_ITCH.83737,1_ITGAL.3683,1_ITGB2.3689,1_JMJD8.339123,1_KCNK18.338567,1_KCNK7.10089,1_KDM2B.84678,1_KDM4A.9682,1_KEAP1.9817,1_KHSRP.8570,1_KIAA0114.57291,1_KIAA0146.23514,1_KIAA1429.25962,1_KIAA1683.80726,1_KIAA1958.158405,1_KIF15.56992,1_KIF20A.10112,1_KISS1.3814,1_KLK3.354,1_KLRD1.3824,1_L3MBTL3.84456,1_LAIR1.3903,1_LANCL3.347404,1_LBP.3929,1_LDLRAD2.401944,1_LECT2.3950,1_LIG1.3978,1_LIG3.3980,1_LILRA4.23547,1_LOC100101266.100101266,1_LOC100130581.100130581,1_LOC145783.145783,1_LOC157381.157381,1_LOC282997.282997,1_LOC283867.283867,1_LOC283999.283999,1_LOC285548.285548,1_LOC339524.339524,1_LOC401010.401010,1_LOC440563.440563,1_LOC442308.442308,1_LOC442421.442421,1_LOC494141.494141,1_LOC55908.55908,1_LOC642852.642852,1_LOC643837.643837,1_LOC727896.727896,1_LOC727924.727924,1_LOC729678.729678,1_LPO.4025,1_LPPR3.79948,1_LRFN2.57497,1_LRFN5.145581,1_LRGUK.136332,1_LRP12.29967,1_LRRC42.115353,1_LRRC69.100130742,1_LRRC8C.84230,1_LRRIQ1.84125,1_LTC4S.4056,1_LTF.4057,1_LYL1.4066,1_LYPLA1.10434,1_LZTFL1.54585,1_MAP3K12.7786,1_MAP4K4.9448,1_MCHR2.84539,1_MCM10.55388,1_MCM3.4172,1_MCM8.84515,1_MEAF6.64769,1_MED12.9968,1_MED7.9443,1_MEI1.150365,1_MEX3D.399664,1_MFAP2.4237,1_MFNG.4242,1_MGC57346.401884,1_MGST2.4258,1_MITF.4286,1_MLLT6.4302,1_MMP12.4321,1_MMP13.4322,1_MNAT1.4331,1_MON1B.22879,1_MORC4.79710,1_MOV10.4343,1_MRAP2.112609,1_MRE11A.4361,1_MRO.83876,1_MRPL3.11222,1_MS4A15.219995,1_MSH6.2956,1_MT1DP.326343,1_MTHFR.4524,1_MXRA7.439921,1_MYL5.4636,1_MYLK2.85366,1_MYO15A.51168,1_MYO1G.64005,1_NAA40.79829,1_NAT15.79903,1_NCF1B.654816,1_NCKIPSD.51517,1_NCRNA00167.440072,1_NCRNA00169.400508,1_NDST3.9348,1_NEU2.4759,1_NFKBIA.4792,1_NKAP.79576,1_NKRF.55922,1_NKX3.2.579,1_NKX6.1.4825,1_NLRP10.338322,1_NLRP3.114548,1_NLRX1.79671,1_NME6.10201,1_NOL11.25926,1_NONO.4841,1_NOXO1.124056,1_NPS.594857,1_NPTX2.4885,1_NUDT13.25961,1_NUDT18.79873,1_NUP62.23636,1_NUPR1.26471,1_NUS1.116150,1_NXPH4.11247,1_NXT2.55916,1_ODC1.4953,1_ODF2.4957,1_OR2A9P.441295,1_OR4C45.403257,1_OR5E1P.26343,1_OR6F1.343169,1_OTOS.150677,1_OTUB2.78990,1_P2RX1.5023,1_P2RY13.53829,1_P2RY8.286530,1_P4HA1.5033,1_PAICS.10606,1_PARP1.142,1_PATE2.399967,1_PBXIP1.57326,1_PCBD1.5092,1_PDE4A.5141,1_PDE4C.5143,1_PDIA6.10130,1_PEX11G.92960,1_PGA3.643834,1_PGBD1.84547,1_PGRMC1.10857,1_PHKG2.5261,1_PIGU.128869,1_PIK3R5.23533,1_PITX2.5308,1_PIWIL3.440822,1_PLA2G2D.26279,1_PLCB2.5330,1_PLCG1.5335,1_PLCXD1.55344,1_PLK1.5347,1_PLOD1.5351,1_PLS1.5357,1_PLSCR4.57088,1_PNPLA3.80339,1_PODXL2.50512,1_POLR1E.64425,1_POLR3A.11128,1_POLR3E.55718,1_PON3.5446,1_PPIL1.51645,1_PPP1R11.6992,1_PPP4R2.151987,1_PPRC1.23082,1_PRDM14.63978,1_PRDM15.63977,1_PRELP.5549,1_PRKCDBP.112464,1_PRMT3.10196,1_PRMT8.56341,1_PRPF4B.8899,1_PRRC1.133619,1_PRSS22.64063,1_PSAT1.29968,1_PSMD10.5716,1_PSMG1.8624,1_PSTPIP1.9051,1_PTDSS1.9791,1_PTPN18.26469,1_PTPN20B.26095,1_PTPRB.5787,1_PTPRF.5792,1_PTPRG.5793,1_RAB7L1.8934,1_RAC3.5881,1_RAD21.5885,1_RAMP3.10268,1_RARRES1.5918,1_RASAL3.64926,1_RASL10B.91608,1_RASL12.51285,1_RBM12.10137,1_RBM47.54502,1_RCSD1.92241,1_RELB.5971,1_RIOK1.83732,1_RIPK3.11035,1_RIPPLY2.134701,1_RNASE6.6039,1_RNASET2.8635,1_RNF133.168433,1_RNLS.55328,1_RNPEPL1.57140,1_RPA1.6117,1_RPL7L1.285855,1_RPS8.6202,1_RPSAP9.653162,1_RRS1.23212,1_RTCD1.8634,1_S100A16.140576,1_S1PR4.8698,1_SASH3.54440,1_SATB1.6304,1_SCARNA17.677769,1_SCRIB.23513,1_SCUBE3.222663,1_SEC23A.10484,1_SELE.6401,1_SEMA4F.10505,1_SEPHS2.22928,1_SERBP1.26135,1_SERPINF1.5176,1_SERPING1.710,1_SETDB2.83852,1_SFRS4.6429,1_SIX4.51804,1_SLC12A3.6559,1_SLC12A6.9990,1_SLC16A6.9120,1_SLC25A24.29957,1_SLC25A32.81034,1_SLC2A1.6513,1_SLC38A10.124565,1_SLC38A3.10991,1_SLC39A2.29986,1_SLC44A2.57153,1_SLC5A5.6528,1_SLC9A7.84679,1_SLC9A8.23315,1_SLC9A9.285195,1_SLCO3A1.28232,1_SMARCA4.6597,1_SMARCC1.6599,1_SMOC1.64093,1_SMYD2.56950,1_SNAP91.9892,1_SNAPC5.10302,1_SNHG6.641638,1_SNRPD1.6632,1_SOX13.9580,1_SOX4.6659,1_SPATA24.202051,1_SPNS2.124976,1_SPRYD5.84767,1_SPTA1.6708,1_SQLE.6713,1_SRRM1.10250,1_SSH3.54961,1_STIL.6491,1_STON2.85439,1_STXBP2.6813,1_SUGT1L1.283507,1_SUPT16H.11198,1_SURF1.6834,1_SVEP1.79987,1_SYBU.55638,1_TAGLN3.29114,1_TARDBP.23435,1_TAS2R30.259293,1_TATDN1.83940,1_TBX6.6911,1_TBXAS1.6916,1_TCEA1.6917,1_TCN2.6948,1_TCTEX1D4.343521,1_TDRD6.221400,1_TERF1.7013,1_TERT.7015,1_TET1.80312,1_TFAP2D.83741,1_TGFBR3.7049,1_TGOLN2.10618,1_THNSL1.79896,1_THOC2.57187,1_TIGD2.166815,1_TIGIT.201633,1_TIMM8A.1678,1_TINAGL1.64129,1_TLR1.7096,1_TLX1.3195,1_TMED2.10959,1_TMEM132A.54972,1_TMEM132D.121256,1_TMEM143.55260,1_TMEM145.284339,1_TMEM30B.161291,1_TMEM65.157378,1_TMEM85.51234,1_TMEM8B.51754,1_TNFAIP2.7127,1_TNFRSF14.8764,1_TOP2A.7153,1_TP53TG1.11257,1_TPI1.7167,1_TPK1.27010,1_TRIM22.10346,1_TRIM34.53840,1_TRIM67.440730,1_TRIM8.81603,1_TSPAN5.10098,1_TSPYL2.64061,1_TTC30A.92104,1_TTC39A.22996,1_TXNDC2.84203,1_UBA7.7318,1_UBE2CBP.90025,1_UBE2L6.9246,1_UBE2O.63893,1_UCN3.114131,1_UHRF1.29128,1_UHRF1BP1.54887,1_USP24.23358,1_USP45.85015,1_USP49.25862,1_VPREB3.29802,1_WAS.7454,1_WASF2.10163,1_WDR3.10885,1_XCL1.6375,1_XPO1.7514,1_XYLB.9942,1_YBX1.4904,1_YEATS2.55689,1_ZBTB33.10009,1_ZBTB9.221504,1_ZCCHC11.23318,1_ZIK1.284307,1_ZIM2.23619,1_ZNF207.7756,1_ZNF251.90987,1_ZNF546.339327,1_ZNF587.84914,1_ZNF623.9831,1_ZNF669.79862,1_ZNF678.339500,1_ZNF683.257101,1_ZNF71.58491,1_ZNF7.7553,1_ZNF8.7554,1_ZP3.7784,1_ZRANB2.9406
0,7,5,0,0,0,0,0,0,178,0,0,0,0,0,295,0,32,285,214,0,98,0,0,0,0,0,286,0,0,0,0,0,66,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,110,0,32,0,0,0,0,43,0,0,0,0,0,0,216,0,0,299,0,0,0,343,0,101,0,0,0,0,0,7,0,101,0,223,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,250,0,190,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,41,0,0,0,0,0,0,0,23,0,0,0,26,0,0,249,0,0,0,0,0,0,0,0,0,0,0,163,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,319,0,0,0,0,22,0,0,0,185,0,0,0,176,0,0,0,0,0,227,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,132,0,0,224,0,0,0,0,0,0,0,40,0,0,158,119,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,327,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,300,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,19,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,293,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
100,0,1,0,1,0,1,0,0,0,0,2,1,0,1,11,0,0,305,287,1,279,0,0,1,0,1,316,0,0,0,1,1,2,0,1,1,0,1,2,2,1,1,1,0,2,0,0,2,0,2,0,1,0,0,1,0,0,0,1,239,0,0,0,0,0,1,9,0,0,0,1,0,0,1,1,0,43,2,1,309,39,1,0,349,1,47,0,0,0,0,2,4,1,106,0,186,0,295,0,3,1,0,53,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,66,0,3,0,0,3,323,0,0,3,2,1,118,0,2,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,1,0,7,35,2,0,0,0,0,1,2,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,2,1,2,0,6,0,0,0,1,0,0,1,2,240,1,1,1,0,1,5,0,0,3,1,1,0,0,0,0,1,0,1,0,0,0,186,3,2,0,1,0,1,0,0,0,3,0,0,0,1,1,2,1,0,0,2,0,0,0,2,0,0,0,1,0,1,1,2,0,0,0,0,8,0,2,0,0,0,0,0,7,1,3,0,0,0,0,0,1,0,0,0,0,1,294,44,1,0,0,4,0,1,0,0,0,0,1,0,0,1,2,0,2,0,1,1,0,0,0,232,0,0,0,1,0,0,1,0,1,2,137,1,0,1,1,0,0,0,0,161,1,3,1,5,0,5,0,0,3,45,2,1,0,101,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,189,0,0,0,0,2,1,1,0,0,0,2,1,1,0,2,1,0,0,128,0,1,2,0,0,3,2,0,3,0,1,0,1,1,1,0,3,246,0,0,11,6,3,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,6,0,1,1,0,2,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,301,0,0,0,0,0,0,0,0,86,1,2,1,33,0,0,1,0,175,0,3,0,99,1,1,1,0,0,0,2,0,0,0,0,126,1,1,5,1,0,1,2,113,1,0,0,1,1,1,3,2,0,0,0,1,0,2,0,0,1,0,1,0,0,33,1,0,0,6,0,1,0,0,0,4,0,1,1,0,2,3,1,4,2,0,0,3,0,1,0,1,0,2,0,1,0,1,1,0,1,0,0,0,0,1,5,1,0,0,0,1,0,0,4,0,0,2,2,1,0,1,1,0,0,0,0,0,2,136,5,0,0,0,0,1,1,12,1,1,2,0,0,28,0,1,0,0,0,5,32,1,0,0,3,2,0,0,9,0,0,7,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
200,1,2,0,0,0,0,2,0,0,0,0,0,0,0,4,3,0,314,274,0,337,1,1,0,1,0,341,1,3,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,16,5,0,3,1,0,1,0,0,0,2,0,0,0,242,1,1,0,0,0,0,0,0,11,0,0,1,1,1,2,0,18,0,0,350,59,0,1,360,0,37,0,0,1,0,1,3,0,150,2,217,1,335,1,0,1,9,134,0,0,3,1,1,0,0,1,0,2,1,0,1,0,0,1,11,0,0,1,0,0,349,1,2,0,0,0,239,4,0,1,0,0,0,0,9,0,8,0,0,0,0,1,0,0,0,2,25,38,0,1,2,3,12,0,0,0,2,0,0,0,0,0,1,2,0,0,0,1,0,3,2,0,4,4,0,0,1,2,0,4,0,2,0,0,0,268,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,1,1,146,0,0,2,0,0,0,1,2,1,0,0,0,1,3,0,0,0,0,2,0,0,1,3,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,6,1,1,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,324,15,0,0,3,0,0,0,0,1,4,0,1,1,0,0,1,0,0,0,0,0,0,1,0,93,1,0,3,0,0,1,0,0,0,0,88,0,5,0,0,0,1,0,2,20,0,2,0,2,0,0,0,1,0,5,1,0,0,60,0,1,0,0,1,0,0,0,0,0,2,0,1,2,1,0,0,2,0,1,1,1,0,37,0,5,1,3,0,1,2,0,0,1,0,0,0,3,2,1,1,1,59,1,0,0,3,1,0,0,1,3,7,0,1,0,0,0,1,0,67,0,1,1,3,0,1,0,0,2,1,1,0,0,5,0,0,4,0,0,0,5,1,2,0,0,0,0,0,1,14,0,1,2,0,0,0,1,2,0,0,1,297,2,1,0,1,1,1,7,1,18,0,0,0,24,0,4,0,0,191,0,6,0,121,2,1,1,0,1,0,0,0,0,0,3,88,1,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,49,0,0,1,0,0,0,0,0,1,1,1,3,6,2,1,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,1,1,4,1,2,0,0,6,0,0,1,2,0,0,7,0,1,0,1,1,0,0,1,0,7,1,1,0,22,0,2,0,1,37,0,1,0,0,2,1,2,0,0,0,239,0,2,3,3,2,0,0,19,0,0,0,0,0,0,1,0,0,0,0,0,63,0,0,1,0,0,0,1,0,0,1,2,0,4,1,1,1,0,0,1,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
299,0,2,1,1,2,0,7,2,0,1,0,0,1,0,2,2,2,332,273,0,358,3,0,0,0,0,359,2,3,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,37,7,0,1,1,2,0,1,10,0,0,1,1,0,264,0,0,0,1,0,0,1,4,0,0,0,0,0,0,1,1,5,0,0,364,94,0,0,366,0,31,3,1,0,1,1,2,0,165,2,231,1,356,0,0,1,25,158,0,1,2,0,0,2,0,0,9,0,4,1,0,0,1,1,0,1,0,0,27,0,360,0,3,0,0,0,256,26,0,0,6,1,1,1,8,2,0,0,1,0,1,0,1,2,0,0,22,37,0,0,5,0,22,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,1,0,8,0,1,0,0,1,0,1,4,0,0,3,1,0,0,278,0,0,0,1,0,0,2,0,0,0,0,27,2,8,0,0,1,0,2,0,1,127,0,0,0,0,1,0,2,0,0,0,1,0,0,4,0,0,0,0,0,0,4,0,1,0,0,1,8,0,1,0,0,0,0,2,1,2,0,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,329,31,0,1,0,0,1,0,2,0,23,1,1,1,0,0,0,1,0,2,0,0,1,0,1,51,1,1,18,1,0,0,0,1,0,0,71,0,9,0,0,0,0,1,4,9,0,0,0,1,1,0,1,0,0,2,0,0,1,44,1,0,0,1,2,2,1,0,0,1,0,4,0,0,0,0,0,3,1,0,0,1,0,10,4,7,1,1,0,1,0,1,3,1,0,0,0,0,3,1,0,0,43,3,0,0,31,0,0,0,1,4,11,0,0,0,0,0,0,0,44,0,0,1,0,0,0,7,2,0,0,0,0,0,10,0,0,0,0,2,2,5,2,2,0,2,0,0,0,1,34,0,0,0,0,0,0,0,1,1,0,0,298,0,0,1,1,0,0,6,3,15,0,0,0,20,1,0,0,1,183,1,3,1,138,2,0,1,2,0,1,0,12,1,3,3,72,1,0,0,0,1,0,0,167,0,1,1,0,0,0,1,0,0,68,7,0,0,0,2,2,0,1,1,0,0,1,9,1,0,0,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,4,0,1,1,1,0,1,1,0,0,0,0,0,1,4,0,1,0,0,1,0,2,0,0,1,20,0,6,1,1,46,0,0,0,0,12,1,1,1,1,0,242,0,1,0,0,1,0,0,14,0,0,0,1,1,0,0,4,1,3,1,0,71,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,13,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,6,2,0
