inner_cv_NB_bal_acc,inner_cv_root_leanness,train_NB_bal_acc,train_root_leanness,test_NB_bal_acc,test_root_leanness
,0.0,0.010248180773659691,0.0,0.01692557596897903,0.0
,0.0,0.010106085773769542,0.0,0.017050953020183706,0.0
,0.0,0.009961573455626923,0.0,0.013370098849258882,0.0
,0.0,0.009309916804922972,0.0,0.015454397215457235,0.0
,0.0,0.009751418741480156,0.0,0.010783680011577847,0.0
,0.0,0.009115290294393624,0.0,0.011747872983767766,0.0
,0.0,0.009144638475730467,0.0,0.01782946344690025,0.0
,0.0,0.00953534114207991,0.0,0.016288559720383775,0.0
,0.0,0.009751418741480156,0.0,0.010783680011577847,0.0
,0.0,0.009821133204546965,0.0,0.014384140210353034,0.0
,0.0,0.010574423347171033,0.0,0.015007033353263206,0.0
,0.0,0.0101866115751407,0.0,0.01582081689889419,0.0
,0.0,0.011095633011280972,0.0,0.014651685420459217,0.0
,0.0,0.009506724994934417,0.0,0.01696498319539104,0.0
,0.0,0.009885345518462273,0.0,0.014651685420459217,0.0
,0.0,0.011639204682980762,0.0,0.01709978554429979,0.0
,0.0,0.009425508507431605,0.0,0.023282422526393055,0.0
,0.0,0.009893613663178856,0.0,0.021255461267923527,0.0
,0.0,0.00979291680039654,0.0,0.01690849283901304,0.0
,0.0,0.010033545893162724,0.0,0.02915825774352317,0.0
,0.0,0.01151083912518378,0.0,0.03067797278850674,0.0
,0.0,0.009747980459206981,0.0,0.029797034582947367,0.0
,0.0,0.009132195228614031,0.0,0.028154160174372174,0.0
,0.0,0.01526723270520869,0.0,0.017655666288258307,0.0
,0.0,0.014134952854993336,0.0,0.022716411029254303,0.0
,0.0,0.015690630642783518,0.0,0.025442952665772792,0.0
,0.0,0.013652994335292622,0.0,0.04063916175578649,0.0
,0.0,0.012353980574843692,0.0,0.019448096437191777,0.0
,0.0,0.011636450834533364,0.0,0.027590733018288946,0.0
,0.0,0.0,0.0,0.0,0.0
