gen,evals,gen_feats,explored,expression_subtype naive Bayes balanced accuracy_min,expression_subtype naive Bayes balanced accuracy_avg,expression_subtype naive Bayes balanced accuracy_max,expression_subtype naive Bayes balanced accuracy_std,leanness_min,leanness_avg,leanness_max,leanness_std
0,500,648,648,0.14285714285714285,0.5154653142383713,0.7653896704944165,0.14064964638806024,0.0196078431372549,0.09017529963257254,1.0,0.1704078492155691
1,345,1037,1073,0.14285714285714285,0.5527421392074345,0.7865149411154855,0.13530571082171172,0.01639344262295082,0.07964128325952109,1.0,0.09184338384283998
2,354,1129,1475,0.14285714285714285,0.580679274486248,0.791384156407236,0.14152300142912808,0.016129032258064516,0.08728431530723922,1.0,0.0998863617638521
3,346,1171,1856,0.14285714285714285,0.6031709272137892,0.8300983087348337,0.1445536437580846,0.015873015873015872,0.0874733031734673,1.0,0.10177829668047624
4,347,1190,2231,0.14285714285714285,0.617956252076851,0.8300983087348337,0.1469415830519158,0.014925373134328358,0.08837801053212993,1.0,0.10414390759045539
5,375,1224,2615,0.14285714285714285,0.6328275731354297,0.8300983087348337,0.14679395587321012,0.014285714285714285,0.08865978705357043,1.0,0.10406134522235495
6,349,1214,2999,0.14285714285714285,0.6488070449819509,0.842058961540557,0.14999671658110497,0.013157894736842105,0.08731076490021955,1.0,0.1057125959707824
7,357,1182,3357,0.14285714285714285,0.6606883503390523,0.8440710339751647,0.1524612118207974,0.012987012987012988,0.08742534762982425,1.0,0.10756115894198764
8,361,1151,3682,0.14285714285714285,0.6730435629853241,0.8506757415859084,0.1529891327766547,0.01282051282051282,0.08646630749887049,1.0,0.1071690987705903
9,354,1122,4013,0.14285714285714285,0.6887228591371543,0.8621380556556317,0.1511052559885466,0.01282051282051282,0.08234895458565922,1.0,0.10502759502522475
10,371,1106,4363,0.14285714285714285,0.6991078996596833,0.8670072709473821,0.15175204392249309,0.01282051282051282,0.08104912338960764,1.0,0.10529441881412563
11,363,1118,4693,0.14285714285714285,0.7022763904897459,0.8707644661331486,0.15123026589105434,0.012987012987012988,0.0823559127029796,1.0,0.1050113700440096
12,374,1057,5025,0.14285714285714285,0.7161371017457182,0.8723021068304535,0.14717902204694988,0.012987012987012988,0.07841338399822607,1.0,0.1026051359035338
13,353,1092,5363,0.14285714285714285,0.7204583166715585,0.8759148195211635,0.14767503033122598,0.012987012987012988,0.07868043718602555,1.0,0.10253274482514652
