gen,0_age_at_initial_pathologic_diagnosis,1_..388795,1_AANAT.15,1_ABHD12.26090,1_ABP1.26,1_ACADL.33,1_ACAP1.9744,1_ACBD7.414149,1_ACHE.43,1_ACO2.50,1_ACOT8.10005,1_ACPT.93650,1_ACSM5.54988,1_ACTN3.89,1_ADAM12.8038,1_ADAM33.80332,1_ADAMTSL4.54507,1_ADCY1.107,1_ADCY2.108,1_ADCYAP1.116,1_ADORA2B.136,1_ADSSL1.122622,1_AFF3.3899,1_AGGF1.55109,1_AGXT.189,1_AKIRIN2.55122,1_AKR1B1.231,1_ALDH3B1.221,1_ALDH8A1.64577,1_ALG10.84920,1_ALS2CR11.151254,1_AMH.268,1_ANKRD13D.338692,1_ANXA2P2.304,1_APH1B.83464,1_APOBEC3D.140564,1_APOC2.344,1_APOL1.8542,1_APOM.55937,1_APRT.353,1_ARHGAP4.393,1_ARL2.402,1_ARL4C.10123,1_ASCL2.430,1_ASPSCR1.79058,1_ASRGL1.80150,1_ATE1.11101,1_ATG4A.115201,1_ATP5G1.516,1_ATP5G2.517,1_ATRN.8455,1_ATXN2L.11273,1_B4GALNT4.338707,1_BAG4.9530,1_BCL2L12.83596,1_BCS1L.617,1_BEX4.56271,1_BIRC5.332,1_BOLA2.552900,1_BPGM.669,1_BPHL.670,1_BRAF.673,1_BTD.686,1_C10orf118.55088,1_C11orf54.28970,1_C11orf82.220042,1_C11orf85.283129,1_C12orf45.121053,1_C14orf166.51637,1_C14orf167.55449,1_C16orf58.64755,1_C19orf59.199675,1_C1orf126.200197,1_C1orf128.57095,1_C1orf135.79000,1_C1orf228.339541,1_C1orf91.56063,1_C1orf92.149499,1_C1QL3.389941,1_C20orf118.140711,1_C20orf24.55969,1_C21orf84.114038,1_C22orf46.79640,1_C3orf26.84319,1_C3orf47.339942,1_C4orf26.152816,1_C4orf7.260436,1_C6.729,1_C6orf132.647024,1_C6orf134.79969,1_C6orf141.135398,1_C6orf154.221424,1_C6orf221.154288,1_C6orf27.80737,1_C7orf43.55262,1_C7orf47.221908,1_C8orf30A.51236,1_C8orf47.203111,1_C9orf110.100128385,1_C9orf129.445577,1_CA5BP.340591,1_CACHD1.57685,1_CACNB3.784,1_CAMK1D.57118,1_CAPN9.10753,1_CAPRIN2.65981,1_CAPZB.832,1_CARD14.79092,1_CARS.833,1_CASKIN1.57524,1_CASKIN2.57513,1_CASP5.838,1_CCDC12.151903,1_CCDC121.79635,1_CCDC45.90799,1_CCL3.6348,1_CCL8.6355,1_CCNB1.891,1_CCNE1.898,1_CCNF.899,1_CD14.929,1_CD19.930,1_CD300LB.124599,1_CDC25C.995,1_CDC42SE1.56882,1_CDC73.79577,1_CDCA3.83461,1_CDCA8.55143,1_CDH17.1015,1_CDH22.64405,1_CDH3.1001,1_CDH4.1002,1_CDKL5.6792,1_CDRT15P.94158,1_CDT1.81620,1_CEACAM22P.388550,1_CENPN.55839,1_CENPW.387103,1_CFH.3075,1_CGRRF1.10668,1_CHDH.55349,1_CHI3L2.1117,1_CHIC1.53344,1_CHRNG.1146,1_CIDEC.63924,1_CLIP4.79745,1_CLRN3.119467,1_CNPY1.285888,1_COL29A1.256076,1_COL4A3.1285,1_COL4A4.1286,1_COL8A2.1296,1_COPS4.51138,1_COPS7B.64708,1_CPA4.51200,1_CPEB1.64506,1_CPSF1.29894,1_CPXM2.119587,1_CRB2.286204,1_CRHBP.1393,1_CRP.1401,1_CSDE1.7812,1_CST2.1470,1_CST5.1473,1_CSTB.1476,1_CTDSPL.10217,1_CTXN1.404217,1_CUBN.8029,1_CXorf1.9142,1_CXorf30.645090,1_CYP21A2.1589,1_CYP2D7P1.1564,1_CYP3A4.1576,1_CYP3A7.1551,1_DAAM1.23002,1_DACH2.117154,1_DAPK3.1613,1_DBN1.1627,1_DCDC2B.149069,1_DDIT3.1649,1_DDX54.79039,1_DEFB104A.140596,1_DFFA.1676,1_DFFB.1677,1_DHFRL1.200895,1_DHH.50846,1_DHX32.55760,1_DHX34.9704,1_DHX9.1660,1_DIXDC1.85458,1_DKFZP434L187.26082,1_DKFZp686A1627.266695,1_DLGAP5.9787,1_DNA2.1763,1_DNAJC22.79962,1_DNER.92737,1_DNHD1.144132,1_DOHH.83475,1_DPP4.1803,1_DPP6.1804,1_DQX1.165545,1_DRAP1.10589,1_DSCAML1.57453,1_DUS1L.64118,1_DUSP14.11072,1_DVL3.1857,1_ECHDC3.79746,1_ECSCR.641700,1_EDIL3.10085,1_EIF3B.8662,1_EIF5A.1984,1_ELN.2006,1_ELOVL3.83401,1_ELP3.55140,1_EMID2.136227,1_EMX2.2018,1_ENO2.2026,1_ENPP3.5169,1_ENTPD2.954,1_EPB49.2039,1_ERBB3.2065,1_ERC2.26059,1_EREG.2069,1_EXOSC1.51013,1_EYA1.2138,1_F2RL1.2150,1_F3.2152,1_FAM101A.144347,1_FAM10A4.145165,1_FAM110C.642273,1_FAM113A.64773,1_FAM149A.25854,1_FAM155B.27112,1_FAM158A.51016,1_FAM168A.23201,1_FAM173A.65990,1_FAM18B2.201158,1_FAM196B.100131897,1_FAM50A.9130,1_FAM71F2.346653,1_FAM83D.81610,1_FAM86B2.653333,1_FBL.2091,1_FBN2.2201,1_FBRSL1.57666,1_FGD5.152273,1_FGF23.8074,1_FHOD1.29109,1_FMOD.2331,1_FOXE1.2304,1_FOXI2.399823,1_FOXL1.2300,1_FRG1B.284802,1_FSCN2.25794,1_FUS.2521,1_FXYD2.486,1_FZD1.8321,1_G6PD.2539,1_GAB1.2549,1_GAD2.2572,1_GADD45A.1647,1_GALNS.2588,1_GALNTL4.374378,1_GATA4.2626,1_GDA.9615,1_GDEP.118425,1_GDF5.8200,1_GEN1.348654,1_GFRA4.64096,1_GGA3.23163,1_GH1.2688,1_GINS3.64785,1_GIYD2.79008,1_GJA5.2702,1_GJB6.10804,1_GLT25D2.23127,1_GLTPD2.388323,1_GNA14.9630,1_GNAQ.2776,1_GPBP1L1.60313,1_GPR108.56927,1_GPR113.165082,1_GPR144.347088,1_GPR153.387509,1_GPR84.53831,1_GRIK4.2900,1_GRIN3B.116444,1_GRM4.2914,1_GSTA2.2939,1_GTF2IRD1.9569,1_GTF3C4.9329,1_GYLTL1B.120071,1_H2AFX.3014,1_H2BFM.286436,1_HADHB.3032,1_HAMP.57817,1_HAO2.51179,1_HBBP1.3044,1_HCFC2.29915,1_HDLBP.3069,1_HELLS.3070,1_HES3.390992,1_HFE2.148738,1_HGS.9146,1_HHIPL2.79802,1_HHLA2.11148,1_HIPK3.10114,1_HIST1H2BI.8346,1_HIST1H4C.8364,1_HLA.G.3135,1_HMGB2.3148,1_HMGCLL1.54511,1_HMGN1.3150,1_HMX2.3167,1_HNF4A.3172,1_HNRNPAB.3182,1_HOMER3.9454,1_HOXA2.3199,1_HOXA3.3200,1_HOXB13.10481,1_HP.3240,1_HPRT1.3251,1_HRNBP3.146713,1_HS6ST2.90161,1_HS6ST3.266722,1_HSD17B8.7923,1_HYAL1.3373,1_HYAL2.8692,1_IAH1.285148,1_IFRD1.3475,1_IGFBP1.3484,1_IGFBP5.3488,1_IGFN1.91156,1_IGLL3.91353,1_IL17C.27189,1_IL1RN.3557,1_IL20RA.53832,1_IL20RB.53833,1_IL22RA2.116379,1_IL6ST.3572,1_IMP4.92856,1_INHA.3623,1_INMT.11185,1_INTS8.55656,1_IQCC.55721,1_IRX5.10265,1_ITM2A.9452,1_ITPRIP.85450,1_JAK1.3716,1_JMJD7.PLA2G4B.8681,1_JPH3.57338,1_KANK1.23189,1_KBTBD3.143879,1_KCNF1.3754,1_KCNJ15.3772,1_KCNK16.83795,1_KCNQ4.9132,1_KCTD16.57528,1_KCTD20.222658,1_KIAA0430.9665,1_KIAA1609.57707,1_KIAA1826.84437,1_KIF11.3832,1_KIF13A.63971,1_KIF18A.81930,1_KRBA1.84626,1_KRT19.3880,1_KRT32.3882,1_L1CAM.3897,1_LCA5L.150082,1_LCOR.84458,1_LCTL.197021,1_LDHD.197257,1_LDLRAD1.388633,1_LDOC1L.84247,1_LHX1.3975,1_LIFR.3977,1_LIMA1.51474,1_LMBRD1.55788,1_LNPEP.4012,1_LNX2.222484,1_LOC100128842.100128842,1_LOC100132354.100132354,1_LOC100134229.100134229,1_LOC100216001.100216001,1_LOC100272228.100272228,1_LOC100286844.100286844,1_LOC145474.145474,1_LOC149134.149134,1_LOC162632.162632,1_LOC222699.222699,1_LOC257358.257358,1_LOC283050.283050,1_LOC283392.283392,1_LOC389791.389791,1_LOC400891.400891,1_LOC400931.400931,1_LOC441294.441294,1_LOC654342.654342,1_LOC728392.728392,1_LOC84740.84740,1_LOC90784.90784,1_LPIN1.23175,1_LRRC1.55227,1_LYNX1.66004,1_LYPD3.27076,1_LYPD5.284348,1_MAD2L2.10459,1_MAEL.84944,1_MAGEA4.4103,1_MANF.7873,1_MAPKSP1.8649,1_MAPRE2.10982,1_MARCH8.220972,1_MASP1.5648,1_MAST4.375449,1_MAT2B.27430,1_MCFD2.90411,1_MDGA1.266727,1_MED26.9441,1_MEF2B.100271849,1_METT11D1.64745,1_METTL14.57721,1_METTL3.56339,1_METTL7A.25840,1_MFSD2B.388931,1_MFSD6.54842,1_MGAM.8972,1_MICB.4277,1_MITF.4286,1_MKI67IP.84365,1_MMP1.4312,1_MOBKL2B.79817,1_MPV17L.255027,1_MRC2.9902,1_MRPL28.10573,1_MRPL9.65005,1_MS4A14.84689,1_MS4A2.2206,1_MSRA.4482,1_MSTO2P.100129405,1_MT1G.4495,1_MT1X.4501,1_MTERFD3.80298,1_MTF2.22823,1_MTHFR.4524,1_MTMR10.54893,1_MTMR7.9108,1_MTMR9.66036,1_MUC20.200958,1_MUM1L1.139221,1_MYBPC2.4606,1_MYBPC3.4607,1_MYL3.4634,1_MYO9B.4650,1_MYOT.9499,1_NADK.65220,1_NANOS3.342977,1_NANS.54187,1_NAP1L6.645996,1_NCOA4.8031,1_NCRNA00107.283981,1_NCRNA00161.118421,1_NCRNA00162.378825,1_NCRNA00175.378832,1_NCRNA00176.284739,1_NCRNA00204B.286967,1_NCSTN.23385,1_NDFIP1.80762,1_NEBL.10529,1_NEK2.4751,1_NEK6.10783,1_NEUROD2.4761,1_NEUROG3.50674,1_NFXL1.152518,1_NKX3.2.579,1_NLRP6.171389,1_NME4.4833,1_NMNAT3.349565,1_NMRAL1.57407,1_NMT1.4836,1_NMU.10874,1_NNT.23530,1_NOG.9241,1_NOM1.64434,1_NOMO1.23420,1_NOP2.4839,1_NOS1AP.9722,1_NOTCH4.4855,1_NQO1.1728,1_NTN4.59277,1_NTNG1.22854,1_NUDC.10726,1_NUDT5.11164,1_NUP37.79023,1_NUPR1.26471,1_OBFC2B.79035,1_ODF2L.57489,1_OGT.8473,1_OLFML3.56944,1_OPA3.80207,1_OPCML.4978,1_OR11A1.26531,1_OR2T3.343173,1_OR52I1.390037,1_ORMDL3.94103,1_OSM.5008,1_OTP.23440,1_P2RX6.9127,1_PADI1.29943,1_PAFAH1B2.5049,1_PANK3.79646,1_PAQR4.124222,1_PARP2.10038,1_PCDH19.57526,1_PCK1.5105,1_PCNA.5111,1_PDK4.5166,1_PDPK1.5170,1_PDXDC1.23042,1_PDZRN4.29951,1_PEX19.5824,1_PGAM2.5224,1_PHACTR3.116154,1_PHF21B.112885,1_PHF23.79142,1_PHRF1.57661,1_PI4KAP1.728233,1_PIGL.9487,1_PITX2.5308,1_PKHD1.5314,1_PLA2G12B.84647,1_PLA2G2F.64600,1_PLA2G4D.283748,1_PLEKHG4B.153478,1_PLN.5350,1_PLXNA2.5362,1_PMAIP1.5366,1_PNMAL1.55228,1_POC5.134359,1_PODNL1.79883,1_POLE.5426,1_POM121.9883,1_PON3.5446,1_POP7.10248,1_PPARG.5468,1_PPP2R2C.5522,1_PQBP1.10084,1_PRAF2.11230,1_PRAME.23532,1_PRDX6.9588,1_PRG2.5553,1_PRH1.5554,1_PRPF19.27339,1_PRPF39.55015,1_PRRG4.79056,1_PRUNE2.158471,1_PSAT1.29968,1_PSMB7.5695,1_PSMD3.5709,1_PSMD7.5713,1_PTEN.5728,1_PTGER1.5731,1_PTPRB.5787,1_PTPRM.5797,1_PUS1.80324,1_PVRL3.25945,1_PYGO2.90780,1_QRFPR.84109,1_R3HDM2.22864,1_RAB21.23011,1_RAB3IL1.5866,1_RAI2.10742,1_RANGAP1.5905,1_RAP2C.57826,1_RASSF6.166824,1_RDX.5962,1_RECQL5.9400,1_RGL1.23179,1_RGPD6.729540,1_RGS5.8490,1_RGS6.9628,1_RHOU.58480,1_RIMKLA.284716,1_RIT1.6016,1_RLN2.6019,1_RNASE4.6038,1_RNF152.220441,1_RNF6.6049,1_RP9.6100,1_RPAIN.84268,1_RPL14.9045,1_RPL18.6141,1_RPL21P44.402176,1_RPL24.6152,1_RPL8.6132,1_RPS20.6224,1_RRP1B.23076,1_RRP8.23378,1_RSBN1.54665,1_RTP2.344892,1_RUNDC2A.84127,1_RXFP1.59350,1_S100A5.6276,1_S100A8.6279,1_SAA1.6288,1_SACS.26278,1_SCAMP1.9522,1_SCNN1D.6339,1_SDSL.113675,1_SEC61G.23480,1_SECISBP2L.9728,1_SELM.140606,1_SEMA6D.80031,1_SERPINB4.6318,1_SERPINB8.5271,1_SESN1.27244,1_SETD5.55209,1_SFRS4.6429,1_SH3GLB1.51100,1_SHARPIN.81858,1_SIRT7.51547,1_SLC11A2.4891,1_SLC13A5.284111,1_SLC16A12.387700,1_SLC18A2.6571,1_SLC18A3.6572,1_SLC25A34.284723,1_SLC26A9.115019,1_SLC31A2.1318,1_SLC45A2.51151,1_SLC5A10.125206,1_SLC5A1.6523,1_SLC6A15.55117,1_SLC6A17.388662,1_SLC7A2.6542,1_SLC9A3R1.9368,1_SLCO1B1.10599,1_SLFNL1.200172,1_SLN.6588,1_SMYD1.150572,1_SNAP91.9892,1_SNF8.11267,1_SNHG11.128439,1_SNHG4.724102,1_SNIP1.79753,1_SNORA67.26781,1_SNORA70C.100124538,1_SNORA72.26775,1_SNORD1C.677850,1_SNX2.6643,1_SOX12.6666,1_SPACA1.81833,1_SPAG5.10615,1_SPATA20.64847,1_SPC25.57405,1_SPG11.80208,1_SPOCD1.90853,1_SPTBN1.6711,1_SRP19.6728,1_SRP68.6730,1_SSC5D.284297,1_SSTR1.6751,1_STAG3L1.54441,1_STARD3.10948,1_STMN2.11075,1_STON1.GTF2A1L.286749,1_SULT1A3.6818,1_SUPT7L.9913,1_SYNGAP1.8831,1_SYT12.91683,1_TAGLN3.29114,1_TANK.10010,1_TAS2R19.259294,1_TBC1D19.55296,1_TBC1D3G.654341,1_TBP.6908,1_TBX18.9096,1_TCHH.7062,1_TCTA.6988,1_TCTEX1D1.200132,1_TFE3.7030,1_TFPT.29844,1_TGOLN2.10618,1_TIGD5.84948,1_TIMELESS.8914,1_TM4SF19.116211,1_TM4SF20.79853,1_TMED4.222068,1_TMEFF2.23671,1_TMEM132D.121256,1_TMEM206.55248,1_TMEM31.203562,1_TMEM81.388730,1_TMEM82.388595,1_TMEM88.92162,1_TMEM92.162461,1_TMPRSS6.164656,1_TNFAIP2.7127,1_TNS1.7145,1_TOR1AIP1.26092,1_TPMT.7172,1_TPTE2.93492,1_TRAF5.7188,1_TRIB1.10221,1_TRIM56.81844,1_TRIM67.440730,1_TRMT2A.27037,1_TRPV3.162514,1_TSIX.9383,1_TSKU.25987,1_TSPAN17.26262,1_TTC13.79573,1_TTC30A.92104,1_TTLL4.9654,1_TTTY4C.474150,1_TUBB2A.7280,1_TWF1.5756,1_TXNL4A.10907,1_UBE2QL1.134111,1_UBE2T.29089,1_UBFD1.56061,1_UBR7.55148,1_UCN2.90226,1_UGT1A10.54575,1_UGT2B7.7364,1_UGT3A1.133688,1_UGT3A2.167127,1_ULBP1.80329,1_UNC13B.10497,1_UNK.85451,1_UNKL.64718,1_UPK3BL.100134938,1_USP35.57558,1_VAC14.55697,1_VANGL1.81839,1_VANGL2.57216,1_VAX1.11023,1_VGLL2.245806,1_VSTM2A.222008,1_VSTM2L.128434,1_VWA5B1.127731,1_VWF.7450,1_WBP2.23558,1_WBSCR16.81554,1_WDR48.57599,1_WDR85.92715,1_WFDC10A.140832,1_WISP2.8839,1_WWOX.51741,1_XRCC3.7517,1_XYLB.9942,1_YARS2.51067,1_ZDHHC24.254359,1_ZHX3.23051,1_ZNF213.7760,1_ZNF253.56242,1_ZNF296.162979,1_ZNF341.84905,1_ZNF404.342908,1_ZNF416.55659,1_ZNF525.170958,1_ZNF598.90850,1_ZNF613.79898,1_ZNF697.90874,1_ZNF805.390980,1_ZNHIT2.741,1_ZXDA.7789
0,5,0,0,0,157,108,0,0,0,0,0,0,0,0,0,129,120,0,4,80,0,84,10,0,16,0,0,0,72,0,135,24,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,23,117,0,0,0,0,188,59,0,0,0,0,0,0,63,3,0,157,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,174,80,151,51,7,0,0,0,0,0,0,0,0,0,0,0,55,0,93,0,0,101,0,0,0,0,133,8,0,187,29,0,14,0,144,129,0,0,0,0,0,146,0,0,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,72,64,0,31,0,0,0,0,0,0,0,0,106,0,0,0,137,0,12,79,0,259,0,70,0,131,0,0,135,0,0,0,0,34,0,0,0,0,133,0,0,17,0,0,0,0,0,0,0,0,176,116,0,0,147,0,66,0,0,0,0,0,0,0,136,99,0,41,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,140,0,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,1,0,0,0,0,0,0,0,4,0,64,45,0,0,163,48,0,0,0,0,0,33,37,83,0,0,0,20,24,0,0,0,114,0,0,0,41,0,0,0,0,69,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,50,0,151,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,62,0,0,0,0,50,0,53,0,0,0,0,0,0,0,42,186,0,0,0,0,35,0,0,0,23,0,0,0,0,0,0,0,0,91,0,0,0,41,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,47,0,0,0,0,0,0,0,114,0,102,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,79,0,0,0,0,0,0,30,0,55,0,0,0,0,88,58,130,0,0,0,0,86,15,53,0,129,55,0,0,0,0,0,0,0,0,0,0,0,131,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,64,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,106,0,25,24,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,36,0,0,68,0,25,0,136,0,0,42,0,127,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,165,54,61,0,42,88,0,0,0,140,12,0,0,0,117,0,144,12,0,0,0,0,0,0,0,78,0,0,0,35,0,0,0,65,0,2,0,0,0,0,0,142,0,0,0,42,0,95,33,0,0,0,0,0,5,0,0,0,14,0,0,0,0,3,74,0,0,36,0,0,0,33,0,0,0,60,0,0,85,108,53,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0
100,0,1,0,0,0,2,2,0,1,3,0,2,0,0,1,8,0,1,0,0,1,0,0,2,0,0,0,2,0,3,0,0,1,0,0,0,1,0,0,0,1,0,0,3,3,0,2,0,1,0,21,0,5,4,1,0,1,2,0,3,2,0,0,2,0,1,0,0,2,0,0,0,385,2,0,0,3,329,0,0,0,1,2,0,47,0,0,10,3,4,0,1,0,13,0,6,0,311,0,1,0,0,11,1,1,1,3,0,1,0,0,0,9,1,1,0,1,3,5,16,0,1,0,37,1,3,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,10,0,0,0,0,1,0,0,0,19,0,0,0,2,0,7,1,0,0,0,0,0,1,0,4,459,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,3,0,131,0,1,0,0,0,3,0,2,1,0,0,305,0,0,1,32,0,0,0,27,0,0,1,0,1,0,1,0,3,2,1,1,0,1,1,1,0,0,13,1,1,9,3,5,1,0,0,1,1,0,3,7,1,0,41,0,1,0,1,1,0,2,2,0,31,7,2,9,0,1,1,0,0,2,0,1,0,7,0,1,0,2,65,1,0,66,0,7,0,6,1,0,3,0,0,0,2,1,1,0,0,2,0,2,0,1,0,0,0,0,0,1,1,0,0,1,0,3,0,0,0,0,0,393,0,0,0,1,1,0,7,0,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,6,0,1,1,0,2,0,1,396,0,0,0,1,8,1,0,0,1,0,0,3,1,0,1,0,0,0,1,0,1,2,0,0,125,0,0,1,0,0,7,0,0,7,1,0,0,30,0,0,0,5,0,0,1,0,0,0,1,0,1,0,0,7,1,0,0,2,1,0,0,1,0,7,0,0,0,3,1,4,0,0,0,22,1,0,0,0,2,1,1,205,1,0,9,0,5,0,1,7,0,6,0,1,1,0,10,1,0,1,3,2,0,1,0,0,1,0,0,0,1,1,8,1,0,0,3,0,1,1,0,0,0,1,0,2,0,0,0,9,0,0,200,0,5,0,1,0,1,0,1,0,0,1,0,1,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,3,227,5,0,1,0,0,39,2,0,0,18,3,0,0,1,0,1,0,4,1,1,0,2,0,0,0,0,5,0,0,0,3,0,0,1,1,0,3,15,6,1,1,1,0,0,1,1,0,393,0,1,1,0,1,0,0,3,0,7,0,0,3,0,0,0,0,0,1,0,0,0,3,1,0,0,6,1,1,0,0,1,0,0,0,9,0,7,0,0,18,0,0,0,1,0,3,0,1,1,2,0,0,0,0,1,4,0,1,1,0,0,0,0,2,0,19,0,398,120,2,0,125,10,0,0,0,0,0,0,0,1,15,37,0,0,0,0,1,6,0,0,0,17,3,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,2,17,0,0,0,26,1,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,38,0,0,0,1,1,0,0,438,1,0,1,0,0,0,1,1,0,0,0,2,0,1,0,1,0,6,1,0,0,0,1,0,0,1
200,0,0,1,0,0,1,0,0,0,42,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,18,0,0,1,0,0,1,0,0,2,13,0,0,1,0,1,0,0,0,1,0,0,2,0,397,0,2,1,0,352,0,3,0,0,0,0,100,0,0,0,0,0,2,0,4,0,1,0,9,315,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,17,0,0,0,0,0,0,0,4,0,0,5,0,0,1,2,445,1,0,0,3,0,0,1,0,1,1,0,0,2,0,11,0,1,1,0,1,8,0,3,0,0,7,0,0,0,0,0,1,0,0,1,1,1,334,1,0,0,2,3,0,0,4,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,193,38,0,0,0,0,0,1,2,0,0,0,0,0,0,0,74,0,0,0,0,0,1,0,0,0,1,60,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1,8,4,0,9,0,0,0,0,8,0,0,0,3,0,0,0,0,1,0,0,0,0,0,4,0,1,10,0,0,1,0,0,13,1,0,0,5,2,0,0,0,0,386,0,1,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,2,0,2,8,2,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,409,0,8,0,0,0,0,0,1,0,5,1,1,0,1,0,0,0,1,0,3,0,0,3,0,12,0,0,0,13,0,1,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,243,0,30,4,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0,1,1,0,1,0,0,0,3,0,0,2,0,196,1,0,44,0,2,194,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,124,4,1,0,0,4,0,0,10,0,0,0,1,0,1,0,0,0,4,0,0,1,0,0,4,1,0,5,2,3,0,0,0,3,0,1,0,0,0,0,0,0,1,2,1,0,0,2,398,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,0,0,17,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,6,0,1,0,3,4,0,0,405,163,0,0,210,0,1,0,0,0,0,2,7,4,9,232,0,0,0,0,0,0,1,0,1,193,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,143,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,278,3,0,0,2,0,0,0,443,0,0,3,0,1,1,0,0,15,0,1,0,1,0,0,0,3,1,0,1,0,1,0,0,2,1
