0_ARSE,0_COG2,0_DDX21,0_ESR1,0_FOXC1,0_ITIH5,0_NUSAP1,0_PNKD,0_PPP1R14C,0_TNFSF13B,0_TPX2,0_TTC23,0_UBOX5
0,1,1,1,1,1,0,1,0,1,1,1,0
1,0,0,1,1,0,0,0,1,0,1,0,1
1,0,0,1,1,0,0,0,1,0,1,0,0
0,0,0,1,1,0,0,0,1,0,1,0,0
0,0,0,1,1,0,1,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
