0_ESR1,0_FOXC1,0_NUF2,0_SIN3B,0_SMC4,0_UBE2C,0_ZDHHC6
1,1,0,1,1,1,0
1,1,0,0,0,1,1
1,1,1,0,0,0,0
1,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,0
