0_age_at_initial_pathologic_diagnosis,1_hsa.let.7a.2.3p,1_hsa.miR.10b.5p,1_hsa.miR.1228.3p,1_hsa.miR.127.5p,1_hsa.miR.141.5p,1_hsa.miR.146a.3p,1_hsa.miR.15b.5p,1_hsa.miR.185.3p,1_hsa.miR.18a.3p,1_hsa.miR.193a.5p,1_hsa.miR.193b.5p,1_hsa.miR.204.3p,1_hsa.miR.222.5p,1_hsa.miR.346,1_hsa.miR.361.3p,1_hsa.miR.3614.5p,1_hsa.miR.375,1_hsa.miR.376b.3p,1_hsa.miR.377.3p,1_hsa.miR.382.3p,1_hsa.miR.424.3p,1_hsa.miR.432.5p,1_hsa.miR.451a,1_hsa.miR.452.5p,1_hsa.miR.455.5p,1_hsa.miR.550a.5p,1_hsa.miR.590.3p,1_hsa.miR.624.5p,1_hsa.miR.6502.5p,1_hsa.miR.651.5p,1_hsa.miR.302b.3p
1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1
1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
