0_age_at_initial_pathologic_diagnosis,1_hsa.let.7a.5p,1_hsa.miR.103a.2.5p,1_hsa.miR.10b.5p,1_hsa.miR.1228.3p,1_hsa.miR.1296.5p,1_hsa.miR.142.5p,1_hsa.miR.146b.5p,1_hsa.miR.148a.5p,1_hsa.miR.149.3p,1_hsa.miR.149.5p,1_hsa.miR.15b.5p,1_hsa.miR.16.5p,1_hsa.miR.196a.5p,1_hsa.miR.215.5p,1_hsa.miR.222.5p,1_hsa.miR.23b.5p,1_hsa.miR.3074.5p,1_hsa.miR.346,1_hsa.miR.3913.5p,1_hsa.miR.432.5p,1_hsa.miR.4709.3p,1_hsa.miR.495.5p,1_hsa.miR.550a.3p,1_hsa.miR.616.3p,1_hsa.miR.760,1_hsa.miR.767.3p,1_hsa.miR.767.5p,1_hsa.miR.7974,1_hsa.miR.98.5p,1_hsa.miR.519a.5p
1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1
1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0
1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0
1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0
1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
