0_ABCC11,0_ADAT2,0_AICDA,0_AMY1A,0_ARSG,0_ASL,0_BPHL,0_BTNL9,0_C10orf131,0_C10orf32,0_C10orf81,0_C14orf145,0_C15orf29,0_C17orf37,0_C19orf38,0_C19orf77,0_C2orf40,0_C2orf44,0_C4A,0_C6orf103,0_C6orf25,0_C8orf76,0_C9orf46,0_C9orf91,0_CBLC,0_CCDC150,0_CCNB1,0_CDC25B,0_CDKN3,0_CECR4,0_CGNL1,0_CHML,0_CLCN3,0_CREB3,0_CSNK1D,0_CYBA,0_CYP2B6,0_CYP4Z2P,0_DEFB1,0_DEPDC1B,0_DIRAS1,0_DNAH14,0_DSG3,0_DUSP15,0_EBF4,0_ERBB2,0_ERBB4,0_ERN2,0_ESR1,0_EXTL1,0_F3,0_FABP7,0_FAF1,0_FAIM3,0_FAM120A,0_FBXO5,0_FBXO7,0_FGF2,0_FOXC1,0_FOXM1,0_FRMD4A,0_GBAS,0_GPT,0_GSTM4,0_HAS3,0_HIST1H3F,0_HNRPDL,0_KCNJ13,0_KIF19,0_KIF20A,0_L3MBTL4,0_LAMC3,0_LHCGR,0_LMLN,0_LRRC14B,0_LTBR,0_LY9,0_MAGEA4,0_MAMDC2,0_MAPK4,0_MAS1L,0_MBOAT1,0_MED13L,0_MEPE,0_METTL2A,0_MLPH,0_MPDU1,0_MRPS30,0_NAT1,0_NCAPH,0_NECAP2,0_NRGN,0_NUDT2,0_NUDT6,0_NUP214,0_OR11H12,0_OR2L13,0_OR5P3,0_PGAP3,0_PIR,0_PLCE1,0_PPP1R1B,0_PRC1,0_PRDX4,0_PYCR2,0_RABIF,0_RASL10B,0_RGL2,0_RNF180,0_RNF220,0_RPL13AP6,0_S100A14,0_SERPINA3,0_SFRS13B,0_SFRS9,0_SH3BP1,0_SH3TC1,0_SIAH2,0_SIGLEC16,0_SLC25A38,0_SLC27A2,0_SLC2A1,0_SLC35A5,0_SLC6A11,0_SLCO4C1,0_SPTY2D1,0_TMEM106C,0_TOR1A,0_TRIP13,0_UBE2C,0_UGT1A3,0_VIT,0_VWDE,0_WDR34,0_WDR67,0_WDR69,0_ZBTB44,0_ZC3HAV1,0_ZMYM3,0_ZNF174,0_ZNF500,0_ZNF839,0_ZSCAN18,0_ZSCAN5A
1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0
1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0
1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0
1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0
1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0
1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
