gen,0_ADAMTS18,0_APBA3,0_APOBEC2,0_ARF4,0_AR,0_ASMTL,0_ATP1B3,0_ATPBD4,0_BDKRB1,0_BIRC5,0_BPTF,0_C10orf40,0_C12orf48,0_C14orf145,0_C14orf166B,0_C15orf26,0_C15orf32,0_C15orf55,0_C1orf141,0_C20orf108,0_C21orf81,0_C3orf65,0_C6orf127,0_C8orf86,0_C9orf109,0_C9orf117,0_CBLC,0_CCDC15,0_CCDC6,0_CD1C,0_CDA,0_CDC25B,0_CDC7,0_CEACAM19,0_CEND1,0_CGB5,0_CGNL1,0_CHEK1,0_CKS1B,0_CLDN20,0_CNKSR3,0_COX15,0_CPLX3,0_CRYBA2,0_CRYZ,0_CSN1S2A,0_CSPG5,0_CTSL2,0_CXCR3,0_CYP2F1,0_DCAF12L1,0_DEFB1,0_DNAJC5G,0_DPY19L2P2,0_DSTYK,0_DYDC2,0_EIF2B2,0_EVI5L,0_FABP5L3,0_FADS1,0_FAM111A,0_FAM171A1,0_FAM176B,0_FAM189A2,0_FAM48B2,0_FBXO5,0_FKBP1AP1,0_FLJ44635,0_FOXRED2,0_GABBR2,0_GABRG3,0_GDF5,0_GLA,0_GLDN,0_GLUL,0_GMPS,0_GOLGA6A,0_GPX5,0_GRB7,0_GRIN3A,0_GRK7,0_HBBP1,0_HNRNPH3,0_HNRPLL,0_HOXD13,0_IDI2,0_IGF1R,0_IL23R,0_IQCF1,0_KCNH3,0_KCNH5,0_KHDRBS2,0_KIAA0319,0_KIF17,0_KRT20,0_KRT6A,0_KRT6B,0_KRTAP10-3,0_KRTAP5-5,0_LAG3,0_LARP7,0_LCTL,0_LCT,0_LOC100130148,0_LOC100130872,0_LOC100131496,0_LOC100169752,0_LOC121838,0_LOC145474,0_LOC168474,0_LOC284632,0_LOC340508,0_LOC389033,0_LPO,0_MBIP,0_METAP2,0_MFI2,0_MGC23270,0_MGC3771,0_MOCOS,0_MRAP2,0_MRPS30,0_MSLN,0_MUC7,0_NAPRT1,0_NEFL,0_NEURL1B,0_NPFFR1,0_NPPB,0_NXF3,0_NXF4,0_OMP,0_OR2T4,0_OR3A1,0_OR5P3,0_OR7E24,0_OR8U1,0_ORMDL3,0_OXTR,0_PABPC5,0_PARP2,0_PCSK6,0_PCSK9,0_PDXDC1,0_PDZRN3,0_PEX5L,0_PLK2,0_PLXNA3,0_PLXNB1,0_POLR2J3,0_POTEH,0_PPP2R5C,0_PPWD1,0_PRKAA2,0_PRMT8,0_PRPH2,0_PRSS33,0_PSAPL1,0_PSG2,0_PSKH2,0_PSPN,0_PTPLA,0_QARS,0_R3HDML,0_RAB6C,0_RABL3,0_RAX2,0_RBCK1,0_RBM46,0_RERGL,0_RLN3,0_RPL31,0_RPL36A,0_RTL1,0_SBK2,0_SCNN1G,0_SEH1L,0_SEPT7L,0_SERPINA3,0_SERPINA6,0_SFT2D2,0_SFTPC,0_SHD,0_SIDT1,0_SLC16A12,0_SLC18A1,0_SLC22A11,0_SLC25A18,0_SLC25A24,0_SLC39A12,0_SLCO5A1,0_SNORA2A,0_SNORD8,0_SNORD94,0_SOX11,0_SPACA4,0_SPACA5,0_SPON2,0_SPRED3,0_SREBF1,0_SUSD5,0_TCF19,0_TCF23,0_TEX14,0_TEX19,0_TFF3,0_TGM3,0_TGM7,0_THNSL1,0_TMOD3,0_TPRG1L,0_TRIM17,0_TSHR,0_TTF2,0_TXNDC2,0_UAP1L1,0_UBE2Z,0_UTP11L,0_WDR67,0_WIPI1,0_WNT16,0_XK,0_ZIC1,0_ZNF534,0_ZNRF2,0_ZSCAN5B
0,1,1,1,0,1,1,1,1,1,0,0,2,1,2,1,2,5,1,2,1,1,3,1,0,1,0,2,0,1,0,1,1,1,1,1,0,1,1,2,1,1,0,1,2,1,3,1,1,0,1,1,4,2,0,0,1,1,0,1,3,1,0,1,0,1,1,2,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,0,1,3,0,1,0,1,0,1,1,1,4,1,0,3,2,0,0,1,0,4,0,1,1,1,1,1,2,0,0,1,1,0,1,1,1,1,1,2,0,0,1,0,6,1,1,2,2,1,1,1,1,1,1,3,0,0,1,1,2,0,2,1,2,3,3,2,1,0,0,0,1,1,3,1,1,2,1,4,1,2,1,0,1,0,1,2,1,0,1,2,0,2,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,2,1,1,0,0,1,1,0,2,1,2,1,1,1,1,0,0,2,1,1
19,0,0,0,3,0,5,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,3,0,2,0,0,0,0,0,5,0,0,9,0,0,1,0,0,2,0,0,0,3,0,2,5,0,3,1,0,2,2,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,8,0,3,0,1,0,0,0,5,0,2,0,5,5,1,0,3,0,5,0,0,2,0,0,0,1,2,0,0,5,0,0,0,0,5,0,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,2,0,0,0,0,2,0,0,2,1,2,0,0,8,0,0,0,0,0,0,0,0,2,0,1,1,3,5,3,0,0,5,0,5,0,3,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0,0,0,0,1,4,0,0,0
