1_ABCD2.225,1_AP3S2.10239,1_ASAH1.427,1_BCL7B.9275,1_BEND3.57673,1_BTG2.7832,1_C11orf35.256329,1_C17orf44.284029,1_C2CD2.25966,1_C5orf4.10826,1_CCDC40.55036,1_CCDC64.92558,1_CCDC69.26112,1_CLDN23.137075,1_CLEC9A.283420,1_COL6A1.1291,1_CST3.1471,1_CUL7.9820,1_CXorf21.80231,1_DBNDD2.55861,1_DCAF13.25879,1_DHRS12.79758,1_DHX58.79132,1_DUSP22.56940,1_FAM176A.84141,1_FGD3.89846,1_FYB.2533,1_GATM.2628,1_GGTA1.2681,1_GLIS1.148979,1_GSN.2934,1_HNMT.3176,1_HNRNPA3P1.10151,1_IL12B.3593,1_KCNJ10.3766,1_KLRB1.3820,1_KRCC1.51315,1_LRRC25.126364,1_MARCH1.55016,1_MAST2.23139,1_MCHR2.84539,1_MEAF6.64769,1_METTL9.51108,1_MFNG.4242,1_MGAT1.4245,1_MKNK1.8569,1_MPPE1.65258,1_MSH6.2956,1_MYCL1.4610,1_NASP.4678,1_NDUFAF1.51103,1_NFKBIL2.4796,1_NR1H3.10062,1_OSTalpha.200931,1_PCBD2.84105,1_PEX11G.92960,1_PNPLA3.80339,1_PRR13.54458,1_PTER.9317,1_PTK2B.2185,1_PTPN18.26469,1_PYCR1.5831,1_RARRES3.5920,1_RASGRP2.10235,1_RIPPLY2.134701,1_RLF.6018,1_RLIM.51132,1_RNF125.54941,1_SCN1B.6324,1_SDR42E1.93517,1_SELL.6402,1_SEPT11.55752,1_SPIC.121599,1_SQLE.6713,1_SRPK1.6732,1_SSR1.6745,1_STOM.2040,1_TAPBPL.55080,1_TARDBP.23435,1_TFAP2D.83741,1_TLR7.51284,1_TLR8.51311,1_TMEM62.80021,1_TNFAIP2.7127,1_TRIM50.135892,1_TRIP4.9325,1_UBE2O.63893,1_UCP2.7351,1_USP45.85015,1_WDFY4.57705,1_WNT5B.81029,1_ZBED4.9889,1_ZDHHC8.29801,1_ZNF280C.55609,1_ZNF396.252884,1_ZNHIT6.54680
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
