gen,evals,gen_feats,explored,type random forest balanced accuracy_min,type random forest balanced accuracy_avg,type random forest balanced accuracy_max,type random forest balanced accuracy_std,leanness_min,leanness_avg,leanness_max,leanness_std
0,500,7882,7882,0.16986814266341446,0.5589106622307443,0.7538474279632944,0.11872280329117396,0.0196078431372549,0.09067269759175456,1.0,0.1384771888960534
1,332,4681,8015,0.16986814266341446,0.5709637382154921,0.7698495325349284,0.1396543428833207,0.017857142857142856,0.12342184722808036,1.0,0.16815382376114987
2,323,2670,8144,0.25,0.5966421231614236,0.7876790271479062,0.137100582954281,0.016666666666666666,0.1344805465042163,1.0,0.1886403387236422
3,327,2205,8294,0.25,0.6196427095584366,0.789432497860598,0.13979049249232373,0.016666666666666666,0.14697511945073552,1.0,0.22125311037314177
4,335,1675,8454,0.25,0.6141524871216386,0.789432497860598,0.1551258057894554,0.017241379310344827,0.18109610650819546,1.0,0.2598868674850203
5,319,1353,8571,0.25,0.5945909173420466,0.789432497860598,0.17374702979826198,0.018518518518518517,0.23895899984568403,1.0,0.30949338766500667
6,316,1127,8685,0.25,0.57628685135948,0.8121633587925993,0.20120558553013365,0.015873015873015872,0.32097612274470977,1.0,0.38329908890111924
7,320,975,8821,0.25,0.5207290121225158,0.8121633587925993,0.2291702785877759,0.015873015873015872,0.4583878822272112,1.0,0.43743370655108815
8,311,867,8951,0.25,0.4158743377768828,0.8121633587925993,0.22776880979018743,0.015873015873015872,0.6797175297683237,1.0,0.4267450263812844
9,281,687,9055,0.25,0.2654582224225608,0.8121633587925993,0.08631501467586224,0.015873015873015872,0.972768092657117,1.0,0.1518714729914835
10,247,474,9164,0.25,0.26851724017387757,0.8121633587925993,0.09435473260540209,0.015873015873015872,0.9673807910698154,1.0,0.16612944060625706
11,279,510,9306,0.25,0.2675261200271932,0.8131367041055673,0.09181462355907251,0.02702702702702703,0.9691638424138425,1.0,0.1614393242147241
12,249,397,9401,0.25,0.26489685171032673,0.8131367041055673,0.08380945277160112,0.02702702702702703,0.9739749615161379,1.0,0.1456363670556814
13,256,382,9499,0.25,0.2669466917700012,0.8131367041055673,0.0895460398078754,0.02702702702702703,0.9706203863527393,1.0,0.1545047627848377
14,260,405,9598,0.25,0.2674659470241845,0.8131367041055673,0.09150603752006141,0.02702702702702703,0.9700203863527392,1.0,0.15689520766047083
15,265,429,9708,0.25,0.26797395573535177,0.8131367041055673,0.09219620278937334,0.02702702702702703,0.9689568942892473,1.0,0.1586255596288647
16,256,381,9811,0.25,0.2639883601527658,0.8131367041055673,0.08149840232190689,0.02702702702702703,0.9760124498448028,1.0,0.13902282614783404
