0_ACMSD,0_ACSM2A,0_CA9,0_CLDN8,0_CLRN3,0_DACT2,0_KRT7,0_NDUFA4L2,0_RANBP3L,0_TEK
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,0,1,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0
