0_race_WHITE,1_hsa.miR.1307.3p,1_hsa.miR.3648,1_hsa.miR.3678.5p,1_hsa.miR.7706,2_ACVR2B.93,2_ADI1.55256,2_ADIPOR1.51094,2_ADRA1A.148,2_AK7.122481,2_ALAD.210,2_ALDH1A1.216,2_ANKRD33.341405,2_AP2B1.163,2_ARHGEF35.445328,2_C1orf130.400746,2_C20orf152.140894,2_C22orf41.644186,2_C4orf10.317648,2_CCDC122.160857,2_CCDC41.51134,2_CDC25A.993,2_CDKN2AIPNL.91368,2_CHRAC1.54108,2_CNR2.1269,2_DHH.50846,2_DNASE1L3.1776,2_FBXO33.254170,2_FCRL3.115352,2_FSCB.84075,2_GALNT12.79695,2_GGPS1.9453,2_HDAC2.3066,2_IL2RB.3560,2_ITPRIPL1.150771,2_KCNK18.338567,2_LCORL.254251,2_LOC282997.282997,2_LYPLA2.11313,2_MCHR2.84539,2_NDUFAF1.51103,2_NINJ1.4814,2_OLIG3.167826,2_ORAI3.93129,2_PCBD2.84105,2_PNRC1.10957,2_PPP1R11.6992,2_PRKCDBP.112464,2_PYROXD1.79912,2_RELA.5970,2_SMARCC1.6599,2_SNHG6.641638,2_SNORA48.652965,2_SP7.121340,2_STAT5A.6776,2_TADA2B.93624,2_UNC5B.219699,2_WWC1.23286,2_ZFYVE28.57732
0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0
0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1
1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
