0_age_at_initial_pathologic_diagnosis,0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage II,0_ajcc_pathologic_tumor_stage_Stage IV,1_ABCG2.9429,1_ACVR1B.91,1_AKAP6.9472,1_ANAPC7.51434,1_ANGPTL6.83854,1_ANKRD33.341405,1_ANKRD56.345079,1_BBC3.27113,1_BTBD8.284697,1_BTG4.54766,1_C13orf34.79866,1_C16orf58.64755,1_C19orf51.352909,1_C19orf73.55150,1_C1orf126.200197,1_C1orf88.128344,1_C20orf202.400831,1_C2orf78.388960,1_C3orf36.80111,1_C7orf49.78996,1_C7orf53.286006,1_C9orf150.286343,1_CAMK2N2.94032,1_CCDC79.283847,1_CCNF.899,1_CDCA3.83461,1_CDKN2BAS.100048912,1_CDKN2C.1031,1_CDR2L.30850,1_CGRRF1.10668,1_CHMP1A.5119,1_CHODL.140578,1_CIB1.10519,1_CSDA.8531,1_CSNK1G1.53944,1_CTAGE1.64693,1_CWF19L2.143884,1_CXorf26.51260,1_CYP3A7.1551,1_DBF4.10926,1_DCXR.51181,1_DDAH1.23576,1_DHRS12.79758,1_DKFZP434L187.26082,1_DNAJC11.55735,1_DNAJC16.23341,1_ECT2.1894,1_EMP3.2014,1_ENSA.2029,1_FABP1.2168,1_FAM101A.144347,1_FAM127A.8933,1_FAM199X.139231,1_FCRL5.83416,1_FLAD1.80308,1_FLJ36777.730971,1_FOXB2.442425,1_FOXL1.2300,1_FUNDC1.139341,1_GCFC1.94104,1_GDF5.8200,1_HAO2.51179,1_HCN2.610,1_HIST1H4C.8364,1_HOXA2.3199,1_HOXB13.10481,1_IL21.59067,1_IQGAP2.10788,1_ITGA6.3655,1_IYD.389434,1_KCTD7.154881,1_KLK14.43847,1_LIMCH1.22998,1_LMOD1.25802,1_LOC100190938.100190938,1_LOC84740.84740,1_LTV1.84946,1_LYPD5.284348,1_LYRM4.57128,1_MAN2A2.4122,1_MAST4.375449,1_MIAT.440823,1_MPP5.64398,1_MSH5.4439,1_MYH13.8735,1_NBEA.26960,1_NDFIP1.80762,1_NFATC2IP.84901,1_NPLOC4.55666,1_NSFL1C.55968,1_NXF2B.728343,1_OGFOD1.55239,1_PAEP.5047,1_PCDH17.27253,1_PCYOX1L.78991,1_PEX6.5190,1_PID1.55022,1_PIH1D2.120379,1_PLA2G6.8398,1_PLK1.5347,1_PODNL1.79883,1_PPP4C.5531,1_PPP6C.5537,1_PRKCE.5581,1_PRSS8.5652,1_PTCD3.55037,1_PTCH2.8643,1_QRFPR.84109,1_RAD51AP1.10635,1_RASIP1.54922,1_RBCK1.10616,1_REST.5978,1_RLN3.117579,1_RNASEL.6041,1_RPL32P3.132241,1_RRAGC.64121,1_SART3.9733,1_SECISBP2L.9728,1_SEPHS2.22928,1_SEPT5.5413,1_SH2B1.25970,1_SLC10A6.345274,1_SNORA31.677814,1_SNRNP35.11066,1_SOS2.6655,1_STON1.GTF2A1L.286749,1_STRADA.92335,1_TANK.10010,1_TBCD.6904,1_TEX12.56158,1_THRA.7067,1_TIMM44.10469,1_TMEM72.643236,1_TRIM2.23321,1_TRIM42.287015,1_TSC22D1.8848,1_TTC21A.199223,1_VWA5B1.127731,1_WBSCR22.114049,1_WDFY3.23001,1_WDR72.256764,1_ZBTB37.84614,1_ZNF350.59348,1_ZNF488.118738,1_ZNF649.65251
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
