0_age_at_initial_pathologic_diagnosis,1_ABI3BP.25890,1_ADCY3.109,1_ADK.132,1_ADRA2B.151,1_AKAP6.9472,1_ARMC5.79798,1_ATP8B2.57198,1_C13orf38.728591,1_C1orf57.84284,1_C7orf11.136647,1_CABP4.57010,1_CCND2.894,1_CLPP.8192,1_CRTAC1.55118,1_CTSS.1520,1_DHRS4L2.317749,1_DNAJC18.202052,1_EFHB.151651,1_ERP29.10961,1_EXOC3L2.90332,1_FAF1.11124,1_FAM159A.348378,1_FAM178B.51252,1_FAM181B.220382,1_FOXP3.50943,1_G6PD.2539,1_GEMIN5.25929,1_GFI1.2672,1_GNA14.9630,1_GSTA1.2938,1_GTF2H2B.653238,1_HINT2.84681,1_HIST1H3D.8351,1_HIST2H4A.8370,1_HMMR.3161,1_HOXB5.3215,1_IGFBP2.3485,1_KCNAB1.7881,1_KIAA1370.56204,1_KLK11.11012,1_KTI12.112970,1_LDHA.3939,1_MAP4K4.9448,1_MDGA2.161357,1_MTMR7.9108,1_MTVR2.246754,1_NCRNA00095.283932,1_NFKBIL1.4795,1_NIPAL2.79815,1_NUDT15.55270,1_OAZ2.4947,1_PCDH7.5099,1_PHF16.9767,1_PIAS4.51588,1_PIP5K1C.23396,1_PPM1L.151742,1_PPRC1.23082,1_PRDX3.10935,1_PTGFRN.5738,1_PTRH2.51651,1_RGPD3.653489,1_RGS13.6003,1_RPL7.6129,1_SAP18.10284,1_SIX5.147912,1_SLC13A3.64849,1_SLC6A10P.386757,1_SNAPC2.6618,1_SNX8.29886,1_SPIN3.169981,1_TAF12.6883,1_TAP2.6891,1_TDP1.55775,1_TOB2.10766,1_TSR1.55720,1_TYR.7299,1_WEE1.7465,1_ZNF582.147948,1_ZNF648.127665
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1
1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
