inner_cv_SKSurvCox_c-index,inner_cv_root_leanness,train_SKSurvCox_c-index,train_root_leanness,test_SKSurvCox_c-index,test_root_leanness
0.9618596235253619,0.21821789023599236,0.9615571303756917,0.21821789023599236,0.8371757925072046,0.21821789023599236
0.9595078321074322,0.22360679774997896,0.9598097272109504,0.22360679774997896,0.8429394812680115,0.22360679774997896
0.9586220925148723,0.22941573387056177,0.9567032326958548,0.22941573387056177,0.845821325648415,0.22941573387056177
0.957702041235503,0.23570226039551584,0.955149985438307,0.23570226039551584,0.845821325648415,0.23570226039551584
0.9553775864898745,0.24253562503633297,0.9581594019998059,0.24253562503633297,0.8414985590778098,0.24253562503633297
0.9524353020102384,0.25,0.9540821279487428,0.25,0.8429394812680115,0.25
0.9506174457093527,0.2581988897471611,0.9518493350160179,0.2581988897471611,0.8515850144092219,0.2581988897471611
0.9465094463496481,0.2672612419124244,0.9473837491505679,0.2672612419124244,0.8342939481268011,0.2672612419124244
0.9441636751819105,0.2773500981126146,0.9447626444034559,0.2773500981126146,0.8631123919308358,0.2773500981126146
0.9393205696201687,0.28867513459481287,0.9435006310066983,0.28867513459481287,0.8645533141210374,0.28867513459481287
0.9373186980776946,0.30151134457776363,0.9405882923987963,0.30151134457776363,0.8530259365994236,0.30151134457776363
0.9352593387548142,0.31622776601683794,0.9336957576934278,0.31622776601683794,0.8760806916426513,0.31622776601683794
0.9262128122446076,0.3333333333333333,0.9294243277351714,0.3333333333333333,0.8746397694524496,0.3333333333333333
0.9181868490169788,0.3535533905932738,0.921366857586642,0.3535533905932738,0.8703170028818443,0.3535533905932738
0.916883887389672,0.3779644730092272,0.9183574410251432,0.3779644730092272,0.877521613832853,0.3779644730092272
0.9087513919086426,0.408248290463863,0.9044752936608096,0.408248290463863,0.8688760806916427,0.408248290463863
0.8936033156536659,0.4472135954999579,0.9009804873313271,0.4472135954999579,0.845821325648415,0.4472135954999579
0.8793377482482886,0.5,0.8856421706630424,0.5,0.8876080691642652,0.5
0.8644776269167894,0.5773502691896257,0.8630230074750024,0.5773502691896257,0.8962536023054755,0.5773502691896257
0.845880470801713,0.7071067811865476,0.8369090379574798,0.7071067811865476,0.8544668587896254,0.7071067811865476
0.5,1.0,0.5,1.0,0.5,1.0
