0_age_at_initial_pathologic_diagnosis,1_ABCA12.26154,1_ABCD2.225,1_ADAMDEC1.27299,1_ANGPTL2.23452,1_ARMC9.80210,1_ATF4.468,1_C19orf71.100128569,1_C5orf25.375484,1_CD2AP.23607,1_CD58.965,1_CDC42EP3.10602,1_F2RL1.2150,1_GALNTL1.57452,1_GLI3.2737,1_GPR45.11250,1_GRID2IP.392862,1_HDDC2.51020,1_HIATL2.84278,1_HIST2H2BE.8349,1_IQCB1.9657,1_IRAK2.3656,1_JUP.3728,1_KCNJ13.3769,1_LOC388387.388387,1_LRRIQ4.344657,1_LSM5.23658,1_MXD4.10608,1_NAB2.4665,1_NHEDC1.150159,1_PER4.168741,1_PLAA.9373,1_PRND.23627,1_PRR12.57479,1_PTGFRN.5738,1_RAB3IP.117177,1_RALGAPA2.57186,1_RB1.5925,1_SEC24D.9871,1_SLAIN2.57606,1_SLC33A1.9197,1_ST7OT3.93655,1_TNRC6B.23112,1_TNRC6C.57690,1_WDR64.128025,1_WEE1.7465,1_ZNF396.252884,1_ZNF648.127665,1_ZRSR2.8233
1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1
1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1
1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1
1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1
1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1
1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1
1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1
1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1
