1_hsa.miR.301a.3p,1_hsa.miR.3170,1_hsa.miR.3677.3p,2_ALAD.210,2_ALDH1A1.216,2_ANKRD28.23243,2_AOC3.8639,2_AP2B1.163,2_APCDD1L.164284,2_APOL3.80833,2_ARL8A.127829,2_AVPR2.554,2_B3GNT5.84002,2_B3GNT8.374907,2_BAT3.7917,2_C17orf44.284029,2_C22orf26.55267,2_CD244.51744,2_DHH.50846,2_FASN.2194,2_GALNT12.79695,2_GGPS1.9453,2_GIMAP7.168537,2_GIMAP8.155038,2_GPR133.283383,2_HDAC2.3066,2_LGALS2.3957,2_MAGEA6.4105,2_NAALADL1.10004,2_NDUFAF1.51103,2_NUDT13.25961,2_PEX11G.92960,2_PLA2G4C.8605,2_PLCG2.5336,2_POPDC2.64091,2_PPP2R2B.5521,2_PRKCDBP.112464,2_RAD21.5885,2_RELL1.768211,2_RPS27L.51065,2_SMARCC1.6599,2_TAF2.6873,2_TLR10.81793,2_TMEM176A.55365,2_TMEM48.55706,2_TRIM21.6737,2_XPO1.7514,2_ZNF146.7705,2_ZNHIT6.54680
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
