gen,0_A1CF,0_AASDH,0_ABAT,0_ABCA5,0_ABCE1,0_ABHD14B,0_ABHD3,0_ABTB2,0_ACAP2,0_ACBD5,0_ACCS,0_ACE2,0_ACMSD,0_ACOX1,0_ACSL1,0_ACSL4,0_ACSM2A,0_ACSM2B,0_ACTN3,0_ACVR2B,0_ACVRL1,0_ACY3,0_ADAM33,0_ADCY2,0_ADD1,0_ADI1,0_ADSL,0_AGPAT4,0_AHNAK2,0_AHR,0_AIMP2,0_AK2,0_AKAP1,0_AKAP8L,0_AKR1C3,0_ALCAM,0_ALDH1A2,0_ALDH7A1,0_ALDH9A1,0_ALDOA,0_ALG2,0_ALKBH4,0_ALOX15B,0_ALS2,0_AMACR,0_AMN,0_AMZ2,0_ANGPTL1,0_ANKRD46,0_ANKRD50,0_ANKS6,0_ANP32B,0_ANP32E,0_ANXA13,0_ANXA4,0_ANXA6,0_AP2A1,0_AP4M1,0_APBB1,0_APCS,0_APOBEC3A,0_APOD,0_APOO,0_ARG2,0_ARHGAP33,0_ARHGAP5,0_ARHGEF12,0_ARHGEF16,0_ARHGEF35,0_ARHGEF5,0_ARMC9,0_ARNT2,0_ARPC2,0_ARPC5,0_ARRB1,0_ARSK,0_ASAH1,0_ASAP1,0_ASPA,0_ASPSCR1,0_ATF3,0_ATF4,0_ATG4B,0_ATIC,0_ATP13A3,0_ATP1B3,0_ATP6V1B1,0_ATP6V1F,0_ATP6V1H,0_ATXN7L1,0_AUH,0_AUP1,0_AXIN2,0_AZIN1,0_B3GALT4,0_B4GALNT3,0_B4GALT3,0_BAD,0_BAG1,0_BAIAP2L2,0_BAX,0_BBC3,0_BBS4,0_BCHE,0_BCL2L11,0_BCL2L2,0_BDH1,0_BEX2,0_BHMT,0_BICD1,0_BIN1,0_BIRC5,0_BLK,0_BMP6,0_BNIP3,0_BRI3BP,0_BST2,0_BTF3L4,0_BTN3A1,0_BUD31,0_C12orf57,0_C19orf54,0_C1GALT1,0_C1orf116,0_C1orf194,0_C1orf226,0_C1orf35,0_C1orf54,0_C20orf96,0_C2orf49,0_C2orf69,0_C3orf14,0_C4BPA,0_C4orf19,0_C7,0_C8B,0_C8G,0_C9orf40,0_CA12,0_CA9,0_CAB39L,0_CACNA1C,0_CACNA1H,0_CAMK4,0_CAMKK2,0_CAND2,0_CAPN10,0_CARD11,0_CASK,0_CAV1,0_CBLB,0_CBLC,0_CBWD5,0_CBX4,0_CCDC102A,0_CCDC115,0_CCDC130,0_CCDC51,0_CCDC77,0_CCDC86,0_CCNDBP1,0_CCNG1,0_CCNH,0_CCNJL,0_CCR4,0_CCR6,0_CCRL2,0_CCT3,0_CD1B,0_CD2BP2,0_CD47,0_CDC37L1,0_CDC42EP3,0_CDC6,0_CDCA5,0_CDCA8,0_CDH11,0_CDH2,0_CDH23,0_CDHR2,0_CDK12,0_CDKL5,0_CDKN1A,0_CDKN2C,0_CDR2L,0_CDS2,0_CDYL2,0_CENPB,0_CEP72,0_CFB,0_CFHR1,0_CFL2,0_CHAC1,0_CHCHD2,0_CHFR,0_CHI3L2,0_CHMP1B,0_CHMP6,0_CHP2,0_CHPF2,0_CHPT1,0_CHUK,0_CISD2,0_CITED1,0_CKS1B,0_CLCC1,0_CLDN2,0_CLDN4,0_CLEC4D,0_CLIC3,0_CLIP2,0_CLPTM1,0_CLTCL1,0_CMPK2,0_CNNM1,0_CNTN2,0_CNTNAP1,0_COBLL1,0_COG1,0_COL13A1,0_COMMD3,0_COPG2,0_COPS7A,0_COX6B1,0_CP,0_CPE,0_CPNE5,0_CPT1A,0_CRBN,0_CREB1,0_CREB3L1,0_CRIM1,0_CSPG4,0_CSTF2,0_CTAGE1,0_CTBP2,0_CTNNBL1,0_CTNND1,0_CTSZ,0_CUTC,0_CYP2S1,0_CYSLTR2,0_CYTH4,0_DACT2,0_DAGLA,0_DBF4B,0_DCAF12L1,0_DCAF12L2,0_DCAF4,0_DCBLD2,0_DCHS1,0_DCLK3,0_DCP1B,0_DDIT4,0_DDR1,0_DDX11,0_DDX19B,0_DDX27,0_DDX43,0_DECR1,0_DEDD,0_DEF8,0_DERL3,0_DGCR8,0_DHCR7,0_DIP2C,0_DIS3,0_DMTF1,0_DNA2,0_DNAJA1,0_DNAJA2,0_DNAJB7,0_DNAJC25,0_DNASE1L3,0_DNASE2,0_DNMT3A,0_DOLPP1,0_DPEP2,0_DPP3,0_DPYSL2,0_DPYSL4,0_DTNA,0_DTX4,0_DUSP8,0_DYRK2,0_DZIP1L,0_ECHDC2,0_EDEM2,0_EDN1,0_EEFSEC,0_EFCAB2,0_EFHC1,0_EFNB2,0_EGFR,0_EGR4,0_EHBP1,0_EHHADH,0_EIF2B2,0_EIF3L,0_EIF4EBP1,0_ELAVL1,0_ELF3,0_ELMO3,0_ENHO,0_ENPEP,0_ENPP3,0_EPHA3,0_EPS8,0_ERBB3,0_ERCC5,0_ERGIC1,0_ERLIN2,0_ERN2,0_ETF1,0_ETFB,0_EXOC7,0_EXOSC1,0_F11R,0_F2RL1,0_FABP7,0_FAM111A,0_FAM122B,0_FAM136A,0_FAM160A1,0_FAM20A,0_FAM53A,0_FAM53C,0_FAR2,0_FAS,0_FBLL1,0_FBXO21,0_FCN3,0_FGB,0_FGD1,0_FGD4,0_FGF2,0_FGF9,0_FGFR1,0_FKBP15,0_FKBP4,0_FLAD1,0_FLRT3,0_FNDC3A,0_FOS,0_FOXP2,0_FOXP4,0_FPR2,0_FRG1,0_FSTL3,0_FXYD2,0_FXYD3,0_FZD1,0_FZD8,0_G6PD,0_GABRG3,0_GALNT2,0_GALNT5,0_GATAD2B,0_GBA,0_GBGT1,0_GBP4,0_GBP5,0_GCH1,0_GCLC,0_GCNT3,0_GCSH,0_GDA,0_GDI2,0_GGA1,0_GGT1,0_GGT7,0_GIT1,0_GLI2,0_GLIS3,0_GLS,0_GLUD2,0_GMPR,0_GPATCH1,0_GPI,0_GPIHBP1,0_GPR155,0_GPR160,0_GPRIN1,0_GPRIN2,0_GPX3,0_GPX4,0_GRB10,0_GRB7,0_GRHL1,0_GRINA,0_GRK6,0_GRPEL2,0_GSPT2,0_GSTA2,0_GSTA4,0_GSTK1,0_GTF2F1,0_GTF2H1,0_GTPBP10,0_HAT1,0_HAUS1,0_HAX1,0_HBA1,0_HBA2,0_HBB,0_HBD,0_HDAC5,0_HEXA,0_HEXIM1,0_HFE,0_HIP1R,0_HK1,0_HLA-B,0_HM13,0_HMGCR,0_HNRNPD,0_HNRNPH2,0_HNRNPK,0_HNRNPU,0_HSD17B7,0_HSPA12A,0_HSPBAP1,0_HTN1,0_HTR2B,0_HTR3B,0_HTRA4,0_HUNK,0_HYI,0_ICAM1,0_ID1,0_IFI30,0_IFNG,0_IFT20,0_IKZF2,0_IL17RD,0_ILDR1,0_ILVBL,0_IMPA1,0_INTS8,0_INTU,0_IQCE,0_IRAK3,0_IRF2BP2,0_IRGQ,0_ISLR,0_ITGA9,0_ITGB8,0_ITIH3,0_ITPA,0_IWS1,0_JUN,0_KAT5,0_KCNG1,0_KCNJ1,0_KCNK6,0_KCNQ5,0_KCTD13,0_KCTD16,0_KCTD18,0_KEAP1,0_KHDRBS1,0_KHDRBS2,0_KHDRBS3,0_KHK,0_KHSRP,0_KIAA1328,0_KIF11,0_KIF13B,0_KIF18A,0_KISS1R,0_KLC4,0_KLRB1,0_KPNA4,0_KPTN,0_KRT4,0_KRT7,0_KRT8,0_L2HGDH,0_LAMB1,0_LAP3,0_LASP1,0_LBP,0_LDB2,0_LDHC,0_LEFTY2,0_LFNG,0_LGALS3,0_LPIN2,0_LRCH2,0_LRIT3,0_LRP2,0_LRRC28,0_LRRC40,0_LRRC45,0_LRRC47,0_LRRC56,0_LRRC61,0_LRRN1,0_LRRN3,0_LRTOMT,0_LSM6,0_LTBP2,0_LUC7L3,0_LXN,0_LYPD5,0_LYSMD3,0_MAD2L2,0_MAFG,0_MAN2A1,0_MANF,0_MANSC1,0_MAPK1,0_MARCKS,0_MCC,0_MCCC2,0_MCM3,0_MCM7,0_ME2,0_MEP1A,0_MFGE8,0_MFNG,0_MGAM,0_MGAT3,0_MICAL3,0_MID1,0_MLLT3,0_MLLT6,0_MORF4L2,0_MPI,0_MPV17L,0_MRPL16,0_MRPL42,0_MRPS18A,0_MRPS24,0_MST1,0_MT1A,0_MTAP,0_MTHFD1,0_MTMR11,0_MTUS2,0_MYB,0_MYC,0_MYOM2,0_N4BP2L1,0_N6AMT1,0_NAALADL1,0_NAF1,0_NAPSA,0_NARS2,0_NBEA,0_NCLN,0_NCSTN,0_NDRG1,0_NDUFA4,0_NDUFA4L2,0_NDUFS2,0_NELL1,0_NEURL1B,0_NEUROD1,0_NFIB,0_NFIL3,0_NGB,0_NGEF,0_NGRN,0_NHEJ1,0_NIF3L1,0_NIT1,0_NKAP,0_NKX2-2,0_NLGN1,0_NLRX1,0_NMB,0_NME1,0_NME1-NME2,0_NME7,0_NNT,0_NOMO2,0_NOMO3,0_NOP2,0_NPHP1,0_NPM3,0_NR2C1,0_NR2C2AP,0_NR3C2,0_NR4A1,0_NRIP1,0_NRP2,0_NTN1,0_NUB1,0_NUCB1,0_NUDT15,0_NUS1,0_OAS2,0_OGDHL,0_OGFOD1,0_OMA1,0_OPA1,0_ORM1,0_OSGIN2,0_OXER1,0_P4HA3,0_P4HB,0_PABPC5,0_PADI1,0_PAIP1,0_PARD6A,0_PARM1,0_PARN,0_PAX9,0_PCCA,0_PCDHGA1,0_PCDHGA12,0_PCDHGA2,0_PCDHGA5,0_PCDHGA9,0_PCDHGB3,0_PCDHGB7,0_PCK2,0_PCLO,0_PCTP,0_PDAP1,0_PDCD11,0_PDCD4,0_PDCD7,0_PDE11A,0_PDE9A,0_PDGFA,0_PDK1,0_PDK4,0_PDLIM2,0_PDP2,0_PDZK1IP1,0_PEA15,0_PELI2,0_PEX16,0_PGAM2,0_PGAP3,0_PGLYRP2,0_PHKA2,0_PI4K2B,0_PI4KA,0_PIGL,0_PIK3R3,0_PIP4K2A,0_PIR,0_PIWIL4,0_PLAU,0_PLCD3,0_PLEKHA2,0_PLXNB1,0_PM20D2,0_PNCK,0_PNPLA3,0_POF1B,0_POLH,0_POLR1E,0_POLR2E,0_POLR2H,0_PON1,0_PON2,0_POP5,0_POR,0_POU2F1,0_PPAN,0_PPAT,0_PPIB,0_PPM1H,0_PPP1R3B,0_PPP2R2A,0_PRCP,0_PRDM4,0_PRDX4,0_PREP,0_PRKG2,0_PRKX,0_PRMT7,0_PROC,0_PRODH,0_PROS1,0_PRPF40B,0_PRR15L,0_PRR16,0_PRTFDC1,0_PRTN3,0_PSMB3,0_PSMB4,0_PSMD8,0_PSMG4,0_PTEN,0_PTGES2,0_PTGIS,0_PTGR1,0_PTMA,0_PTOV1,0_PTPN22,0_PXMP4,0_PXN,0_PYCARD,0_PYCR1,0_PYROXD2,0_RAB25,0_RAB27B,0_RAB30,0_RAB31,0_RAB6B,0_RABEP1,0_RAD1,0_RAD18,0_RALBP1,0_RALGAPB,0_RANBP1,0_RAP1GAP2,0_RAPGEF3,0_RAPGEF4,0_RASGRF1,0_RASSF4,0_RBBP4,0_RBBP8,0_RBM17,0_RBM28,0_RBM34,0_RBM6,0_RBMS2,0_RBMX2,0_REC8,0_RECQL4,0_REN,0_REP15,0_RFX5,0_RIC3,0_RIC8B,0_RIMS2,0_RNASE3,0_RNASEL,0_RNASET2,0_RPAP1,0_RPAP2,0_RPL21,0_RPL23,0_RPL5,0_RPL7,0_RPP25,0_RPS4Y1,0_RPS6KA2,0_RRP15,0_RSAD2,0_RSBN1,0_RSPRY1,0_RUVBL1,0_RXRB,0_RYBP,0_S1PR1,0_SAA4,0_SAMD10,0_SARDH,0_SCAMP4,0_SCARB2,0_SCCPDH,0_SDC1,0_SDCBP2,0_SDR16C5,0_SDSL,0_SEC14L2,0_SEC24C,0_SEC31A,0_SEC61B,0_SEC62,0_SEMA3A,0_SEMA4D,0_SEPHS2,0_SERBP1,0_SERPINA3,0_SERPINA4,0_SERPINB5,0_SETD7,0_SFRP1,0_SFXN1,0_SGSM1,0_SH2B1,0_SH3BP2,0_SH3RF3,0_SIRPA,0_SLBP,0_SLC13A1,0_SLC13A3,0_SLC16A1,0_SLC16A4,0_SLC22A11,0_SLC22A23,0_SLC25A22,0_SLC25A42,0_SLC25A46,0_SLC25A5,0_SLC26A11,0_SLC26A2,0_SLC29A1,0_SLC2A9,0_SLC30A9,0_SLC35B3,0_SLC35C2,0_SLC38A10,0_SLC43A2,0_SLC44A1,0_SLC46A2,0_SLC46A3,0_SLC47A1,0_SLC48A1,0_SLC7A1,0_SMAGP,0_SMG1,0_SNAP29,0_SNF8,0_SNRNP35,0_SNRPA,0_SNRPA1,0_SNX14,0_SNX16,0_SNX9,0_SOCS3,0_SPAG5,0_SPATA18,0_SPOCK2,0_SPRY4,0_SQSTM1,0_SRM,0_SRP19,0_SRPK1,0_SRRM1,0_SSR1,0_SSR4,0_ST8SIA3,0_ST8SIA5,0_STARD13,0_STAT4,0_STC2,0_STIM1,0_STRADA,0_STRADB,0_STRBP,0_STUB1,0_STX11,0_SUDS3,0_SUN1,0_SUPV3L1,0_SUSD2,0_SYNGR1,0_SYNGR2,0_SYNGR3,0_SYTL2,0_TACC1,0_TADA3,0_TAF8,0_TAOK1,0_TATDN2,0_TAX1BP3,0_TBC1D9B,0_TBP,0_TCF25,0_TCOF1,0_TCTN1,0_TDG,0_TDRD5,0_TEK,0_TERF2,0_TFB2M,0_TFEC,0_TFPT,0_TGFA,0_THBS1,0_THEM4,0_THOC3,0_TIMM8A,0_TIMP2,0_TJP2,0_TLCD1,0_TLE2,0_TLR3,0_TM4SF18,0_TMCO1,0_TMED7,0_TMEFF2,0_TMEM104,0_TMEM131,0_TMEM132E,0_TMEM139,0_TMEM176A,0_TMEM205,0_TMEM62,0_TMEM70,0_TMEM72,0_TMPRSS2,0_TNFRSF11B,0_TNFRSF6B,0_TOE1,0_TOMM20,0_TOP3A,0_TOPBP1,0_TOR1B,0_TP53I3,0_TPD52L1,0_TPM3,0_TPM4,0_TPP1,0_TPRN,0_TPX2,0_TRA2B,0_TRAF3IP1,0_TRAM1,0_TRDMT1,0_TREM2,0_TRIB3,0_TRIM21,0_TRIM35,0_TRIM38,0_TRIM69,0_TRIOBP,0_TRMT5,0_TSHR,0_TSHZ3,0_TSKU,0_TTC17,0_TTC27,0_TTC32,0_TTC7A,0_TTC9C,0_TUBA1C,0_TUBB8,0_TUBD1,0_TUBGCP5,0_TYW3,0_UBA5,0_UBA7,0_UBE2D4,0_UBE2G2,0_UBE2N,0_UBOX5,0_UBR3,0_UBTF,0_UBXN2A,0_UBXN8,0_UCP3,0_UFC1,0_UGCG,0_UGT1A6,0_UPK1B,0_UPK3B,0_URGCP,0_UROC1,0_USP2,0_USP4,0_USP9X,0_VAMP7,0_VBP1,0_VDAC1,0_VKORC1,0_VPS18,0_VPS41,0_VTA1,0_WDR11,0_WDR18,0_WDR37,0_WDR5B,0_WDR77,0_WT1,0_XAF1,0_XK,0_XKR9,0_XPC,0_XRCC5,0_YIF1A,0_ZBTB12,0_ZC3H18,0_ZDHHC15,0_ZDHHC20,0_ZDHHC21,0_ZDHHC6,0_ZFAND1,0_ZFR,0_ZFX,0_ZFY,0_ZIC1,0_ZKSCAN4,0_ZMIZ1,0_ZMYND19,0_ZNF154,0_ZNF211,0_ZNF219,0_ZNF234,0_ZNF3,0_ZNF304,0_ZNF326,0_ZNF354B,0_ZNF433,0_ZNF436,0_ZNF443,0_ZNF512,0_ZNF518B,0_ZNF521,0_ZNF549,0_ZNF575,0_ZNF579,0_ZNF792,0_ZNF830,0_ZNF84,0_ZSCAN12,0_ZSCAN18,0_ZSCAN2
0,0,0,6,0,0,17,9,5,0,0,0,68,42,2,0,0,10,0,55,1,5,2,40,30,0,0,17,0,13,0,0,0,11,0,18,0,65,33,0,13,0,0,5,0,0,0,0,0,8,0,6,0,0,28,0,3,0,0,0,10,64,6,0,0,0,0,0,0,52,0,13,28,1,4,9,0,0,0,0,0,3,3,0,0,0,40,27,0,0,9,0,0,0,0,58,15,18,0,0,11,29,28,0,8,11,0,7,10,11,0,0,0,40,0,23,0,0,3,4,0,0,0,0,98,0,0,1,4,0,0,0,0,3,95,31,6,5,0,5,12,16,9,46,20,0,29,0,110,0,0,0,75,26,32,0,8,0,5,15,0,0,0,0,0,29,16,39,0,0,0,34,0,0,0,0,0,3,0,43,51,0,0,116,8,34,5,19,0,9,0,93,0,0,0,0,15,6,0,16,0,0,0,0,6,0,0,80,22,6,6,30,0,5,2,51,6,70,0,35,73,8,0,0,0,4,104,40,0,0,2,16,10,0,0,0,0,0,0,0,0,9,24,0,0,0,30,42,4,7,43,12,6,18,5,2,13,0,0,15,0,10,0,53,0,1,0,0,0,40,0,11,36,21,8,0,0,1,9,0,0,0,12,10,3,0,7,0,0,8,0,7,0,26,0,5,0,11,0,0,0,0,0,34,13,0,0,11,19,0,0,0,0,4,0,0,0,0,0,13,39,0,0,0,0,13,126,3,0,0,12,0,8,26,8,27,56,8,28,0,1,0,126,0,0,22,4,3,0,0,5,16,9,2,15,1,0,54,2,0,6,36,26,17,8,32,0,19,0,0,0,0,0,11,0,69,0,103,13,0,5,0,0,0,21,32,0,0,0,0,0,10,9,50,37,10,0,0,12,0,0,0,8,0,0,11,4,0,0,18,0,6,10,0,0,23,9,0,9,32,0,4,30,21,0,0,42,169,8,11,0,0,11,0,2,0,9,0,20,0,0,0,0,18,0,49,0,0,39,0,0,0,0,12,1,0,7,0,6,0,0,10,17,40,0,0,0,0,0,28,81,1,87,13,0,54,10,0,7,16,10,0,39,0,52,0,0,5,5,119,20,1,5,1,0,0,0,0,13,4,0,19,15,0,0,33,0,0,2,0,0,0,8,0,0,0,0,0,0,38,17,9,60,0,29,59,0,0,0,21,30,0,0,0,0,0,10,3,0,10,31,0,0,7,0,22,0,0,0,0,82,0,0,27,0,12,0,56,13,92,0,0,22,98,0,19,0,0,6,55,70,0,115,0,0,22,0,0,51,0,0,0,0,0,0,2,0,16,0,0,8,10,1,7,0,28,38,0,15,0,0,1,0,1,45,0,0,3,0,25,0,66,94,8,0,0,3,21,0,0,0,0,0,0,0,18,5,0,9,0,11,0,18,9,0,0,40,1,10,0,0,0,0,0,0,70,17,9,0,41,0,0,0,60,66,0,0,5,0,9,0,0,41,36,0,0,0,0,0,7,0,0,0,0,20,0,0,7,8,29,0,0,0,76,16,0,0,0,0,25,0,0,35,12,0,0,0,24,0,52,5,13,40,30,7,0,0,26,0,29,11,17,12,13,0,11,0,0,0,65,0,0,0,0,0,0,49,10,0,0,27,0,17,0,35,163,0,0,49,0,0,0,6,26,0,11,1,17,0,0,0,0,0,99,0,0,0,8,0,33,0,14,0,0,3,18,0,21,123,6,8,0,91,42,1,4,32,0,2,0,0,3,4,0,28,6,27,0,0,0,0,0,0,0,46,0,4,34,0,0,0,0,15,0,0,1,24,33,5,0,0,9,0,0,0,0,1,0,11,50,87,147,0,0,68,0,0,0,0,0,0,20,55,0,72,14,0,0,23,0,0,0,0,0,0,60,39,0,0,5,0,0,56,0,51,0,9,9,0,0,0,0,0,0,0,0,0,0,0,36,0,13,0,14,0,0,106,2,0,2,0,2,0,0,85,0,10,0,0,18,16,40,9,0,4,0,11,0,9,0,5,29,0,4,11,8,0,21,7,3,14,0,0,10,0,64,11,0,41,0,0,0,7,25,1,0,0,44,0,0,19,0,2,0,2,0,0,0,12,2,0,0,0,0,27,55,131,0,83,117,0,0,0,0,4,1,1,0,0,0,0,0,27,8,38,20,70,76,13,13,0,37,0,0,0,0,10,0,0,0,19,22,60,0,0,0,2,0,20,0,0,0,0,0,9,0,0,0,16,0,0,0,0,2,0,60,0,4
100,0,1,0,0,0,0,0,0,0,3,0,2,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,8,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4,0,1,0,1,0,0,3,0,9,0,0,1,3,0,16,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,9,0,0,0,0,0,41,0,1,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,2,0,1,0,1,1,0,0,0,0,0,1,0,127,0,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,86,0,0,0,0,1,0,1,0,0,2,0,0,0,0,3,0,4,0,0,0,0,0,0,297,0,0,0,0,0,0,0,11,0,1,0,0,4,0,0,1,0,0,158,0,0,2,1,9,0,1,0,3,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,3,3,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,269,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,249,0,0,3,0,0,23,0,0,0,0,0,0,0,1,22,0,0,0,9,0,0,0,6,0,0,0,1,53,1,4,0,1,0,0,3,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,1,0,1,0,4,0,0,0,2,0,0,0,366,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,5,292,0,0,48,0,21,0,26,0,0,0,0,0,0,0,0,0,1,0,0,274,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,18,1,1,0,0,0,0,0,0,58,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,1,3,0,0,0,0,10,0,1,174,0,7,0,0,309,0,0,0,3,0,0,0,0,41,0,0,3,0,1,0,2,31,0,1,0,0,0,0,9,1,1,1,0,0,0,0,0,0,0,78,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,125,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,8,0,55,0,1,0,7,0,2,0,3,0,1,0,0,0,0,0,9,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,0,1,0,0,0,0,0,1,1,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,114,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,6,0,1,1,0,0,0,0,0,0,141,9,0,0,4,0,36,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,76,6,30,0,0,4,1,1,0,1,0,2,0,1,0,0,69,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,1,0,3,0,1,0,2,0,0,0,0,0,0,0,0,1,12,1,0,0,0,2,0,0,0,300,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,66,0,0,0,0,0,0,0,0,1,6,126,9,0,11,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47,9,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
200,0,0,0,14,2,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,111,0,0,0,0,0,14,1,0,0,0,3,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,1,0,168,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,303,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,0,0,0,190,0,0,0,0,1,0,1,1,0,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,29,21,16,0,1,29,0,0,128,0,0,1,1,0,8,0,0,1,1,0,0,0,0,0,0,1,0,1,192,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,93,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,346,0,3,0,0,11,0,0,0,0,0,3,14,0,0,0,0,0,1,0,6,1,0,0,0,1,0,0,0,3,340,0,0,84,0,51,0,26,0,0,0,0,1,0,0,0,0,1,0,0,319,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,13,1,5,0,0,2,0,0,0,0,0,0,0,0,53,1,1,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,147,0,0,0,0,320,1,0,0,0,1,0,1,1,151,0,0,0,0,0,0,0,2,1,0,0,0,0,0,7,0,0,0,2,2,0,1,0,0,1,161,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,166,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,95,0,0,4,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,2,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,158,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,2,6,0,25,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,150,0,15,0,0,3,1,0,0,0,2,0,0,0,1,0,39,0,114,0,1,1,0,61,3,0,0,0,1,0,0,5,0,0,1,0,0,0,0,6,0,40,0,0,0,0,0,1,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,2,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,188,1,0,0,0,0,0,2,2,0,2,112,0,0,0,0,1,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,7,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,6,13,0,0,0,0,10,0,0,0,0,0,3,3,0,0,0,3,0
