1_hsa.miR.20a.3p,1_hsa.miR.3170,1_hsa.miR.3648,1_hsa.miR.3677.3p,2_AG2.387763,2_AOC3.8639,2_B3GNT5.84002,2_B3GNT8.374907,2_BAT3.7917,2_BCDIN3D.144233,2_BCL2L14.79370,2_BECN1.8678,2_BTG2.7832,2_BYSL.705,2_C10orf116.10974,2_C10orf54.64115,2_C1orf135.79000,2_C4orf10.317648,2_C5orf4.10826,2_CCDC138.165055,2_CCDC69.26112,2_CCNDBP1.23582,2_CD1E.913,2_CDYL.9425,2_CREG2.200407,2_DARC.2532,2_DBNDD2.55861,2_DHRS12.79758,2_DNASE1L3.1776,2_EIF4G3.8672,2_EPHB6.2051,2_ETV6.2120,2_FLJ42875.440556,2_FMOD.2331,2_FUBP1.8880,2_GALNT12.79695,2_GJA5.2702,2_GPR18.2841,2_HES5.388585,2_HIST1H3I.8354,2_HMGB3.3149,2_HN1.51155,2_HPN.3249,2_IGFBP7.3490,2_INE2.8551,2_KCND3.3752,2_LOC100101266.100101266,2_LOC100130581.100130581,2_LOC728743.728743,2_LRRC1.55227,2_MCM10.55388,2_MGAT1.4245,2_MGC45800.90768,2_MMP28.79148,2_MR1.3140,2_MRO.83876,2_MRS2P2.729633,2_NCOA6.23054,2_NCRNA00167.440072,2_NTRK2.4915,2_ODZ1.10178,2_PBXIP1.57326,2_PHF6.84295,2_PIR.8544,2_PLAG1.5324,2_PLCG1.5335,2_PLD4.122618,2_PMVK.10654,2_POPDC2.64091,2_PPP2R2B.5521,2_PRPF4B.8899,2_PRSS27.83886,2_RASGRP2.10235,2_RDH5.5959,2_RGMA.56963,2_RIPPLY2.134701,2_RTN1.6252,2_SDR42E1.93517,2_SELM.140606,2_SEPT11.55752,2_SERPING1.710,2_SFRS1.6426,2_SLC12A3.6559,2_SLC39A2.29986,2_SQLE.6713,2_STAT6.6778,2_SUV39H2.79723,2_SYNCRIP.10492,2_TAF2.6873,2_TMEM47.83604,2_TNS1.7145,2_TRIM29.23650,2_TSPYL2.64061,2_WISP1.8840,2_YWHAQ.10971,2_ZNF146.7705,2_ZNF254.9534,2_ZNF280C.55609,2_ZNF688.146542
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
