1_hsa.miR.301a.3p,1_hsa.miR.3170,1_hsa.miR.324.3p,1_hsa.miR.3605.3p,1_hsa.miR.3648,1_hsa.miR.3677.3p,1_hsa.miR.7706,1_hsa.miR.887.3p,2_ACBD4.79777,2_ADIPOR1.51094,2_ALAD.210,2_ALDH1A1.216,2_ALG6.29929,2_AP2B1.163,2_APOL1.8542,2_ARHGAP39.80728,2_ARL8A.127829,2_AZIN1.51582,2_BCL7B.9275,2_BLMH.642,2_C10orf116.10974,2_C17orf68.80169,2_C1orf135.79000,2_CALCOCO1.57658,2_CASQ2.845,2_CCDC138.165055,2_CCDC69.26112,2_CCNC.892,2_CCPG1.9236,2_CCT5.22948,2_CLDN23.137075,2_CPSF6.11052,2_CSNK2A1.1457,2_CTAGE4.100128553,2_DUSP27.92235,2_EIF4G3.8672,2_EML4.27436,2_FGL2.10875,2_FLJ35776.649446,2_GALNT12.79695,2_GPR114.221188,2_HOXC6.3223,2_HSP90AB1.3326,2_IDO2.169355,2_IL18RAP.8807,2_IRF8.3394,2_ITGA10.8515,2_KIAA1370.56204,2_LAPTM4B.55353,2_LOC221710.221710,2_MAD2L2.10459,2_MAGEA6.4105,2_MCM10.55388,2_MCM3.4172,2_MEAF6.64769,2_MORC4.79710,2_MYO15A.51168,2_NCOA6.23054,2_NDUFAF1.51103,2_NFYA.4800,2_NUDT13.25961,2_NUDT7.283927,2_PGRMC1.10857,2_PIK3C2B.5287,2_PIK3IP1.113791,2_PITX2.5308,2_PRKCDBP.112464,2_PTK2B.2185,2_PTPLAD2.401494,2_PTPN18.26469,2_PYCARD.29108,2_PYHIN1.149628,2_RAMP3.10268,2_RASSF2.9770,2_RRAS.6237,2_SDR42E1.93517,2_SECTM1.6398,2_SERPING1.710,2_SLC12A2.6558,2_SLC12A3.6559,2_SLC25A20.788,2_SLC25A28.81894,2_SNRNP40.9410,2_SRPK1.6732,2_STOM.2040,2_SYNCRIP.10492,2_TLR5.7100,2_TMEM129.92305,2_TNFSF12.8742,2_TSPYL2.64061,2_UCP2.7351,2_VILL.50853,2_WDHD1.11169,2_WDR43.23160,2_XYLB.9942,2_YRDC.79693,2_ZNF146.7705,2_ZNF396.252884,2_ZNF697.90874
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
