1_hsa.miR.1306.3p,1_hsa.miR.19b.3p,1_hsa.miR.301a.3p,1_hsa.miR.3170,1_hsa.miR.3605.3p,1_hsa.miR.3648,1_hsa.miR.3677.3p,2_ACCS.84680,2_ADAM6.8755,2_ALOX15.246,2_ANKRD28.23243,2_ARHGAP15.55843,2_ARMC1.55156,2_ATP1A4.480,2_BCL2L14.79370,2_BNIP3.664,2_C10orf54.64115,2_C17orf103.256302,2_C17orf44.284029,2_C19orf66.55337,2_C1orf186.440712,2_C22orf26.55267,2_C5orf20.140947,2_CD3G.917,2_CDC25A.993,2_CLEC10A.10462,2_CPXM2.119587,2_CREBL2.1389,2_CREG1.8804,2_CTAGE9.643854,2_CTSH.1512,2_CXCR6.10663,2_DBNDD2.55861,2_DHH.50846,2_DHRS12.79758,2_DHRS7B.25979,2_DOCK7.85440,2_EML4.27436,2_FAM120AOS.158293,2_GALNT12.79695,2_GGPS1.9453,2_GIMAP1.170575,2_GIMAP8.155038,2_GSTK1.373156,2_HDAC2.3066,2_HOXA13.3209,2_HSD17B14.51171,2_HSPB2.3316,2_IDO2.169355,2_IGJ.3512,2_ITGA10.8515,2_KCNK7.10089,2_KHDRBS1.10657,2_KIAA0146.23514,2_KIAA0748.9840,2_LOC285548.285548,2_LOC441294.441294,2_LRRC1.55227,2_LTF.4057,2_LYPLAL1.127018,2_MAGEA6.4105,2_MANSC1.54682,2_MGST2.4258,2_MS4A1.931,2_NAALADL1.10004,2_NCAPD2.9918,2_NDUFAF1.51103,2_NUDT13.25961,2_PBXIP1.57326,2_PGRMC1.10857,2_PIK3C2B.5287,2_PLA2G2D.26279,2_PLA2G4C.8605,2_PLAC8.51316,2_PRPS1L1.221823,2_PYCR1.5831,2_RAD54L.8438,2_RAMP3.10268,2_RELB.5971,2_RPL7L1.285855,2_SAMD3.154075,2_SCN1B.6324,2_SELL.6402,2_SERP2.387923,2_SERPING1.710,2_SFRS7.6432,2_SH3D20.201175,2_SLC25A20.788,2_SLC25A28.81894,2_SOX17.64321,2_TADA2B.93624,2_TINAGL1.64129,2_TNS4.84951,2_TPSB2.64499,2_UBASH3A.53347,2_UBD.10537,2_UBE2O.63893,2_ZNF18.7566,2_ZNF697.90874
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
